All Catchers   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Adley Rutschman C  BAL "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ty Ross C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Scott C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Josh Breaux C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Martin Cervenka C  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan January C  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tim Federowicz C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Blake Hunt C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luis Avalo C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Gabriel Lino C  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Miller C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ben Carhart C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Taylor Hawkins C  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"J.T. Watkins C  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chuck Moorman C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Steve Rodriguez C  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wes Wilson C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jan Vazquez C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Nick Hundley C  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matt Whatley C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chad Tromp C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Keinner Pina C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jack Kruger C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
