All Outfielders   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Hernan Perez 2B  CHC"	444	55	118	82	20	2	14	46	24	111	13	3	.266	.304	.414	400
"Chris Taylor LF  LAD "	384	57	103	55	27	8	13	57	36	122	8	2	.268	.336	.482	401
"Jarrod Dyson CF  PIT "	368	53	87	67	12	2	6	24	36	75	38	4	.236	.306	.329	403
"Yoenis Cespedes LF  NYM "	317	48	86	49	17	1	19	53	29	90	6	1	.271	.335	.511	405
"Enrique Hernandez 2B  LAD "	397	60	98	56	22	3	17	60	36	88	5	0	.247	.315	.446	407
"Jarred Kelenic CF  SEA "	411	58	103	61	21	3	18	55	42	117	6	2	.251	.325	.448	408
"Delino DeShields CF  CLE"	425	56	106	76	18	5	7	44	49	100	24	6	.249	.330	.365	410
"Jake Cave RF  MIN "	335	57	91	47	21	5	18	52	32	111	2	1	.272	.348	.525	411
"Franchy Cordero CF  SD"	400	58	98	62	21	4	11	58	42	125	13	5	.245	.319	.400	413
"Jon Jay RF  ARI"	470	59	125	79	29	3	14	56	39	105	5	1	.266	.328	.430	414
"Dexter Fowler RF  STL"	477	67	105	64	24	1	16	62	61	145	8	4	.220	.315	.375	419
"Carlos Gonzalez LF  SEA"	472	66	113	73	21	2	17	54	51	153	5	1	.239	.315	.400	420
"Clint Frazier RF  NYY "	316	49	88	50	20	1	17	52	29	95	3	2	.279	.343	.509	421
"Josh VanMeter LF  CIN"	309	52	84	48	19	3	14	42	35	74	10	3	.272	.348	.489	423
"Brad Miller 3B  STL "	312	46	85	46	17	2	20	50	31	90	2	0	.272	.340	.532	425
"Nick Martini LF  PHI "	473	64	127	84	27	5	11	54	51	119	3	1	.269	.341	.416	426
"Matt Kemp LF  NYM "	440	50	119	84	21	1	13	62	23	124	1	0	.271	.303	.411	436
"Danny Woodrow RF  DET"	407	51	106	65	23	3	15	49	36	112	6	2	.260	.326	.442	438
"Billy Hamilton CF  SF"	494	61	109	82	19	5	3	24	44	141	37	9	.221	.283	.298	439
"Brandon Belt 1B  SF"	469	62	113	69	26	2	16	52	63	120	4	1	.241	.335	.407	441
"Steven Duggar CF  SF "	548	62	132	90	30	5	7	74	35	162	5	4	.241	.286	.352	445
"Tim Locastro LF  ARI"	320	47	86	53	19	3	11	41	25	75	12	3	.269	.336	.450	446
"Jorge Bonifacio RF  DET"	504	61	125	77	30	4	14	54	51	150	3	1	.248	.322	.407	447
"Nick Williams LF  PHI"	380	54	95	59	17	2	17	48	32	105	3	2	.250	.316	.440	449
"Leury Garcia CF  CHW "	328	57	91	67	15	4	5	33	15	78	15	4	.277	.313	.393	450
"Ehire Adrianza SS  MIN"	324	53	91	57	19	4	11	46	29	73	4	2	.281	.345	.466	451
"Jay Bruce LF  PHI "	321	46	76	36	20	1	19	57	27	82	2	0	.237	.297	.483	453
"Chad Pinder LF  OAK"	386	50	103	65	22	1	15	51	28	112	1	0	.267	.322	.446	455
"Matt Joyce RF  MIA"	363	48	105	71	19	2	13	44	36	92	2	1	.289	.356	.460	456
"Brandon Drury 3B  TOR"	384	51	95	55	21	2	17	53	29	95	1	0	.247	.301	.445	460
"Albert Almora CF  CHC "	449	58	116	80	21	2	13	45	26	93	3	2	.258	.299	.401	463
"Cameron Maybin LF  DET "	372	48	97	62	22	2	11	35	37	111	12	6	.261	.330	.419	470
"Lane Thomas CF  STL"	315	46	82	52	15	2	13	44	31	88	6	2	.260	.332	.444	474
"Billy McKinney RF  TOR"	326	50	82	44	20	2	16	45	26	85	2	1	.252	.308	.472	476
"Abraham Almonte RF  SD"	315	52	81	47	16	4	14	39	34	81	4	2	.257	.332	.467	478
"Stephen Vogt C  ARI "	331	38	85	43	22	4	16	51	24	81	3	1	.257	.309	.492	481
"DJ Stewart RF  BAL "	324	42	85	52	18	1	14	44	29	80	5	2	.262	.328	.454	484
"Jake Bauers LF  CLE "	337	49	78	44	18	1	15	51	43	103	4	3	.232	.320	.424	485
"Scott Heineman CF  TEX"	312	49	78	45	18	2	13	44	36	88	5	2	.250	.335	.446	486
"Tyler Wade 2B  NYY"	252	41	72	46	14	3	9	36	25	61	10	3	.286	.355	.472	488
"Yairo Munoz RF  STL "	322	38	89	60	17	3	9	41	25	79	10	5	.276	.334	.432	493
"Jake Marisnick CF  NYM"	325	43	74	42	15	3	14	37	19	116	12	3	.228	.285	.421	499
"Willians Astudillo C  MIN "	312	45	85	53	17	3	12	48	23	25	0	0	.272	.330	.462	501
"Josh Naylor LF  SD"	360	46	94	59	22	1	12	44	36	94	3	2	.261	.328	.428	503
"Johan Camargo SS  ATL "	415	51	96	65	18	2	11	57	35	90	3	1	.231	.295	.364	508
"Josh Rojas LF  ARI"	321	45	80	51	16	2	11	42	32	84	6	3	.249	.323	.414	509
