All Players 3 Year Averages MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Justin Verlander SP  HOU "	214.1	34	34	25	1	17	8	0	0	270	50	154	2.81	0.95	8
"Max Scherzer SP  WAS "	198.0	30	30	22	1	15	7	0	0	270	46	140	2.64	0.94	11
"Gerrit Cole SP  NYY "	205.1	33	33	22	0	16	7	0	0	266	56	161	3.20	1.06	22
"Jacob deGrom SP  NYM "	207.1	32	32	24	1	12	9	0	0	254	50	162	2.52	1.02	24
"Chris Sale SP  BOS "	173.1	28	28	18	1	12	8	0	0	254	38	130	3.06	0.97	32
"Zack Greinke SP  HOU "	206.1	33	33	21	0	17	8	0	0	200	39	176	3.10	1.04	35
"Clayton Kershaw SP  LAD "	171.2	27	27	21	0	14	5	0	0	182	33	140	2.67	1.01	44
"Stephen Strasburg SP  WAS "	171.1	28	28	18	0	14	6	0	0	204	47	137	3.15	1.07	52
"Corey Kluber SP  TEX"	151.1	23	23	16	2	13	5	0	0	175	28	121	2.85	0.98	57
"Aaron Nola SP  PHI"	194.1	31	31	20	0	14	8	0	0	212	62	160	3.24	1.14	59
"Charlie Morton SP  TB "	169.1	29	29	16	0	15	5	0	0	201	57	136	3.24	1.14	60
"Patrick Corbin SP  WAS "	197.1	33	33	21	1	13	9	0	0	221	60	180	3.47	1.22	84
"Mike Clevinger SP  CLE "	149.1	27	25	15	0	13	6	0	0	171	55	117	2.95	1.15	88
"Kenley Jansen RP  LAD "	67.2	65	0	0	0	4	3	37	4	90	13	50	2.66	0.93	89
"Trevor Bauer SP  CIN "	188.1	31	31	18	0	13	9	0	0	223	66	166	3.68	1.23	93
"Carlos Carrasco SP  CLE "	157.1	29	25	13	1	14	8	0	0	184	35	146	3.66	1.15	96
"Shohei Ohtani DH  LAA "	26.0	5	5	2	0	2	1	0	0	32	11	19	3.46	1.15	106
"Shane Bieber SP  CLE"	164.2	27	26	16	2	13	6	0	0	188	32	158	3.72	1.15	108
"James Paxton SP  NYY "	149.0	27	27	14	1	13	6	0	0	183	45	128	3.56	1.16	109
"Felipe Vazquez RP  PIT "	68.1	66	0	0	0	5	2	29	3	89	19	51	1.98	1.02	115
"Miles Mikolas SP  STL "	192.1	32	32	18	1	14	9	0	0	145	30	190	3.46	1.14	116
"Luis Severino SP  NYY "	132.1	22	22	13	0	11	5	0	0	156	34	110	3.13	1.09	121
"Chris Paddack SP  SD "	140.2	26	26	10	0	9	7	0	0	153	31	107	3.33	0.98	127
"Edwin Diaz RP  NYM "	65.2	68	0	0	0	2	6	39	5	104	24	48	3.43	1.10	129
"Jose Berrios SP  MIN "	179.1	30	30	17	1	13	9	0	0	179	53	161	3.81	1.19	135
"Blake Snell SP  TB "	139.0	26	26	12	0	11	7	0	0	162	54	107	3.17	1.16	138
"Brad Hand RP  CLE "	69.2	67	0	0	0	4	4	29	6	98	22	53	2.71	1.08	143
"Josh Hader RP  MIL"	68.1	50	0	0	0	4	3	16	4	116	24	34	2.37	0.85	149
"Robbie Ray SP  ARI "	153.1	28	28	11	0	11	5	0	0	206	75	121	3.70	1.28	152
"Kyle Hendricks SP  CHC"	172.0	29	29	16	0	11	9	0	0	145	39	159	3.35	1.15	158
"Craig Kimbrel RP  CHC "	50.2	51	0	0	0	3	2	30	4	84	19	28	2.66	0.93	163
"Roberto Osuna RP  HOU"	55.2	57	0	0	0	3	3	33	6	63	8	41	2.91	0.88	165
"Raisel Iglesias RP  CIN"	71.2	66	0	0	0	3	7	31	4	87	24	57	3.01	1.13	174
"Mike Minor SP  TEX "	147.2	42	20	10	1	11	8	2	1	140	43	128	3.60	1.16	175
"Aroldis Chapman RP  NYY "	53.0	56	0	0	0	3	2	30	4	82	25	33	2.55	1.09	176
"Hyun-Jin Ryu SP  TOR "	130.2	23	23	12	0	9	6	0	0	123	28	119	2.69	1.12	177
"Ryan Yarbrough RP  TB "	144.2	33	10	4	0	14	6	0	0	122	35	130	3.98	1.14	181
"Eduardo Rodriguez SP  BOS "	156.2	29	27	12	0	13	6	0	0	170	57	147	3.91	1.30	186
"Luis Castillo SP  CIN "	150.0	26	26	13	0	9	9	0	0	163	53	120	3.66	1.15	188
"J.A. Happ SP  NYY "	161.1	29	29	12	0	13	8	0	0	158	49	152	4.02	1.25	191
"Lance Lynn SP  TEX "	183.2	32	32	16	0	12	10	0	0	187	71	170	3.92	1.31	193
"Sonny Gray SP  CIN "	156.0	29	27	14	0	11	10	0	0	160	61	133	3.69	1.24	195
"Walker Buehler SP  LAD "	109.2	21	18	10	1	8	3	0	0	126	27	86	3.12	1.03	196
"German Marquez SP  COL "	177.1	30	30	15	0	12	8	0	0	184	47	176	4.26	1.26	197
"Kenta Maeda SP  MIN "	137.2	35	24	6	0	10	8	2	0	154	43	117	4.05	1.16	198
"Alex Colome RP  CHW "	65.1	66	0	0	0	4	4	30	5	62	22	53	3.03	1.15	201
"Sean Doolittle RP  WAS "	52.0	53	0	0	0	4	3	26	3	63	10	39	2.94	0.94	202
"Masahiro Tanaka SP  NYY "	172.0	30	29	15	1	12	9	0	0	167	39	169	4.34	1.21	203
"Carlos Martinez RP  STL "	124.0	38	17	10	1	8	6	10	1	129	50	106	3.41	1.26	204
"Blake Treinen RP  LAD "	71.2	66	0	0	0	6	4	23	5	78	28	61	3.01	1.24	205
"Rich Hill SP  MIN "	109.0	21	21	8	0	9	5	0	0	129	36	85	3.30	1.11	207
"Jon Lester SP  CHC "	178.0	32	32	16	0	15	8	0	0	165	59	186	4.04	1.38	208
"Kirby Yates RP  SD"	60.0	62	0	0	0	3	4	18	2	93	16	42	2.40	0.97	209
"Jack Flaherty SP  STL "	123.0	22	22	10	0	6	6	0	0	144	41	89	3.22	1.06	210
"Chase Anderson SP  TOR"	146.0	29	27	9	0	10	5	0	0	128	49	123	3.64	1.18	226
"Jake Odorizzi SP  MIN "	155.2	30	30	10	0	11	8	0	0	156	61	136	4.05	1.27	231
"Jose Quintana SP  CHC "	178.0	32	32	15	0	12	10	0	0	172	58	174	4.30	1.30	233
"Dallas Keuchel SP  CHW "	154.1	25	25	16	1	11	8	0	0	123	48	147	3.50	1.26	237
"Ken Giles RP  TOR "	55.1	57	0	0	0	1	3	28	2	73	15	45	2.93	1.08	240
"David Price SP  LAD "	119.1	23	21	11	0	10	5	0	0	127	35	108	3.77	1.20	243
"Mike Foltynewicz SP  ATL "	151.1	27	27	12	1	10	10	0	0	150	55	136	3.92	1.26	246
"Mike Fiers SP  OAK "	170.0	31	30	15	0	12	7	0	0	137	51	163	4.18	1.26	252
"Merrill Kelly SP  ARI "	183.1	32	32	15	0	13	14	0	0	158	57	184	4.42	1.31	256
"Yusmeiro Petit RP  OAK"	89.0	71	0	0	0	6	3	1	1	83	15	67	2.83	0.92	260
"Rick Porcello SP  NYM "	189.2	33	33	16	1	14	12	0	0	171	47	204	4.79	1.32	262
"Madison Bumgarner SP  ARI "	149.1	24	24	15	0	6	8	0	0	138	35	137	3.56	1.15	263
"Yu Darvish SP  CHC "	135.0	23	23	11	0	6	8	0	0	162	45	112	4.00	1.16	264
"Hector Neris RP  PHI "	63.1	65	0	0	0	3	5	22	4	84	22	53	3.55	1.18	265
"Alex Wood SP  LAD "	113.1	22	20	10	0	9	4	0	0	105	29	102	3.49	1.16	269
"Brad Peacock SP  HOU "	96.1	39	12	5	0	8	4	1	1	118	36	78	3.46	1.18	270
"Zack Wheeler SP  PHI"	154.2	26	26	14	0	9	7	0	0	152	48	148	3.96	1.27	271
"Gio Gonzalez SP  CHW "	153.0	28	27	11	0	9	7	0	0	138	65	134	3.53	1.30	275
"Julio Teheran SP  LAA "	179.2	32	32	17	0	10	11	0	0	158	80	152	4.11	1.29	277
"Chad Green RP  NYY "	71.1	52	5	0	0	6	2	1	2	98	17	55	2.78	1.01	280
"Joey Lucchesi SP  SD"	146.2	28	28	8	0	9	10	0	0	152	50	134	4.17	1.25	281
"Noah Syndergaard SP  NYM "	127.1	21	21	12	1	8	5	0	0	130	31	124	3.67	1.22	282
"Jake Arrieta SP  PHI "	159.0	28	28	14	0	11	10	0	0	137	54	155	4.02	1.31	290
"Cole Hamels SP  ATL "	160.0	28	28	14	1	9	8	0	0	145	58	147	3.94	1.28	292
"Mike Soroka SP  ATL "	100.0	17	17	10	0	8	2	0	0	82	24	92	2.79	1.16	295
"Wade Davis RP  COL"	55.2	59	0	0	0	3	5	30	3	66	28	44	4.69	1.29	296
"Jon Gray SP  COL "	144.1	26	25	12	0	11	7	0	0	148	46	147	4.30	1.34	297
"Shane Greene RP  ATL"	64.2	67	0	0	0	3	4	21	5	67	23	55	3.34	1.21	298
"Jhoulys Chacin SP  MIN "	158.2	31	30	11	0	10	10	0	0	137	63	142	4.20	1.29	301
"Corey Knebel RP  MIL "	43.2	44	0	0	0	2	2	18	3	71	21	29	2.47	1.15	304
"Tanner Roark SP  TOR "	175.2	31	30	14	0	11	12	0	0	157	55	180	4.46	1.34	306
"Marcus Stroman SP  NYM "	162.2	28	28	15	1	9	10	0	0	133	52	166	3.65	1.34	307
"Seth Lugo RP  NYM "	94.1	45	8	3	0	6	4	3	2	97	23	84	3.44	1.13	309
"David Robertson RP  PHI "	48.1	46	0	0	0	6	2	6	2	65	18	30	2.61	0.99	310
"Sean Manaea SP  OAK "	116.1	20	20	11	0	9	6	0	0	93	31	108	3.71	1.19	314
"Nick Anderson RP  TB "	65.0	68	0	0	0	5	4	1	4	110	18	52	3.32	1.08	317
"Mike Leake SP  ARI "	189.2	31	31	18	1	11	11	0	0	125	33	212	4.18	1.29	318
"Taylor Rogers RP  MIN"	64.1	67	0	0	0	3	3	11	4	71	16	53	2.80	1.07	322
"Will Smith RP  ATL "	39.1	39	0	0	0	3	1	16	3	56	12	28	2.75	1.02	323
"Yonny Chirinos SP  TB "	111.1	22	12	6	0	7	5	0	0	94	26	98	3.72	1.11	326
"Lucas Giolito SP  CHW "	131.2	23	23	12	1	9	8	0	0	129	53	109	4.51	1.23	328
