All Players 3 Year Averages MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Jeff Samardzija SP  SF"	144.2	25	25	11	0	7	11	0	0	125	36	134	4.23	1.18	334
"Kyle Gibson SP  TEX"	171.2	32	30	12	0	12	10	0	0	153	65	178	4.46	1.42	338
"Matthew Boyd SP  DET "	163.2	30	29	13	0	8	12	0	0	169	51	160	4.67	1.29	341
""Jameson Taillon SP  PIT ""	120.2	21	21	11	1	8	7	0	0	111	33	122	3.73	1.28	344
"CC Sabathia SP  NYY"	136.1	26	26	10	0	9	7	0	0	122	47	134	4.03	1.33	348
"Craig Stammen RP  SD"	80.1	70	0	0	0	6	4	1	5	78	20	71	3.02	1.13	350
"Chris Archer SP  PIT "	156.1	28	28	13	0	6	10	0	0	185	55	154	4.43	1.34	351
"Ross Stripling RP  LAD "	95.2	38	13	4	0	5	5	1	1	101	20	92	3.39	1.17	352
"Blake Parker RP  PHI"	65.0	66	1	0	0	3	2	11	2	74	19	52	3.46	1.09	353
"Trevor Williams SP  PIT "	155.2	29	27	13	0	9	9	0	0	119	50	151	4.11	1.29	355
"Brandon Workman RP  BOS "	51.0	50	0	0	0	6	1	5	2	59	24	33	2.65	1.12	356
"Dylan Bundy SP  LAA "	167.2	30	30	15	1	9	13	0	0	166	54	167	4.83	1.32	360
"Archie Bradley RP  ARI "	72.0	68	0	0	0	4	4	7	6	80	26	61	3.00	1.21	361
"Emilio Pagan RP  SD "	60.2	52	0	0	0	3	2	7	3	72	13	46	3.26	0.97	363
"Joe Musgrove SP  PIT "	131.2	30	22	10	0	8	10	1	1	118	30	133	4.44	1.24	364
"Zack Godley RP  DET"	141.2	31	22	10	0	9	8	1	0	140	59	132	4.51	1.35	366
"Sergio Romo RP  MIN "	61.0	64	2	0	0	3	2	15	4	65	19	52	3.69	1.16	367
"Marco Gonzales SP  SEA "	136.2	25	24	11	0	10	8	0	0	108	33	147	4.21	1.32	371
"Dakota Hudson SP  STL "	101.0	30	16	8	0	10	4	0	0	78	52	90	3.21	1.41	372
"Liam Hendriks RP  OAK "	57.2	57	3	0	0	3	2	9	3	75	18	48	2.96	1.14	373
"Zach Plesac SP  CLE "	115.2	21	21	8	1	8	6	0	0	88	40	102	3.81	1.23	377
"Jose Urena SP  MIA"	142.2	30	24	11	0	9	10	1	1	102	47	135	4.16	1.28	378
"Zach Davies SP  SD"	139.0	26	26	9	0	10	8	0	0	92	42	142	3.88	1.32	380
"Brad Keller SP  KC "	152.2	34	24	12	0	8	10	0	1	109	60	144	3.66	1.34	381
"Adam Ottavino RP  NYY"	65.2	70	0	0	0	5	4	3	5	88	38	45	3.02	1.26	382
"Steve Cishek RP  CHW"	59.2	66	0	0	0	4	4	4	3	59	24	40	2.41	1.07	386
"Matt Barnes RP  BOS "	65.1	67	0	0	0	6	4	2	4	96	32	52	3.72	1.29	388
"Fernando Rodney RP  WAS"	55.2	61	0	0	0	3	4	22	6	61	29	50	4.37	1.42	389
"Anibal Sanchez SP  WAS "	136.0	28	24	11	0	7	7	0	0	124	43	133	4.17	1.29	394
"Cody Allen RP  MIN"	52.1	55	0	0	0	2	5	20	3	67	25	46	4.13	1.36	397
"Kyle Freeland SP  COL "	154.1	29	28	14	0	10	10	0	0	120	57	159	4.14	1.40	398
"Jason Vargas SP  PHI"	140.1	27	27	10	1	11	10	0	0	114	50	141	4.62	1.36	402
"Mychal Givens RP  BAL "	72.2	65	0	0	0	3	5	7	6	84	27	56	3.72	1.14	404
"Jake Junis SP  KC"	150.1	27	26	11	0	9	10	0	0	136	42	158	4.67	1.33	407
"Pedro Strop RP  CIN"	54.0	60	0	0	0	4	3	8	5	57	22	39	3.17	1.13	410
"Hansel Robles RP  LAA "	61.2	57	0	0	0	5	3	8	2	65	23	53	3.65	1.23	411
"Alex Young SP  ARI "	83.1	17	15	5	0	7	5	0	0	71	27	72	3.56	1.19	412
"Ivan Nova SP  DET"	178.1	31	31	14	1	10	12	0	0	120	39	200	4.34	1.34	413
"Jose Leclerc RP  TEX "	57.1	59	1	0	0	2	3	9	3	82	35	33	3.30	1.19	414
"Diego Castillo RP  TB"	62.2	54	8	0	0	4	5	4	2	73	22	48	3.30	1.12	415
"Will Harris RP  WAS "	54.0	58	0	0	0	4	2	2	2	59	12	42	2.67	1.00	417
"Jared Hughes RP  HOU "	70.0	70	0	0	0	5	4	3	3	54	25	54	2.96	1.13	419
"Michael Wacha SP  NYM"	125.2	25	23	9	0	9	6	0	0	111	49	127	4.15	1.40	423
"Zac Gallen SP  ARI "	80.0	15	15	5	0	3	6	0	0	96	36	62	2.81	1.23	424
"Danny Duffy SP  KC"	144.0	25	25	12	0	8	9	0	0	129	52	143	4.38	1.35	425
"Keone Kela RP  PIT "	40.0	42	0	0	0	3	2	9	2	50	16	25	2.92	1.02	426
"Collin McHugh RP  HOU "	70.0	35	7	3	0	5	3	0	0	79	24	56	3.47	1.14	429
"Lance McCullers SP  HOU "	82.1	16	15	7	0	6	3	0	0	91	30	71	4.04	1.23	431
"Greg Holland RP  KC"	46.1	52	0	0	0	2	3	20	4	53	27	36	4.27	1.36	433
"Domingo German SP  NYY "	81.0	18	13	5	0	7	4	0	0	91	27	72	4.56	1.22	437
"Andrew Miller RP  STL "	50.1	56	0	0	0	4	4	3	3	70	21	36	3.22	1.13	438
"Sean Newcomb RP  ATL "	110.2	35	18	8	0	7	7	0	1	111	56	99	3.90	1.40	442
"Pedro Baez RP  LAD"	63.1	64	0	0	0	5	4	0	3	65	25	48	2.98	1.15	445
"Joakim Soria RP  OAK"	62.0	65	0	0	0	3	4	6	6	73	19	51	3.77	1.13	448
"Colin Poche RP  TB"	51.2	51	0	0	0	5	5	2	4	72	19	33	4.70	1.01	453
"Dellin Betances RP  NYM "	42.1	44	0	0	0	2	4	5	2	72	23	24	2.76	1.11	456
"Kevin Gausman SP  SF"	157.2	32	27	12	0	8	11	0	0	147	51	170	4.62	1.40	459
"Arodys Vizcaino RP  SEA"	33.1	35	0	0	0	3	2	10	2	37	13	25	2.43	1.14	460
"Ryan Pressly RP  HOU "	62.1	63	0	0	0	2	2	2	4	78	18	49	3.18	1.07	461
"Bud Norris RP  PHI"	40.0	41	1	0	0	2	4	16	3	47	16	36	3.83	1.30	463
"Chris Devenski RP  HOU"	65.2	58	1	0	0	4	4	2	3	74	20	54	3.84	1.13	464
"John Means SP  BAL "	79.1	16	14	6	0	6	6	0	0	62	19	72	3.86	1.15	465
"Jeremy Jeffress RP  CHC "	64.2	61	0	0	0	5	2	5	3	62	26	59	3.48	1.31	466
"Michael Pineda SP  MIN "	80.2	14	14	7	0	6	3	0	0	77	16	81	4.13	1.20	467
"Justin Wilson RP  NYM"	50.2	60	0	0	0	4	4	6	2	64	29	39	3.20	1.34	468
"Brandon Kintzler RP  MIA "	63.0	68	0	0	0	3	3	11	4	43	17	60	3.43	1.22	473
"Drew Pomeranz RP  SD "	117.1	35	20	7	0	7	7	1	0	126	52	119	4.37	1.46	475
"Ian Kennedy RP  KC "	112.1	38	17	6	0	4	8	10	1	103	39	111	4.73	1.34	476
"Scott Oberg RP  COL "	57.2	57	0	0	0	5	1	2	3	57	20	51	3.28	1.23	479
"Freddy Peralta RP  MIL "	81.2	28	11	4	0	6	4	0	0	106	38	68	4.85	1.30	482
"Brandon Woodruff SP  MIL "	69.0	16	11	4	0	5	2	0	0	74	19	63	3.91	1.19	484
"Daniel Hudson RP  WAS "	60.1	60	1	0	0	5	4	3	2	60	26	50	3.58	1.26	485
"Seranthony Dominguez RP  PHI "	41.1	40	0	0	0	2	2	8	3	52	17	28	3.27	1.09	486
"Lou Trivino RP  OAK "	67.0	65	0	0	0	6	4	2	5	70	31	57	4.03	1.31	487
"Aaron Civale SP  CLE "	57.2	10	10	6	0	3	4	0	0	46	16	44	2.34	1.04	494
"Tyler Clippard RP  MIN"	63.2	64	1	0	0	2	4	4	4	74	23	47	3.82	1.10	495
"Wade LeBlanc RP  BAL"	117.0	36	12	4	0	7	5	0	1	92	29	120	4.54	1.27	497
"Brad Brach RP  NYM"	61.2	65	0	0	0	4	4	10	4	63	28	60	3.94	1.43	499
"Anthony DeSclafani SP  CIN "	94.0	17	17	5	0	5	6	0	0	92	26	90	4.31	1.23	500
"Steven Matz SP  NYM "	127.0	25	24	10	0	6	9	0	0	118	43	127	4.46	1.34	503
"Michael Lorenzen RP  CIN "	82.1	63	1	0	0	4	3	3	3	73	32	75	3.50	1.30	504
"Griffin Canning SP  LAA "	90.1	18	17	6	0	5	6	0	0	96	30	80	4.58	1.22	505
"Jesse Chavez RP  TEX"	103.2	49	10	3	0	5	6	2	1	94	28	105	4.34	1.28	507
"Wade Miley SP  CIN "	135.0	27	27	9	0	9	8	0	0	111	60	138	4.33	1.47	508
"Andrew Heaney SP  LAA "	99.0	18	18	7	0	5	6	0	0	108	28	97	4.64	1.26	509
"Kelvin Herrera RP  CHW"	51.2	56	0	0	0	3	3	15	3	49	18	54	4.36	1.39	510
"Jordan Hicks RP  STL "	53.1	51	0	0	0	2	3	10	4	50	28	38	3.38	1.24	513
"Trevor Richards SP  TB "	130.2	28	24	8	0	5	10	0	0	128	55	124	4.27	1.37	514
"Max Fried SP  ATL "	75.0	19	13	5	0	6	4	0	0	80	26	77	3.84	1.37	516
"Tony Watson RP  SF "	62.1	68	0	0	0	4	4	3	5	55	15	61	3.32	1.22	519
"Yoshihisa Hirano RP  SEA "	59.2	68	0	0	0	4	4	2	4	60	22	50	3.47	1.21	523
"Matt Albers RP  MIL"	51.2	55	0	0	0	6	4	2	2	51	19	44	4.18	1.22	524
"Luke Weaver SP  ARI "	87.0	18	16	6	0	6	5	0	0	87	28	88	4.24	1.33	525
"Cam Bedrosian RP  LAA "	56.2	59	2	0	0	5	4	3	5	58	22	51	3.81	1.29	526
"Dereck Rodriguez SP  SF "	108.2	24	18	8	0	6	8	0	0	80	36	103	4.14	1.28	527
"John Brebbia RP  STL"	58.1	54	0	0	0	2	2	1	1	66	18	46	3.09	1.10	531
"Reynaldo Lopez SP  CHW "	140.0	24	24	13	0	7	9	0	0	117	51	139	4.63	1.36	532
"Jeurys Familia RP  NYM"	52.1	54	0	0	0	5	3	8	4	57	28	48	4.30	1.45	534
"Brent Suter RP  MIL "	67.0	17	11	2	0	5	3	0	0	54	14	65	3.63	1.18	535
"Jordan Yamamoto SP  MIA "	78.2	15	15	4	0	4	5	0	0	82	36	54	4.46	1.14	536
"Jacob Webb RP  ATL "	32.1	36	0	0	0	4	0	2	2	28	12	24	1.39	1.11	538
"John Gant RP  STL "	66.0	32	7	2	0	6	3	1	1	55	34	53	3.68	1.32	539
"Brandon Morrow RP  CHC "	24.2	27	0	0	0	2	0	8	1	27	6	18	1.82	0.97	540
"Adam Wainwright SP  STL "	111.2	21	21	8	0	9	6	0	0	96	42	121	4.59	1.46	541
"Zach Eflin SP  PHI "	118.2	22	21	9	1	7	9	0	0	96	32	127	4.55	1.34	544
"Ryan Tepera RP  CHC"	54.2	55	0	0	0	4	3	3	3	54	21	44	3.79	1.19	546
"Junior Guerra RP  ARI"	98.1	41	13	5	0	5	6	1	3	93	45	87	4.21	1.34	547
"Ryan Buchter RP  LAA"	50.0	63	0	0	0	4	1	0	2	52	21	39	2.88	1.20	550
"Tony Gonsolin SP  LAD "	40.0	11	6	1	0	4	2	1	0	37	15	26	2.92	1.02	551
"Zack Britton RP  NYY "	46.1	48	0	0	0	2	1	8	3	39	24	35	2.52	1.27	553
"Hector Rondon RP  ARI"	59.0	62	0	0	0	3	3	5	4	61	20	55	3.66	1.27	554
"Caleb Smith SP  MIA "	83.0	18	15	5	0	5	6	0	0	91	34	71	4.66	1.27	555
"Jaime Barria SP  LAA"	106.0	22	20	2	0	7	10	0	0	86	37	104	4.58	1.33	557
"Eric Lauer SP  MIL "	130.2	26	26	8	0	7	8	0	0	119	48	142	4.41	1.45	558
"Matt Strahm RP  SD"	70.1	37	8	2	0	4	7	0	0	75	22	63	4.09	1.21	560
"Pat Neshek RP  PHI"	35.0	40	0	0	0	3	2	3	2	31	4	31	2.31	1.00	561
"Andrew Cashner SP  BOS"	156.2	33	26	14	0	9	11	0	0	98	62	159	4.42	1.41	562
"Sam Dyson RP  MIN"	62.1	63	0	0	0	4	5	6	5	48	21	59	3.90	1.28	563
"Brad Boxberger RP  MIA"	36.1	40	0	0	0	3	5	11	4	46	20	31	4.46	1.40	565
"Chris Bassitt SP  OAK "	64.0	13	11	4	0	4	3	0	0	61	22	55	3.66	1.20	566
"Seung-Hwan Oh RP  COL"	48.2	52	0	0	0	3	3	8	4	50	13	50	4.07	1.29	569
"Ervin Santana SP  CHW"	83.0	14	14	7	2	5	4	0	0	63	25	76	4.12	1.22	570
"Trent Thornton SP  TOR "	154.1	32	29	9	0	6	9	0	0	149	61	156	4.84	1.41	573
"Vince Velasquez SP  PHI"	112.0	26	23	6	0	6	9	0	0	120	45	111	4.90	1.39	574
"Wander Suero RP  WAS"	59.1	59	0	0	0	5	5	0	3	64	20	54	4.25	1.25	575
"Josh James RP  HOU "	42.0	28	2	0	0	4	0	0	1	64	21	30	4.07	1.21	576
"Jimmy Nelson RP  LAD "	65.2	13	11	6	0	4	3	0	0	75	22	65	3.84	1.32	579
"Joe Smith RP  HOU"	41.2	48	0	0	0	3	0	0	1	46	9	33	3.24	1.01	580
"Noe Ramirez RP  LAA"	54.2	44	3	0	0	4	3	0	1	63	18	47	4.12	1.19	581
"Reyes Moronta RP  SF "	42.2	44	0	0	0	3	3	0	4	53	24	27	2.74	1.20	582
"Kevin Ginkel RP  ARI"	24.1	25	0	0	0	3	0	2	0	28	9	15	1.48	0.99	584
"Tommy Hunter RP  PHI "	42.2	44	0	0	0	3	3	2	1	40	10	37	3.16	1.10	586
"Luke Jackson RP  ATL"	54.2	49	0	0	0	4	1	6	3	62	22	57	4.28	1.45	587
"Mike Montgomery RP  KC"	115.1	38	15	5	0	5	8	1	0	85	43	116	3.98	1.38	588
"Michael Fulmer SP  DET "	99.0	16	16	9	0	4	8	0	0	75	29	93	4.18	1.23	591
"Trevor May RP  MIN"	30.0	30	0	0	0	3	1	2	1	38	10	21	3.00	1.03	592
"Frankie Montas SP  OAK "	64.1	17	9	6	0	5	2	0	0	61	21	66	3.78	1.35	593
"Tommy Kahnle RP  NYY"	49.0	55	0	0	0	2	2	0	4	71	17	40	3.67	1.16	597
"Joe Kelly RP  LAD "	58.1	61	0	0	0	4	2	1	5	61	27	49	3.86	1.30	598
"Josh Taylor RP  BOS"	47.1	52	1	0	0	2	2	0	1	62	16	40	3.04	1.18	599
"Anthony Swarzak RP  PHI"	52.1	53	0	0	0	3	3	3	2	58	21	46	3.78	1.28	600
"Daniel Mengden SP  OAK "	72.2	14	11	5	1	5	3	0	0	48	21	66	4.09	1.20	601
"Ryan Brasier RP  BOS"	44.2	48	0	0	0	2	2	4	3	45	14	35	3.63	1.10	602
"Marcus Walden RP  BOS"	46.1	39	0	0	0	4	1	2	2	45	18	38	3.88	1.21	603
"Carl Edwards RP  SEA "	45.0	51	0	0	0	3	2	0	3	60	28	26	3.60	1.20	605
"Dinelson Lamet SP  SD"	62.1	12	12	5	0	3	4	0	0	81	28	50	4.33	1.25	606
"Alex Claudio RP  MIL"	71.0	73	1	0	0	3	2	4	3	47	17	73	3.55	1.27	609
"Nick Ramirez RP  DET "	79.2	46	0	0	0	5	4	0	1	74	35	76	4.07	1.39	613
"Jordan Montgomery SP  NYY "	62.1	12	12	4	0	4	2	0	0	57	21	57	3.90	1.25	615
"Ty Buttrey RP  LAA "	44.1	44	0	0	0	3	4	3	3	52	14	42	3.86	1.26	616
"Alex Cobb SP  BAL"	114.2	20	20	10	0	6	9	0	0	79	30	123	4.47	1.33	621
"Felix Pena RP  LAA "	74.1	22	8	2	0	4	3	0	0	74	27	67	4.48	1.26	622
"Jose Alvarez RP  PHI"	57.0	69	0	0	0	3	4	1	2	52	17	56	3.32	1.28	627
"Justin Miller RP  TOR"	34.0	34	0	0	0	4	0	1	1	36	10	29	3.71	1.15	628
"Cal Quantrill SP  SD "	103.0	23	18	4	0	6	8	0	0	89	28	106	5.16	1.30	630
"David Hernandez RP  WAS"	54.0	56	0	0	0	3	3	1	4	57	15	49	4.17	1.19	631
"Adam Warren RP  SD "	46.0	39	0	0	0	3	2	0	1	44	16	37	3.33	1.15	632
"Caleb Ferguson RP  LAD"	46.2	38	2	0	0	4	2	1	0	56	20	41	4.24	1.31	634
"Matt Magill RP  SEA "	53.2	45	0	0	0	4	2	2	2	60	22	54	4.03	1.42	637
"Mark Melancon RP  ATL"	45.1	46	0	0	0	2	3	9	3	43	13	52	3.77	1.43	640
"Josh Fields RP  MIL"	32.2	34	0	0	0	2	1	1	1	31	9	23	2.48	0.98	643
"Nick Pivetta RP  PHI "	130.1	30	24	6	0	6	10	0	0	139	49	137	5.32	1.43	645
"Hunter Strickland RP  WAS"	43.2	48	0	0	0	3	3	6	2	38	19	41	3.71	1.37	646
"Nick Wittgren RP  CLE"	44.2	42	0	0	0	3	1	1	1	45	14	41	3.42	1.23	647
"Nick Vincent RP  SF"	55.1	54	1	0	0	3	4	0	1	51	13	53	3.74	1.19	650
"Juan Nicasio RP  TEX"	54.0	56	0	0	0	3	5	3	4	57	15	56	4.17	1.31	651
"Carlos Rodon SP  CHW "	75.0	13	13	7	0	4	5	0	0	71	34	65	4.32	1.32	654
"Robert Gsellman RP  NYM"	87.2	48	7	3	0	5	4	5	4	71	31	93	4.83	1.41	655
"Scott Alexander RP  LAD "	50.2	53	0	0	0	3	2	2	2	41	21	45	3.20	1.30	657
"Matt Shoemaker SP  TOR "	45.2	9	9	3	0	4	2	0	0	42	16	39	3.94	1.20	658
