All First Basemen   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Cody Bellinger RF  LAD"	511	105	153	81	31	5	36	96	75	105	14	4	.299	.391	.591	4
"Freddie Freeman 1B  ATL "	568	97	164	96	34	3	31	107	70	128	6	3	.289	.371	.523	13
"Pete Alonso 1B  NYM"	550	89	146	73	29	2	42	104	62	169	2	0	.266	.352	.554	40
"Whit Merrifield 2B  KC"	600	96	180	118	37	8	17	71	39	116	16	9	.300	.346	.473	41
"Anthony Rizzo 1B  CHC "	556	86	157	94	32	3	28	101	66	95	4	2	.282	.377	.502	52
"DJ LeMahieu 2B  NYY"	568	105	179	116	37	3	23	92	46	93	5	3	.315	.367	.512	57
"Josh Bell 1B  PIT"	529	80	136	69	31	3	33	98	72	138	1	0	.257	.347	.514	58
"Max Muncy 2B  LAD"	493	98	126	68	25	2	31	91	78	135	6	1	.256	.361	.503	68
"Matt Olson 1B  OAK"	525	76	145	81	30	1	33	95	56	153	1	0	.276	.355	.526	70
"Paul Goldschmidt 1B  STL "	594	92	155	94	28	1	32	95	65	176	2	1	.261	.335	.473	83
"Yasmani Grandal C  CHW "	416	70	113	63	23	3	24	71	59	111	3	1	.272	.364	.514	87
"Jose Abreu 1B  CHW"	557	89	167	89	40	1	37	121	41	122	2	1	.300	.356	.575	97
"Carlos Santana 1B  CLE"	508	98	140	81	27	2	30	92	92	91	3	0	.276	.386	.514	98
"Rhys Hoskins 1B  PHI"	519	84	126	60	33	4	29	88	93	150	3	2	.243	.366	.489	99
"Miguel Sano 3B  MIN"	482	92	125	57	29	3	36	94	67	174	1	0	.259	.352	.556	104
"Trey Mancini RF  BAL "	593	98	179	104	40	2	33	92	61	140	3	0	.302	.372	.543	108
"Danny Santana CF  TEX "	574	93	160	94	30	7	29	96	38	173	22	7	.279	.332	.507	126
"Yuli Gurriel 1B  HOU "	555	81	162	95	36	2	29	102	39	77	4	2	.292	.340	.521	128
"Cavan Biggio 2B  TOR "	530	90	131	79	28	4	20	72	88	156	17	3	.247	.357	.428	130
"Edwin Encarnacion 1B  CHW "	537	88	134	76	23	1	34	105	57	147	1	1	.249	.328	.486	164
"Mark Canha CF  OAK"	521	93	145	87	24	4	30	73	67	144	5	3	.278	.378	.512	166
"Hunter Dozier 3B  KC"	546	81	156	84	32	8	32	92	51	146	2	2	.286	.348	.549	182
"Christian Vazquez C  BOS"	401	50	104	66	22	1	15	56	27	90	3	1	.259	.306	.431	193
"Joc Pederson LF  LAD "	485	91	124	61	23	4	36	79	46	114	1	1	.256	.333	.542	194
"Luke Voit 1B  NYY "	457	77	126	72	26	2	26	76	65	145	1	0	.276	.376	.512	198
"Brandon Lowe 2B  TB "	543	80	146	82	32	4	28	88	46	171	10	2	.269	.332	.497	208
"Ryan McMahon 2B  COL "	550	77	140	89	25	3	23	85	55	164	7	2	.255	.325	.436	218
"Daniel Murphy 1B  COL"	518	70	147	94	32	1	20	86	41	87	3	1	.284	.337	.465	221
"Joey Votto 1B  CIN "	545	89	149	90	37	2	20	66	79	133	5	1	.273	.368	.459	223
"Yandy Diaz 3B  TB "	488	78	124	69	30	2	23	67	51	112	3	2	.254	.326	.465	226
"Christian Walker 1B  ARI "	448	67	114	67	24	1	22	61	49	130	6	1	.255	.335	.460	229
"Travis d'Arnaud C  ATL "	478	59	109	75	18	0	16	80	39	125	1	0	.228	.289	.366	232
"C.J. Cron 1B  DET "	456	42	105	61	25	1	18	57	27	131	0	0	.230	.285	.408	258
"Eric Hosmer 1B  SD"	597	76	162	106	32	3	21	96	48	146	2	2	.271	.327	.441	287
"Michael Chavis 1B  BOS "	557	74	140	89	21	1	29	89	50	172	3	1	.251	.321	.449	289
"Mitch Moreland 1B  BOS "	466	69	119	62	27	3	27	82	43	114	2	0	.255	.318	.500	300
"Wil Myers LF  SD"	528	72	130	75	35	2	18	67	56	176	18	5	.246	.320	.422	308
"Ian Happ LF  CHC "	413	67	109	61	23	3	22	69	49	110	7	2	.264	.345	.494	320
"Renato Nunez DH  BAL "	508	64	127	74	25	0	28	81	41	138	1	0	.250	.316	.465	321
"Neil Walker 1B  PHI"	478	69	129	78	30	3	18	74	69	114	4	1	.270	.364	.458	329
"Niko Goodrum SS  DET "	498	70	129	78	33	4	14	62	49	143	15	6	.259	.326	.426	334
"Howie Kendrick 1B  WAS "	434	59	132	82	31	2	17	66	30	83	3	1	.304	.352	.502	335
"Ryon Healy 3B  MIL "	510	69	131	73	35	2	21	74	45	126	3	1	.257	.318	.457	338
"Ji-Man Choi 1B  TB"	499	68	125	74	27	2	22	76	68	141	3	2	.251	.343	.445	340
"Justin Smoak 1B  MIL "	519	73	120	69	26	0	25	82	95	151	0	0	.231	.355	.426	345
"Daniel Vogelbach DH  SEA "	512	74	113	64	20	1	28	77	88	162	1	0	.221	.337	.428	347
"Miguel Cabrera DH  DET"	545	55	154	110	23	1	20	74	57	127	1	0	.283	.352	.439	348
"Rio Ruiz 3B  BAL"	563	63	145	93	27	3	22	76	56	132	2	0	.258	.326	.433	350
"Albert Pujols 1B  LAA"	428	55	115	73	22	0	20	81	34	61	2	0	.269	.322	.460	351
"Aledmys Diaz 1B  HOU "	400	61	108	62	24	2	20	71	49	72	3	1	.270	.348	.490	353
"Garrett Cooper 1B  MIA"	457	60	130	88	20	2	20	65	43	136	1	0	.284	.352	.468	357
"Ryan O'Hearn 1B  KC"	531	64	119	62	24	3	30	76	58	153	0	0	.224	.302	.450	361
"Matt Adams 1B  NYM "	440	54	105	58	19	0	28	75	32	144	0	0	.239	.296	.473	365
"Jake Lamb 3B  ARI"	536	76	121	69	28	4	20	78	61	152	3	1	.226	.314	.405	368
"Evan White 1B  SEA "	464	63	114	66	24	2	22	69	54	134	3	1	.246	.329	.448	370
"Eric Thames 1B  WAS"	422	67	108	59	25	4	20	61	42	122	3	2	.256	.335	.476	372
"Yonder Alonso DH  ATL"	543	75	118	70	25	1	22	82	81	140	1	0	.217	.323	.389	373
"Miguel Rojas SS  MIA"	533	63	146	106	28	1	11	62	34	82	9	5	.274	.322	.392	375
"Ryan Zimmerman 1B  WAS "	498	62	125	80	24	1	20	72	49	128	1	0	.251	.319	.424	380
"Jedd Gyorko 3B  MIL "	448	58	118	72	25	7	14	64	53	114	5	1	.263	.343	.444	399
"Hernan Perez 2B  CHC"	444	55	118	82	20	2	14	46	24	111	13	3	.266	.304	.414	400
"Ronald Guzman 1B  TEX "	431	58	103	52	29	2	20	69	48	131	2	1	.239	.321	.455	402
"Jordy Mercer SS  DET"	522	55	142	88	36	1	17	49	35	124	2	0	.272	.326	.443	422
"Josh VanMeter LF  CIN"	309	52	84	48	19	3	14	42	35	74	10	3	.272	.348	.489	423
"Jeimer Candelario 3B  DET"	488	62	114	66	25	3	20	53	62	147	4	2	.234	.330	.420	427
"Josh Fuentes 1B  COL"	315	49	85	51	17	1	16	54	30	82	3	1	.270	.337	.482	430
