All Starting Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Gerrit Cole SP  NYY "	203	33	33	27	0	16	9	0	0	248	70	168	3.28	1.17	7
"Justin Verlander SP  HOU "	199	33	33	26	1	19	8	0	0	248	53	158	3.38	1.06	11
"Jacob deGrom SP  NYM "	202	33	33	28	0	15	7	0	0	228	48	164	2.36	1.05	14
"Max Scherzer SP  WAS "	207	33	33	25	1	15	8	0	0	251	55	172	3.00	1.09	15
"Walker Buehler SP  LAD "	175	30	30	19	1	14	4	0	0	201	41	145	2.98	1.06	19
"Shane Bieber SP  CLE"	178	30	30	22	2	13	8	0	0	203	40	165	3.79	1.15	20
"Stephen Strasburg SP  WAS "	189	31	31	24	0	15	8	0	0	216	50	162	3.05	1.12	23
"Jack Flaherty SP  STL "	172	31	31	19	0	12	7	0	0	186	51	139	3.03	1.10	24
"Chris Sale SP  BOS "	133	24	24	14	1	10	6	0	0	169	36	118	3.65	1.16	25
"Patrick Corbin SP  WAS "	186	31	31	23	1	13	7	0	0	220	58	166	3.39	1.20	27
"Luis Castillo SP  CIN "	176	31	31	20	0	15	8	0	0	198	54	144	3.37	1.12	37
"Lucas Giolito SP  CHW "	162	30	30	19	2	15	9	0	0	183	61	141	4.48	1.24	38
"Clayton Kershaw SP  LAD "	171	28	28	24	0	15	6	0	0	176	43	152	3.26	1.14	43
"Aaron Nola SP  PHI"	178	31	31	21	0	13	6	0	0	200	59	163	3.63	1.24	44
"Zack Greinke SP  HOU "	191	31	31	23	0	17	6	0	0	211	44	162	3.34	1.08	46
"Blake Snell SP  TB "	163	33	33	18	0	15	9	0	0	196	55	136	3.20	1.17	47
"Charlie Morton SP  TB "	179	33	33	20	0	15	6	0	0	203	59	158	3.37	1.21	48
"Mike Clevinger SP  CLE "	174	30	30	21	0	16	7	0	0	203	57	152	3.14	1.20	53
"Noah Syndergaard SP  NYM "	189	33	33	20	1	11	8	0	0	193	48	184	3.80	1.22	54
"Tyler Glasnow SP  TB "	135	29	29	12	0	10	8	0	0	157	44	115	3.65	1.17	55
"Chris Paddack SP  SD "	175	33	33	15	0	11	9	0	0	202	42	145	3.39	1.07	60
"Yu Darvish SP  CHC "	178	33	33	13	0	8	7	0	0	204	63	152	3.89	1.21	61
"Trevor Bauer SP  CIN "	192	32	32	22	1	12	10	0	0	212	66	173	3.88	1.24	74
"Sonny Gray SP  CIN "	159	31	31	17	0	11	9	0	0	175	56	139	3.66	1.22	75
"Brandon Woodruff SP  MIL "	146	30	30	13	0	10	7	0	0	149	48	145	4.30	1.32	80
"Mike Soroka SP  ATL "	164	30	30	20	0	11	5	0	0	153	51	150	3.29	1.22	90
"Jose Berrios SP  MIN "	193	33	33	23	1	17	7	0	0	202	65	181	3.54	1.27	96
"Frankie Montas SP  OAK "	162	30	30	22	0	14	8	0	0	151	46	168	3.38	1.32	100
"Corey Kluber SP  TEX"	170	30	30	21	1	14	9	0	0	175	59	184	4.61	1.43	101
"Lance Lynn SP  TEX "	162	29	29	17	0	12	10	0	0	164	58	173	4.66	1.42	102
"Carlos Carrasco SP  CLE "	168	29	29	13	2	15	10	0	0	187	37	157	3.91	1.15	112
"Zack Wheeler SP  PHI"	194	33	33	22	0	13	8	0	0	211	52	194	3.76	1.27	120
"Shohei Ohtani DH  LAA "	135	27	27	14	0	9	8	0	0	149	43	115	3.79	1.17	121
"Zac Gallen SP  ARI "	170	32	32	12	0	8	10	0	0	184	65	143	3.54	1.22	122
"Madison Bumgarner SP  ARI "	170	30	30	20	0	10	7	0	0	165	48	163	3.76	1.24	123
"Hyun-Jin Ryu SP  TOR "	165	30	30	23	1	11	8	0	0	151	43	174	3.59	1.31	125
"Max Fried SP  ATL "	156	30	30	15	1	14	9	0	0	158	49	152	3.52	1.29	135
"Julio Urias RP  LAD "	136	29	29	9	0	9	5	0	0	144	37	116	3.16	1.12	136
"Eduardo Rodriguez SP  BOS "	165	30	30	14	0	13	9	0	0	170	61	165	3.97	1.36	138
"David Price SP  LAD "	133	27	27	15	0	14	4	0	0	148	30	128	3.64	1.18	147
"Kyle Hendricks SP  CHC"	168	30	30	18	1	13	9	0	0	160	37	164	3.86	1.20	148
"German Marquez SP  COL "	182	31	31	17	1	12	8	0	0	199	47	178	4.24	1.23	149
"James Paxton SP  NYY "	136	26	26	13	1	12	5	0	0	165	45	130	3.83	1.28	150
"Mike Minor SP  TEX "	172	30	30	16	1	13	9	0	0	159	55	179	4.13	1.36	151
"Luke Weaver SP  ARI "	137	29	29	14	0	10	8	0	0	143	40	138	4.06	1.30	153
"Matthew Boyd SP  DET "	174	33	33	17	0	8	13	0	0	191	51	175	4.74	1.29	154
"Sean Manaea SP  OAK "	175	31	31	19	1	17	9	0	0	139	42	168	3.49	1.20	156
"Dinelson Lamet SP  SD"	172	33	33	12	0	12	9	0	0	188	55	152	3.76	1.20	157
"Robbie Ray SP  ARI "	152	31	31	11	0	12	5	0	0	189	61	142	4.01	1.33	160
"Kenta Maeda SP  MIN "	146	29	29	10	0	11	7	0	0	152	48	147	4.11	1.33	162
"Lance McCullers SP  HOU "	177	32	32	21	0	16	8	0	0	197	62	157	4.02	1.24	174
"Marcus Stroman SP  NYM "	173	32	32	18	0	11	12	0	0	164	55	178	3.84	1.34	180
"Dallas Keuchel SP  CHW "	175	31	31	21	0	12	10	0	0	148	68	173	4.15	1.37	181
"Mike Foltynewicz SP  ATL "	155	29	29	12	1	12	8	0	0	149	53	135	3.60	1.21	187
"Masahiro Tanaka SP  NYY "	161	29	29	15	1	13	7	0	0	156	41	156	3.95	1.22	188
"Jake Odorizzi SP  MIN "	164	33	33	11	0	14	8	0	0	173	61	162	4.10	1.35	203
"Cole Hamels SP  ATL "	150	29	29	15	0	9	7	0	0	157	54	155	3.71	1.39	205
"Dylan Bundy SP  LAA "	164	32	32	14	0	15	9	0	0	175	55	162	4.21	1.32	230
"Joe Musgrove SP  PIT "	174	33	33	20	0	11	13	0	0	162	39	175	3.98	1.23	234
"Alex Wood SP  LAD "	132	26	26	12	0	11	4	0	0	126	33	127	3.46	1.21	235
"Ryan Yarbrough RP  TB "	153	30	30	15	0	9	8	0	0	153	30	147	4.22	1.15	243
"Anthony DeSclafani SP  CIN "	150	29	29	10	0	10	8	0	0	160	43	145	4.08	1.25	245
"Andrew Heaney SP  LAA "	156	30	30	13	0	9	9	0	0	181	49	151	4.21	1.28	248
"Jon Gray SP  COL "	183	33	33	19	0	13	11	0	0	190	64	188	4.72	1.38	251
"Miles Mikolas SP  STL "	146	26	26	16	1	9	9	0	0	124	31	150	3.80	1.23	254
"Caleb Smith SP  MIA "	161	33	33	13	0	10	13	0	0	163	65	151	4.29	1.34	256
"Dakota Hudson SP  STL "	165	32	32	18	0	13	10	0	0	135	70	170	3.92	1.45	260
"Adrian Houser SP  MIL "	132	30	30	4	0	6	7	0	0	132	41	121	3.66	1.22	261
"Michael Pineda SP  MIN "	109	22	22	12	0	10	4	0	0	109	24	115	4.20	1.27	262
"Brendan McKay SP  TB "	129	29	29	7	0	8	8	0	0	128	46	126	4.17	1.33	267
"Sandy Alcantara SP  MIA "	191	33	33	16	2	8	12	0	0	163	76	189	4.23	1.38	269
"Griffin Canning SP  LAA "	106	22	22	8	0	6	7	0	0	117	39	93	4.16	1.25	270
"Yonny Chirinos SP  TB "	65	25	15	7	0	6	4	0	0	56	15	57	3.86	1.10	271
"Garrett Richards SP  SD"	117	29	29	6	0	6	8	0	0	122	45	125	5.06	1.45	272
"Mitch Keller SP  PIT "	137	30	30	7	0	6	10	0	0	141	41	162	5.10	1.47	273
