All Shortstops 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Jonathan Villar SS  MIL "	116	18	33	23	7	1	2	11	10	29	7	2	0.284	0.339	0.414	589
"Danny Santana SS  MIN "	261	30	56	41	10	5	0	21	6	68	8	4	0.215	0.241	0.291	611
"Alexi Amarista SS  SD"	324	28	66	49	10	4	3	30	24	55	5	1	0.204	0.257	0.287	624
"Ivan De Jesus 2B  CIN"	201	15	49	33	10	2	4	28	19	55	0	2	0.244	0.311	0.373	636
"Daniel Descalso SS  COL"	185	22	38	28	3	2	5	22	20	45	1	2	0.205	0.283	0.324	666
"Cliff Pennington 2B  LAA"	210	24	44	35	6	0	3	21	27	49	3	0	0.209	0.297	0.281	669
"Gordon Beckham 3B  ATL"	211	24	44	30	8	0	6	20	19	43	0	1	0.208	0.275	0.332	673
"Hernan Perez 3B  MIL "	263	14	64	46	15	2	1	21	5	59	5	1	0.243	0.257	0.327	691
"Pedro Ciriaco 3B  TEX "	142	14	37	27	8	1	1	15	2	38	4	2	0.261	0.275	0.352	693
"Clint Barmes SS  KC "	207	24	48	30	14	1	3	16	10	55	0	1	0.232	0.281	0.353	702
"Miguel Rojas SS  MIA"	142	13	40	31	7	1	1	17	11	16	0	1	0.282	0.329	0.366	715
"Christian Colon SS  KC"	107	8	31	26	5	0	0	6	11	17	3	2	0.290	0.356	0.336	794
"Rafael Ynoa LF  COL"	127	14	33	24	8	1	0	9	3	28	1	0	0.260	0.277	0.339	797
"Taylor Featherston 3B  PHI "	154	23	25	17	5	1	2	9	7	46	4	2	0.162	0.212	0.247	803
"Daniel Castro 2B  ATL"	96	14	23	18	2	1	2	5	3	15	0	0	0.240	0.263	0.344	833
"Jake Elmore 1B  MIL"	141	10	29	22	5	0	2	16	12	25	1	1	0.206	0.263	0.284	835
"Ehire Adrianza 2B  SF"	113	11	21	13	7	1	0	11	15	20	3	2	0.186	0.303	0.266	893
"Deven Marrero 3B  BOS"	53	8	12	11	0	0	1	3	3	19	2	1	0.226	0.268	0.283	898
"Javier Baez 2B  CHC "	76	4	22	15	6	0	1	4	4	24	1	2	0.289	0.325	0.408	900
"Greg Garcia SS  STL"	75	7	18	11	5	0	2	4	10	12	0	0	0.240	0.337	0.387	917
"Brendan Ryan 2B  WAS "	96	10	22	14	6	2	0	8	5	29	0	0	0.229	0.275	0.333	930
"Nick Franklin 2B  TB"	101	11	16	8	4	1	3	7	7	37	1	0	0.158	0.213	0.307	934
"Hanser Alberto 2B  TEX"	99	12	22	19	2	1	0	4	2	17	1	0	0.222	0.238	0.263	936
"Trea Turner 2B  WAS "	40	5	9	7	1	0	1	1	4	12	2	2	0.225	0.295	0.325	960
"Dixon Machado SS  DET"	68	6	16	13	3	0	0	5	7	14	1	0	0.235	0.307	0.279	976
"Michael Martinez SS  CLE"	30	7	8	6	2	0	0	2	1	12	0	1	0.267	0.290	0.333	991
"Hector Gomez 2B  MIL"	127	15	23	9	11	2	1	7	3	40	0	0	0.181	0.212	0.323	995
"Joaquin Arias 3B  ARI"	58	5	12	10	1	0	1	4	0	12	1	0	0.207	0.207	0.276	1001
"Paul Janish SS  BAL "	35	4	10	7	3	0	0	3	0	3	0	0	0.286	0.278	0.371	1014
"Pete Kozma SS  NYY"	99	15	15	15	0	0	0	2	10	21	3	1	0.151	0.236	0.151	1015
"Everth Cabrera SS  SF"	96	7	20	18	2	0	0	4	5	22	2	0	0.208	0.250	0.229	1024
"Cristhian Adames SS  COL"	53	4	13	11	1	1	0	3	3	11	0	1	0.245	0.298	0.302	1068
"Jorge Polanco SS  MIN"	10	1	3	3	0	0	0	1	2	1	1	0	0.300	0.417	0.300	1078
"Chris Taylor SS  SEA"	94	9	16	12	3	1	0	1	6	31	3	2	0.170	0.220	0.223	1093
"Donovan Solano SS  NYY "	90	6	17	13	3	1	0	7	1	18	0	0	0.189	0.215	0.244	1117
"Pedro Florimon SS  PIT"	23	5	2	1	0	1	0	1	2	12	1	0	0.087	0.160	0.174	1124
"Luis Sardinas 2B  SEA"	97	8	19	18	0	1	0	4	6	25	0	0	0.196	0.240	0.216	1135
"Nick Noonan SS  SF "	22	2	2	0	1	0	1	3	2	8	0	0	0.091	0.167	0.273	1235
"Jonathan Diaz SS  NYY "	13	1	2	2	0	0	0	2	1	3	0	0	0.154	0.267	0.154	1257
"Wilfredo Tovar SS  MIN "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Hak-Ju Lee SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Erik Gonzalez SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Elmer Reyes SS  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Aledmys Diaz SS  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Rosell Herrera SS  COL "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Orlando Calixte SS  KC"	3	1	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1339
"Chase d'Arnaud SS  ATL"	17	2	3	2	0	1	0	0	1	7	0	1	0.176	0.222	0.294	1341
"Dean Anna SS  STL"	1	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1349
"Andy Parrino SS  CHW"	6	1	0	0	0	0	0	0	2	5	0	0	0.000	0.250	0.000	1370
"Willie Bloomquist 2B  SEA"	69	2	11	10	1	0	0	4	2	13	1	1	0.159	0.194	0.174	1403
"Kris Negron LF  CHC "	93	5	13	11	2	0	0	2	9	23	2	0	0.140	0.238	0.161	1435
"Spencer Edwards SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Juan Ciriaco SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ignacio Suarez SS  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Russell Wilson SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Raul Mondesi SS  KC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Casey Benjamin SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ivan Castillo SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Stephen Carmon SS  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Gioskar Amaya SS  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jerry Gil SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Christopher Gutierrez SS  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Juan A. Rivera SS  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kyle Boyer SS  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jimmy Swift SS  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jeremy Sy SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Yosmany Guerra SS  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Alex Blandino SS  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Scott Wingo SS  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Luis Marte SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Javier Guerra SS  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Emilio Guerrero SS  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Osvaldo Fernando SS  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Drew Robinson SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Justin Jackson SS  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Gustavo Nunez SS  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Nelson Ward SS  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Aaron Reza SS  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Steve Singleton SS  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Will Kengor SS  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Carter Bell SS  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Hainley Statia SS  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Dansby Swanson SS  ATL "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"David Masters SS  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Junior Arias SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jeff Dominguez SS  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Andy Burns SS  TOR "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Johnny Eierman SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Gavin Cecchini SS  NYM "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"David Fletcher SS  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Michael Marseco SS  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jason Tweedy SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Drew Niles SS  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kevin Newman SS  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ryan Mountcastle SS  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Amed Rosario SS  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"J.R. Taylor SS  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tyler Kuhn SS  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Wes Timmons SS  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tim Smalling SS  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Anthony Phillips SS  SEA "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Luis Soto SS  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Adrian Rondon SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Derek Bruce SS  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
