All Outfielders 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Eddie Rosario LF  MIN"	453	60	121	75	18	15	13	50	15	118	11	6	0.267	0.289	0.459	180
"Kevin Kiermaier CF  TB"	505	62	133	86	25	12	10	40	24	95	18	5	0.263	0.298	0.420	182
"Avisail Garcia RF  CHW "	553	66	142	110	17	2	13	59	36	141	7	7	0.257	0.309	0.365	185
"Austin Jackson CF  CHC "	491	56	131	94	25	3	9	48	29	126	17	10	0.267	0.311	0.385	186
"Hanley Ramirez LF  BOS "	401	59	100	68	12	1	19	53	21	71	6	3	0.249	0.291	0.426	190
"Chris Coghlan LF  CHC "	440	64	110	63	25	6	16	41	58	94	11	2	0.250	0.341	0.443	196
"Andre Ethier RF  LAD "	395	54	116	75	20	7	14	53	43	75	2	3	0.294	0.366	0.486	197
"Nick Markakis RF  ATL "	612	73	181	139	38	1	3	53	70	83	2	1	0.296	0.370	0.376	199
"Joc Pederson CF  LAD "	480	67	101	55	19	1	26	54	92	170	4	7	0.210	0.346	0.417	200
"Jacoby Ellsbury CF  NYY "	452	66	116	92	15	2	7	33	35	86	21	9	0.257	0.318	0.345	202
"Michael Taylor CF  WAS "	472	49	108	77	15	2	14	63	35	158	16	3	0.229	0.282	0.358	203
"Anthony Gose CF  DET "	485	73	123	86	24	8	5	26	45	145	23	11	0.254	0.321	0.367	208
"Randal Grichuk LF  STL "	323	49	89	42	23	7	17	47	22	110	4	2	0.276	0.329	0.548	217
""Steven Souza RF  TB ""	373	59	84	52	15	1	16	40	46	144	12	6	0.225	0.318	0.400	234
"Jake Marisnick CF  HOU"	339	46	80	52	15	4	9	36	18	105	24	9	0.236	0.281	0.384	236
"Rajai Davis LF  CLE "	341	55	88	53	16	11	8	30	22	76	18	8	0.258	0.306	0.440	240
"Brad Miller SS  TB"	438	44	113	76	22	4	11	46	47	101	13	4	0.258	0.329	0.402	246
"Gregor Blanco LF  SF "	327	59	95	68	19	3	5	26	40	59	13	5	0.290	0.368	0.413	257
"Eduardo Escobar SS  MIN "	409	48	107	60	31	4	12	58	28	86	2	3	0.262	0.309	0.445	262
"Kyle Schwarber LF  CHC "	232	52	57	34	6	1	16	43	36	77	3	3	0.246	0.355	0.487	266
"Aaron Hicks CF  NYY"	352	48	90	65	11	3	11	33	34	66	13	3	0.256	0.323	0.398	273
"Brock Holt 2B  BOS "	454	56	127	92	27	6	2	45	46	97	8	1	0.280	0.348	0.379	277
"Chris Young CF  BOS"	318	53	80	45	20	1	14	42	30	73	3	1	0.252	0.320	0.453	280
"Josh Harrison 3B  PIT "	418	57	120	86	29	1	4	28	19	71	10	8	0.287	0.327	0.390	281
"Danny Espinosa 2B  WAS "	367	59	88	53	21	1	13	37	33	106	5	2	0.240	0.310	0.409	288
"Alex Gordon LF  KC "	354	40	96	65	18	0	13	48	49	92	2	5	0.271	0.377	0.432	289
"Brandon Moss RF  STL "	469	47	106	61	24	2	19	58	49	148	0	1	0.226	0.304	0.407	294
"Ben Paulsen 1B  COL"	325	42	90	56	19	4	11	49	23	92	1	2	0.277	0.326	0.462	295
"Yasmany Tomas RF  ARI"	406	40	111	80	19	3	9	48	17	110	5	2	0.273	0.305	0.402	296
"Mike Napoli 1B  CLE "	407	46	91	52	20	1	18	50	57	118	3	3	0.224	0.324	0.410	298
"Marwin Gonzalez 1B  HOU "	344	44	96	65	18	1	12	34	16	74	4	5	0.279	0.317	0.442	301
"Kelly Johnson LF  ATL "	310	38	82	57	11	0	14	47	23	81	2	1	0.265	0.314	0.435	302
"Angel Pagan CF  SF "	512	55	134	107	21	3	3	37	32	93	12	4	0.262	0.303	0.332	303
"Nori Aoki RF  SEA "	355	42	102	82	12	3	5	26	30	25	14	5	0.287	0.353	0.380	304
"Brandon Guyer RF  TB "	332	51	88	57	21	2	8	28	25	61	10	4	0.265	0.359	0.413	307
"David Murphy RF  LAA"	361	38	102	73	18	1	10	50	20	49	0	2	0.282	0.318	0.421	314
"Alejandro De Aza LF  NYM "	325	51	85	54	17	7	7	35	31	84	7	5	0.262	0.333	0.421	319
"Seth Smith LF  SEA "	395	54	98	50	31	5	12	42	47	99	0	0	0.248	0.330	0.443	324
"Marcell Ozuna RF  MIA "	459	47	119	82	27	0	10	44	30	110	2	3	0.259	0.308	0.383	327
"Jorge Soler RF  CHC "	366	39	96	67	18	1	10	47	32	121	3	1	0.262	0.324	0.399	328
"Juan Lagares CF  NYM"	441	47	114	87	16	5	6	41	16	87	7	3	0.259	0.289	0.358	333
"Will Venable RF  TEX "	349	40	85	63	13	3	6	33	37	94	16	1	0.244	0.320	0.350	334
"Jackie Bradley CF  BOS "	221	43	55	24	17	4	10	43	27	69	3	0	0.249	0.335	0.498	338
"Michael Cuddyer RF  NYM"	379	44	98	69	18	1	10	41	24	88	2	0	0.259	0.309	0.391	345
"Denard Span CF  SF "	246	38	74	52	17	0	5	22	25	26	11	0	0.301	0.365	0.431	347
"Jarrod Dyson CF  KC "	200	31	50	34	8	6	2	18	14	37	26	3	0.250	0.310	0.380	349
"Jeff Francoeur RF  PHI "	326	34	84	54	16	1	13	45	13	77	0	2	0.258	0.286	0.432	352
"Franklin Gutierrez LF  SEA "	171	27	50	24	11	0	15	35	14	54	0	0	0.292	0.354	0.620	353
"Clint Robinson 1B  WAS"	309	44	84	58	15	1	10	34	37	52	0	0	0.272	0.358	0.424	356
"Hunter Pence RF  SF "	207	30	57	34	13	1	9	40	16	48	4	1	0.275	0.327	0.478	360
"Jayson Werth RF  WAS "	331	51	73	44	16	1	12	42	38	84	0	1	0.221	0.302	0.384	366
"Steve Pearce LF  TB "	294	42	64	35	13	1	15	40	23	69	1	1	0.218	0.289	0.422	367
"Stephen Piscotty LF  STL "	233	29	71	45	15	4	7	39	20	56	2	1	0.305	0.359	0.494	370
"Mark Reynolds 1B  COL"	382	35	88	52	21	2	13	48	44	121	2	3	0.230	0.315	0.398	373
"Cody Asche LF  PHI "	425	41	104	67	22	3	12	39	26	111	1	2	0.245	0.294	0.395	378
"Lonnie Chisenhall RF  CLE "	333	38	82	55	19	1	7	44	23	69	4	1	0.246	0.294	0.372	379
"Corey Dickerson LF  TB "	224	30	68	38	18	2	10	31	10	56	0	1	0.304	0.333	0.536	382
