All Catchers 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Austin Barnes C  LAD"	29	4	6	4	2	0	0	1	6	6	1	0	0.207	0.361	0.276	1077
"Rob Brantly C  CHW"	33	3	4	2	1	0	1	6	2	8	0	0	0.121	0.167	0.242	1086
"Wil Nieves C  SD"	13	1	1	0	0	0	1	4	1	4	0	0	0.077	0.143	0.308	1095
"Tony Sanchez C  TOR "	8	2	3	3	0	0	0	0	1	3	0	0	0.375	0.444	0.375	1103
"Jackson Williams C  COL "	10	1	2	1	1	0	0	1	4	1	1	0	0.200	0.429	0.300	1104
"Erik Kratz C  PHI"	26	3	5	3	2	0	0	3	1	5	0	0	0.192	0.214	0.269	1109
"Eric Fryer C  STL"	22	2	5	3	2	0	0	2	5	11	0	0	0.227	0.370	0.318	1114
"Josh Thole C  TOR"	49	5	10	8	2	0	0	2	3	9	0	0	0.204	0.250	0.245	1120
"Carson Blair C  OAK"	31	3	4	3	0	0	1	3	4	18	0	0	0.129	0.229	0.226	1127
"Anthony Recker C  CLE"	80	6	10	7	1	0	2	5	11	35	1	0	0.125	0.239	0.212	1136
"Johnny Monell C  NYM "	48	5	8	6	2	0	0	4	4	13	0	0	0.167	0.231	0.208	1138
"Bryan Anderson C  OAK"	5	0	2	2	0	0	0	1	1	1	0	0	0.400	0.429	0.400	1139
"Pedro Severino C  WAS"	4	1	1	0	1	0	0	0	0	1	0	0	0.250	0.250	0.500	1252
"Adam Moore C  CLE"	4	0	1	1	0	0	0	1	0	2	0	0	0.250	0.250	0.250	1254
"Travis Tartamella C  STL"	2	0	1	1	0	0	0	0	0	0	0	0	0.500	0.500	0.500	1263
"Taylor Teagarden C  CHC"	15	0	3	3	0	0	0	2	0	4	0	0	0.200	0.200	0.200	1267
"Devin Mesoraco C  CIN "	45	2	8	6	1	1	0	2	5	9	1	0	0.178	0.275	0.244	1268
"Oscar Hernandez C  ARI"	31	4	5	4	1	0	0	1	3	15	0	0	0.161	0.257	0.194	1271
"Tim Federowicz C  CHC "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Adrian Nieto C  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Christian Vazquez C  BOS "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Kyle Skipworth C  CIN "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"A.J. Jimenez C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Tommy Joseph C  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Dan Butler C  WAS "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Josmil Pinto C  MIL "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Raffy Lopez C  DET "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Tony Wolters C  COL "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Justin O'Conner C  TB "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Jorge Alfaro C  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Michael Ohlman C  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Kevan Smith C  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Elias Diaz C  PIT"	2	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	1354
"Gary Sanchez C  NYY"	2	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	1354
"Gerald Laird C  ARI"	2	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1354
"Luke Maile C  TB"	35	2	6	3	3	0	0	2	0	8	0	0	0.171	0.171	0.257	1362
"David Ross C  CHC"	159	6	28	18	9	0	1	9	20	61	1	0	0.176	0.267	0.252	1366
"Francisco Pena C  BAL"	7	0	1	1	0	0	0	0	0	3	0	0	0.143	0.143	0.143	1368
"Ed Easley C  PIT"	6	0	0	0	0	0	0	1	0	1	0	0	0.000	0.000	0.000	1371
"Jesus Sucre C  SEA "	127	9	20	13	6	0	1	7	6	21	0	0	0.158	0.196	0.228	1372
"Nevin Ashley C  NYM "	20	2	2	1	1	0	0	1	0	8	0	0	0.100	0.143	0.150	1383
"Tomas Telis C  MIA"	38	2	6	6	0	0	0	2	1	4	0	0	0.158	0.220	0.158	1395
"Rocky Gale C  SD"	10	0	1	1	0	0	0	0	0	1	0	0	0.100	0.100	0.100	1400
"Sandy Leon C  BOS"	114	8	21	19	2	0	0	3	7	28	0	1	0.184	0.238	0.202	1402
"Jhonatan Solano C  WAS "	20	1	1	0	1	0	0	2	1	1	0	0	0.050	0.095	0.100	1412
