All First Basemen 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Ben Paulsen 1B  COL"	325	42	90	56	19	4	11	49	23	92	1	2	0.277	0.326	0.462	295
"Mike Napoli 1B  CLE "	407	46	91	52	20	1	18	50	57	118	3	3	0.224	0.324	0.410	298
"Marwin Gonzalez 1B  HOU "	344	44	96	65	18	1	12	34	16	74	4	5	0.279	0.317	0.442	301
"Kelly Johnson LF  ATL "	310	38	82	57	11	0	14	47	23	81	2	1	0.265	0.314	0.435	302
"Victor Martinez DH  DET "	440	39	108	77	20	0	11	64	31	52	0	0	0.245	0.301	0.366	325
"Yasmani Grandal C  LAD "	355	43	83	55	12	0	16	47	65	92	0	1	0.234	0.353	0.403	331
"Jonathan Lucroy C  MIL "	371	51	98	68	20	3	7	43	36	64	1	0	0.264	0.326	0.391	339
"Michael Cuddyer RF  NYM"	379	44	98	69	18	1	10	41	24	88	2	0	0.259	0.309	0.391	345
"Yonder Alonso 1B  OAK "	354	50	100	76	18	1	5	31	42	48	2	5	0.282	0.361	0.381	355
"Clint Robinson 1B  WAS"	309	44	84	58	15	1	10	34	37	52	0	0	0.272	0.358	0.424	356
"Steve Pearce LF  TB "	294	42	64	35	13	1	15	40	23	69	1	1	0.218	0.289	0.422	367
"Travis Shaw 1B  BOS "	226	31	62	39	10	0	13	36	18	57	0	1	0.274	0.331	0.491	369
"Stephen Piscotty LF  STL "	233	29	71	45	15	4	7	39	20	56	2	1	0.305	0.359	0.494	370
"Mark Reynolds 1B  COL"	382	35	88	52	21	2	13	48	44	121	2	3	0.230	0.315	0.398	373
"Wil Myers CF  SD "	225	40	57	35	13	1	8	29	27	55	5	2	0.253	0.336	0.427	386
"Jake Lamb 3B  ARI "	350	38	92	66	15	5	6	34	36	97	3	2	0.263	0.331	0.386	400
"Darin Ruf 1B  PHI "	268	30	63	39	12	0	12	39	21	69	1	0	0.235	0.300	0.414	412
"Greg Bird 1B  NYY "	157	26	41	21	9	0	11	31	19	53	0	0	0.261	0.343	0.529	435
"Adam LaRoche 1B  CHW "	429	41	89	56	21	0	12	44	49	133	0	0	0.207	0.293	0.340	453
"James Loney 1B  TB "	361	25	101	81	16	0	4	32	23	34	2	4	0.280	0.322	0.357	465
"Chase Utley 2B  LAD"	373	37	79	48	21	2	8	39	32	64	4	0	0.212	0.286	0.343	470
"Wilin Rosario 1B  COL"	231	22	62	41	14	1	6	29	8	56	2	1	0.268	0.295	0.416	502
"Andrew Romine 3B  DET "	184	25	47	40	5	0	2	15	11	46	10	5	0.255	0.306	0.315	530
"Ryan Flaherty 2B  BAL "	267	34	54	34	8	3	9	31	26	81	0	0	0.202	0.281	0.356	537
"Scott Van Slyke RF  LAD "	222	19	53	33	14	0	6	30	23	62	3	1	0.239	0.318	0.383	545
"Jason Rogers 1B  PIT"	152	22	45	33	6	2	4	16	15	34	0	0	0.296	0.367	0.441	581
"Justin Morneau 1B  COL"	168	19	52	36	10	3	3	15	13	25	0	0	0.309	0.363	0.458	602
"Sean Rodriguez 1B  PIT"	224	25	55	38	12	1	4	17	5	63	2	2	0.245	0.281	0.362	612
"Eric Campbell 3B  NYM"	173	28	34	23	8	0	3	19	26	37	5	3	0.197	0.312	0.295	618
"Brett Wallace 1B  SD"	96	14	29	18	6	0	5	16	10	31	0	0	0.302	0.374	0.521	627
"Matt Adams 1B  STL "	175	14	42	28	9	0	5	24	10	41	1	0	0.240	0.280	0.377	637
"Chris Johnson 1B  MIA "	243	18	62	48	11	0	3	18	10	74	2	1	0.255	0.286	0.337	657
"Daniel Descalso SS  COL"	185	22	38	28	3	2	5	22	20	45	1	2	0.205	0.283	0.324	666
"Brayan Pena C  STL"	333	17	91	74	17	0	0	18	29	34	2	0	0.273	0.334	0.324	678
"Kennys Vargas DH  MIN"	175	18	42	33	4	0	5	17	9	54	0	0	0.240	0.277	0.349	683
"Hernan Perez 3B  MIL "	263	14	64	46	15	2	1	21	5	59	5	1	0.243	0.257	0.327	691
"Tyler Moore 1B  WAS"	187	14	38	20	12	0	6	27	11	45	0	0	0.203	0.250	0.364	698
"Jesus Montero 1B  SEA"	112	11	25	14	6	0	5	19	4	32	0	0	0.223	0.250	0.411	714
"Ike Davis 1B  TEX "	214	19	49	29	17	0	3	20	23	44	0	0	0.229	0.301	0.350	717
"Jerry Sands RF  CHW "	123	11	29	19	5	1	4	19	9	36	0	0	0.236	0.286	0.390	726
"Michael Morse 1B  PIT"	229	14	53	40	7	1	5	19	23	76	0	0	0.231	0.312	0.336	733
"Nick Swisher LF  ATL"	219	14	43	28	9	0	6	25	35	54	0	0	0.196	0.311	0.320	741
"Adam Rosales 1B  TEX "	114	14	26	19	4	0	3	7	10	30	4	4	0.228	0.296	0.342	742
"Garrett Jones RF  NYY"	144	12	31	21	4	1	5	17	8	37	0	0	0.215	0.257	0.361	748
"Kyle Blanks 1B  SF "	67	10	21	13	5	0	3	6	4	20	1	0	0.313	0.352	0.522	751
"Alex Avila C  CHW"	178	21	34	25	5	0	4	13	40	66	0	1	0.191	0.339	0.286	785
"Jefry Marte 1B  LAA "	80	9	17	9	4	0	4	11	8	22	0	0	0.212	0.284	0.412	801
"Chris Parmelee 1B  BAL"	97	11	21	9	7	1	4	9	4	26	0	1	0.216	0.255	0.433	809
"Max Muncy 1B  OAK"	102	14	21	9	8	1	3	9	9	31	0	0	0.206	0.268	0.392	819
"Jeff Baker 1B  MIA"	72	11	15	9	3	0	3	8	8	25	0	0	0.208	0.287	0.375	832
"Jake Elmore 1B  MIL"	141	10	29	22	5	0	2	16	12	25	1	1	0.206	0.263	0.284	835
"Richie Shaffer 1B  TB "	74	11	14	7	3	0	4	6	10	32	0	1	0.189	0.307	0.392	845
"Casey McGehee 3B  MIA"	237	14	47	33	12	0	2	20	21	50	1	1	0.198	0.264	0.274	864
"Rene Rivera C  TB"	298	16	53	34	14	0	5	26	11	86	0	0	0.178	0.213	0.275	875
"Xavier Scruggs 1B  MIA"	42	5	11	9	2	0	0	7	0	10	1	0	0.262	0.279	0.309	909
"Corey Hart 1B  PIT"	54	3	12	9	1	0	2	9	1	19	0	0	0.222	0.246	0.352	915
"Daniel Nava RF  LAA "	139	13	27	22	4	0	1	10	20	36	1	0	0.194	0.315	0.245	916
"Efren Navarro 1B  BAL "	83	9	21	17	4	0	0	5	5	16	0	2	0.253	0.295	0.301	933
"Nick Franklin 2B  TB"	101	11	16	8	4	1	3	7	7	37	1	0	0.158	0.213	0.307	934
"Mike Olt 3B  CHW"	94	7	18	14	0	0	4	5	7	35	0	1	0.192	0.255	0.319	937
"Jon Singleton 1B  HOU"	47	6	9	6	2	0	1	6	10	17	1	0	0.192	0.328	0.298	944
"Travis Ishikawa 1B  PIT "	63	6	13	9	3	0	1	8	9	20	0	0	0.206	0.306	0.302	962
"Joey Terdoslavich 1B  BAL "	56	5	12	6	4	1	1	4	3	14	0	0	0.214	0.254	0.375	1030
"Grant Green 2B  SF"	42	6	8	7	0	0	1	3	2	14	0	1	0.191	0.227	0.262	1038
"Drew Butera C  KC "	107	9	21	17	3	0	1	5	6	26	0	1	0.196	0.252	0.252	1059
"Allan Dykstra 1B  TB"	31	3	4	3	0	0	1	4	6	12	0	0	0.129	0.289	0.226	1105
"Jesus Aguilar 1B  CLE"	19	0	6	5	1	0	0	2	0	7	0	0	0.316	0.350	0.368	1107
"Marc Krauss 1B  NYM"	78	3	11	6	3	0	2	8	3	31	0	0	0.141	0.173	0.256	1239
"Matt Hague 1B  TOR"	12	1	3	2	1	0	0	0	2	4	0	0	0.250	0.400	0.333	1259
"Tommy Medica 1B  MIA "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Hunter Morris 1B  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Andy Wilkins 1B  MIL "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Rangel Ravelo 1B  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Nate Freiman 1B  ATL "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Matt Clark 1B  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Dan Johnson 1B  STL"	19	1	3	3	0	0	0	2	2	4	0	0	0.158	0.238	0.158	1337
"Kevin Frandsen 1B  SF"	11	1	2	2	0	0	0	0	1	3	0	0	0.182	0.250	0.182	1346
"Austin Romine 1B  NYY"	2	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1354
"Garin Cecchini 1B  MIL"	4	0	0	0	0	0	0	0	0	3	0	0	0.000	0.000	0.000	1374
"Allen Craig RF  BOS "	79	6	12	10	1	0	1	3	7	26	0	0	0.152	0.239	0.203	1377
"Christian Walker 1B  BAL"	9	0	1	1	0	0	0	0	3	4	0	0	0.111	0.333	0.111	1394
"Cody Decker 1B  KC"	11	0	0	0	0	0	0	1	0	5	0	0	0.000	0.000	0.000	1410
"Michael Paulk 1B  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Steven Caseres 1B  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Keon Barnum 1B  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Rowdy Tellez 1B  TOR "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Mike Costanzo 1B  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"John Alonso 1B  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Henry Garcia 1B  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"William Beckwith 1B  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Yazy Arbelo 1B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"James Robbins 1B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Michael Jones 1B  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jeremy West 1B  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"D.J. Peterson 1B  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Preston Beck 1B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Luis Jimenez 1B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Matt Rizzotti 1B  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Angel Villalona 1B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
