All Starting Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"A.J. Burnett SP  PIT"	164.0	26	17	0	9	7	0	0	143	49	174	3.18	1.36	271
"Jimmy Nelson SP  MIL"	177.3	30	13	0	11	13	0	0	148	65	163	4.11	1.29	274
"Gio Gonzalez SP  WAS "	175.7	31	16	0	11	8	0	0	169	69	181	3.79	1.42	279
"Lance McCullers SP  HOU "	125.7	22	12	1	6	7	0	0	129	43	106	3.22	1.19	282
"Yovani Gallardo SP  TEX "	184.3	33	12	0	13	11	0	0	121	68	193	3.42	1.42	283
"Alex Wood SP  LAD "	189.7	32	17	0	12	12	0	0	139	59	198	3.84	1.35	284
"Ian Kennedy SP  KC "	168.3	30	17	0	9	15	0	0	174	52	166	4.28	1.29	285
"Adam Warren RP  CHC "	131.3	17	7	0	7	7	1	0	104	39	114	3.29	1.17	290
"Trevor Bauer SP  CLE "	176.0	30	18	1	11	12	0	0	170	79	152	4.55	1.31	292
"Justin Verlander SP  DET "	133.3	20	14	1	5	8	0	0	113	32	113	3.38	1.09	297
"Nathan Karns SP  SEA "	147.0	26	9	0	7	5	0	0	145	56	132	3.67	1.28	306
"Rubby De La Rosa SP  ARI "	188.7	32	14	0	14	9	0	0	150	63	193	4.67	1.36	313
"Clay Buchholz SP  BOS "	113.3	18	12	1	7	7	0	0	107	23	114	3.26	1.21	316
"Josh Tomlin SP  CLE "	65.7	10	6	2	7	2	0	0	57	8	47	3.02	0.84	321
"Brett Anderson SP  LAD "	180.3	31	18	1	10	9	0	0	116	46	194	3.69	1.33	332
"Jake Peavy SP  SF"	110.7	19	10	0	8	6	0	0	78	25	99	3.58	1.12	335
"Taylor Jungmann SP  MIL "	119.3	21	10	1	9	8	0	0	107	47	106	3.77	1.28	336
"Nathan Eovaldi SP  NYY "	154.3	27	10	0	14	3	0	0	121	49	175	4.20	1.45	337
"Anthony DeSclafani SP  CIN "	184.7	31	17	0	9	13	0	0	151	55	194	4.04	1.35	341
"Eduardo Rodriguez SP  BOS "	121.7	21	13	0	10	6	0	0	98	37	120	3.85	1.29	342
"Tom Koehler SP  MIA "	187.3	31	18	0	11	14	0	0	137	77	180	4.08	1.37	344
"C.J. Wilson SP  LAA "	132.0	21	12	0	8	8	0	0	110	46	118	3.89	1.24	348
"Travis Wood RP  CHC "	100.7	9	2	0	5	4	4	0	118	39	86	3.84	1.24	350
"Carlos Rodon SP  CHW "	139.3	23	16	1	9	6	0	0	139	71	130	3.75	1.44	351
"Jorge De La Rosa SP  COL"	149.0	26	14	1	9	7	0	0	134	65	137	4.17	1.36	359
"Tommy Milone SP  MIN "	128.7	23	10	0	9	5	1	0	91	36	128	3.92	1.27	362
"Jeff Samardzija SP  SF "	214.0	32	15	2	11	13	0	0	163	49	228	4.96	1.29	363
"Wade Miley SP  SEA"	193.7	32	17	1	11	11	0	0	147	64	201	4.46	1.37	364
"Jose Fernandez SP  MIA "	64.7	11	7	0	6	1	0	0	79	14	61	2.92	1.16	371
"Anibal Sanchez SP  DET "	157.0	25	11	1	10	10	0	0	138	49	152	4.99	1.28	376
"Trevor May RP  MIN "	114.7	16	7	0	8	9	0	2	110	26	127	4.00	1.33	381
"Phil Hughes SP  MIN "	155.3	25	11	1	11	9	0	0	94	16	184	4.40	1.29	384
"Cody Anderson SP  CLE"	91.3	15	10	1	7	3	0	0	44	24	77	3.06	1.11	387
"Drew Pomeranz RP  SD "	86.0	9	2	0	5	6	3	3	82	31	71	3.66	1.19	395
"Jesse Chavez SP  TOR "	157.0	26	12	0	7	15	1	0	136	48	164	4.18	1.35	397
"Andrew Heaney SP  LAA "	105.7	18	11	0	6	4	0	0	78	28	99	3.49	1.20	398
"Robbie Ray SP  ARI "	127.7	23	10	0	5	12	0	0	119	49	121	3.52	1.33	399
"Drew Smyly SP  TB "	66.7	12	6	0	5	2	0	0	77	20	58	3.10	1.17	401
"Alex Colome RP  TB "	109.7	13	3	0	8	5	0	5	88	31	112	3.94	1.30	404
"Jesse Hahn SP  OAK "	96.7	16	10	1	6	6	0	0	64	25	88	3.35	1.17	406
"Matt Shoemaker SP  LAA "	135.3	24	12	0	7	10	0	0	116	35	135	4.46	1.26	407
"Jeremy Hellickson SP  PHI "	146.0	27	12	0	9	12	0	0	121	43	151	4.62	1.33	411
"Aaron Sanchez RP  TOR"	92.3	11	5	0	7	6	0	1	61	44	74	3.22	1.28	420
"Joe Ross SP  WAS "	76.7	13	8	0	5	5	0	0	69	21	64	3.64	1.11	422
"Aaron Nola SP  PHI "	77.7	13	6	0	6	2	0	0	68	19	74	3.59	1.20	427
"Patrick Corbin SP  ARI "	85.0	16	9	0	6	5	0	0	78	17	91	3.60	1.27	431
"Rick Porcello SP  BOS "	172.0	28	15	0	9	15	0	0	149	38	196	4.92	1.36	432
"Mike Bolsinger SP  LAD "	109.3	21	6	0	6	6	0	0	98	45	104	3.62	1.36	433
"Raisel Iglesias SP  CIN "	95.3	16	8	0	3	7	0	0	104	28	81	4.15	1.14	442
"Ervin Santana SP  MIN "	108.0	17	11	0	7	5	0	0	82	36	104	4.00	1.30	443
"Jonathon Niese SP  PIT"	176.7	29	18	0	9	10	0	0	113	55	192	4.13	1.40	445
"Luis Severino SP  NYY "	62.3	11	8	0	5	3	0	0	56	22	53	2.89	1.20	452
"Chad Bettis SP  COL"	115.0	20	11	0	8	6	0	0	98	42	120	4.23	1.41	458
"Chase Anderson SP  MIL "	152.7	27	13	0	6	6	0	0	111	40	158	4.30	1.30	468
"Danny Duffy SP  KC "	136.7	24	8	0	7	8	1	0	102	53	137	4.08	1.39	469
"Kevin Gausman SP  BAL "	112.3	17	8	0	4	7	0	0	103	29	109	4.25	1.23	474
"Andrew Cashner SP  SD "	184.7	31	18	0	6	16	0	0	165	66	200	4.34	1.44	483
"Chris Tillman SP  BAL "	173.0	31	14	0	11	11	0	0	120	64	176	4.99	1.39	486
"Joe Kelly SP  BOS "	134.3	25	9	0	10	6	0	0	110	49	145	4.82	1.44	492
"Jerad Eickhoff SP  PHI "	51.0	8	7	0	3	3	0	0	49	13	40	2.65	1.04	494
"Roenis Elias SP  BOS "	115.3	20	11	0	5	8	0	0	97	44	106	4.14	1.30	496
"Jeff Locke SP  PIT "	168.3	30	10	0	8	11	0	0	129	60	179	4.49	1.42	498
"Jered Weaver SP  LAA "	159.0	26	12	1	7	12	0	0	90	33	163	4.64	1.23	501
"Drew Hutchison SP  TOR "	150.3	28	9	1	13	5	0	0	129	44	179	5.57	1.48	504
"Charlie Morton SP  PHI"	129.0	23	12	0	9	9	0	0	96	41	137	4.81	1.38	508
"Alfredo Simon SP  DET"	187.0	31	12	2	13	12	0	0	117	68	201	5.05	1.44	509
"Rich Hill SP  OAK "	29.0	4	4	1	2	1	0	0	36	5	14	1.55	0.66	510
"Tyler Duffey SP  MIN "	58.0	10	7	0	5	1	0	0	53	20	56	3.10	1.31	514
"Miguel Gonzalez SP  BAL "	144.7	26	8	0	9	12	0	0	109	51	151	4.92	1.40	527
"Ryan Vogelsong SP  SF"	135.0	22	9	0	9	11	0	1	108	58	140	4.67	1.47	528
"Josh Collmenter RP  ARI"	121.0	12	3	1	4	6	1	0	63	24	129	3.79	1.26	546
"Marcus Stroman SP  TOR "	27.0	4	3	0	4	0	0	0	18	6	20	1.67	0.96	549
"Steven Matz SP  NYM "	35.7	6	3	0	4	0	0	0	34	10	34	2.27	1.23	550
"Kris Medlen SP  KC "	58.3	8	4	0	6	2	0	0	40	18	56	4.01	1.27	552
"Zack Godley SP  ARI"	36.7	6	3	0	5	1	0	0	34	17	29	3.19	1.25	553
