All Relief Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Tony Sipp RP  HOU "	54.3	0	0	0	3	4	0	3	62	15	41	1.99	1.03	413
"Ryan Madson RP  OAK "	63.3	0	0	0	1	2	3	2	58	14	47	2.13	0.96	414
"Michael Blazek RP  MIL"	55.7	0	0	0	5	3	0	0	47	18	40	2.42	1.04	415
"Brandon Maurer RP  SD "	51.0	0	0	0	7	4	0	1	39	15	39	3.00	1.06	416
"Kelvin Herrera RP  KC"	69.7	0	0	0	4	3	0	7	64	26	52	2.71	1.12	418
"Justin Wilson RP  DET "	61.0	0	0	0	5	0	0	2	66	20	49	3.10	1.13	419
"Aaron Sanchez RP  TOR"	92.3	11	5	0	7	6	0	1	61	44	74	3.22	1.28	420
"Jeremy Jeffress RP  MIL "	68.0	0	0	0	5	0	0	5	67	22	64	2.65	1.26	423
"Alex Wilson RP  DET"	70.0	1	0	0	3	3	2	2	38	11	61	2.19	1.03	424
"Yimi Garcia RP  LAD "	56.7	1	0	0	3	5	1	5	68	10	44	3.33	0.95	426
"Hunter Strickland RP  SF"	51.3	0	0	0	3	3	0	2	50	10	34	2.45	0.86	429
"Arodys Vizcaino RP  ATL "	33.7	0	0	0	3	1	9	1	37	13	27	1.60	1.19	430
"Antonio Bastardo RP  NYM "	57.3	0	0	0	4	1	1	1	64	26	39	2.98	1.13	438
"Tom Wilhelmsen RP  TEX "	62.0	0	0	0	2	2	13	2	60	29	56	3.19	1.37	440
"Zach McAllister RP  CLE "	69.0	1	0	0	4	4	1	1	84	23	70	3.00	1.35	446
"J.P. Howell RP  LAD"	44.0	0	0	0	6	1	1	3	39	14	47	1.43	1.39	447
"Joe Smith RP  LAA"	65.3	0	0	0	5	5	5	4	57	19	64	3.58	1.27	448
"Carlos Villanueva RP  STL "	61.0	0	0	0	4	3	2	0	55	21	50	2.95	1.16	454
"Arquimedes Caminero RP  PIT "	74.7	0	0	0	5	1	0	1	73	29	63	3.62	1.23	457
"Hansel Robles RP  NYM "	54.0	0	0	0	4	3	0	4	61	18	37	3.67	1.02	461
"Fernando Salas RP  LAA "	63.7	0	0	0	5	2	0	2	74	12	61	4.24	1.15	462
"Mark Lowe RP  DET"	55.0	0	0	0	1	3	1	4	61	12	46	1.96	1.05	466
"Danny Duffy SP  KC "	136.7	24	8	0	7	8	1	0	102	53	137	4.08	1.39	469
"Kevin Gausman SP  BAL "	112.3	17	8	0	4	7	0	0	103	29	109	4.25	1.23	474
