Free Agent Starting Pitchers  Season   Projections Standard Stats
INN,GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
""Tim Cooney SP  CLE "	118.7	15	6	0	6	7	2	1	111	38	107	3.19	1.22	402
""Mike Foltynewicz SP  ATL"	171.3	32	15	1	10	13	0	0	153	47	175	4.46	1.30	413
""R.A. Dickey SP  ATL"	194.0	33	16	1	11	10	0	0	146	67	188	4.36	1.31	416
""Yovani Gallardo SP  SEA "	169.7	32	16	1	11	9	0	0	133	69	160	4.24	1.35	431
""Andrew Triggs RP  OAK "	118.7	20	8	0	8	9	1	0	116	27	118	4.32	1.22	436
""Charlie Morton SP  HOU "	166.7	32	17	1	9	10	0	0	148	47	169	4.48	1.30	437
""Luis Cessa SP  NYY"	118.7	20	9	0	9	9	1	0	78	24	108	4.32	1.11	444
""Ubaldo Jimenez SP  BAL"	167.7	32	16	1	10	10	0	0	155	68	165	4.35	1.39	445
""Paul Clemens SP  SD"	170.3	32	15	1	9	10	0	0	153	61	168	4.33	1.34	447
""Ty Blach SP  SF"	118.7	13	5	0	5	7	2	1	87	35	105	3.19	1.18	448
""Bryan Mitchell SP  NYY"	170.3	32	15	1	9	10	0	0	155	58	170	4.44	1.34	449
""Hector Santiago SP  MIN "	174.0	32	16	1	10	9	0	0	149	62	169	4.66	1.33	456
""Jason Vargas SP  KC"	160.7	32	16	1	8	10	0	0	123	51	153	4.20	1.27	465
""Tim Adleman SP  CIN"	118.7	21	8	0	8	10	1	0	80	34	109	4.02	1.21	471
""Yordano Ventura SP  KC"	184.7	32	16	1	10	9	0	0	158	68	189	4.68	1.39	478
""Chad Kuhl SP  PIT "	160.0	32	19	1	9	9	0	0	116	42	165	4.50	1.29	483
""Luis Severino SP  NYY"	118.7	20	9	0	9	9	0	0	109	42	117	4.47	1.34	486
""Raisel Iglesias RP  CIN "	34.0	0	0	0	2	1	20	0	29	11	28	3.44	1.15	487
""Jarlin Garcia SP  MIA"	118.7	16	6	0	6	8	2	1	108	45	116	3.79	1.36	496
""Rookie Davis SP  CIN"	118.7	18	6	0	6	9	2	0	108	45	116	3.79	1.36	496
""Amir Garrett SP  CIN "	118.7	18	6	0	6	9	2	0	108	45	116	3.79	1.36	496
""Anibal Sanchez SP  DET "	170.7	32	15	1	8	11	0	0	154	55	174	4.80	1.34	510
""Chris Young RP  KC "	101.3	16	8	0	6	6	0	0	94	33	91	4.17	1.22	514
""Phil Hughes SP  MIN "	179.0	32	14	1	9	11	0	0	117	37	197	4.53	1.31	520
""Chase Anderson SP  MIL"	118.7	21	8	0	8	10	2	0	90	36	122	4.32	1.33	522
""Matt Cain SP  SF"	170.0	32	16	1	9	10	0	0	136	55	181	4.55	1.39	523
""Jimmy Nelson SP  MIL"	190.3	33	15	1	10	10	0	0	153	77	190	4.78	1.40	524
""Connor Sadzeck SP  TEX"	118.7	14	5	0	5	8	2	1	108	45	116	3.79	1.36	525
""Joan Gregorio SP  SF"	118.7	13	5	0	5	7	2	1	108	45	116	3.79	1.36	525
""Nick Kingham SP  PIT "	118.7	14	5	0	5	7	2	1	108	45	116	3.79	1.36	525
""Shelby Miller SP  ARI"	118.7	22	8	0	8	11	2	0	93	45	121	4.10	1.40	533
""Robbie Erlin SP  SD "	77.7	14	6	0	6	6	1	0	55	12	67	4.40	1.02	534
""Taylor Jungmann SP  MIL "	118.7	21	8	0	8	10	2	0	102	52	111	4.47	1.37	535
""Kyle Gibson SP  MIN "	196.3	33	16	1	9	10	0	0	156	64	214	4.58	1.42	543
""Mike Bolsinger SP  TOR "	118.7	16	7	0	7	8	2	0	107	47	119	4.25	1.40	544
""Martin Perez SP  TEX"	190.3	32	18	1	9	11	0	0	116	64	198	4.21	1.38	545
""Pierce Johnson SP  CHC"	118.7	12	4	0	4	6	3	1	108	45	116	3.79	1.36	546
""Jesse Hahn SP  OAK"	118.7	20	8	0	8	9	2	0	73	37	121	4.25	1.33	556
""Andrew Cashner SP  TEX"	162.3	32	16	1	8	9	0	0	137	55	168	4.77	1.37	558
""Brandon McCarthy SP  LAD"	118.7	16	6	0	6	7	2	1	138	57	100	5.46	1.32	566
""Ross Stripling SP  LAD"	118.7	16	6	0	6	7	0	0	87	36	117	4.17	1.29	573
""Tommy Milone SP  MIL "	118.7	21	8	0	8	10	2	0	84	35	128	4.55	1.37	581
""Albert Suarez SP  SF"	118.7	16	7	0	7	8	1	0	77	37	119	4.32	1.31	588
""Derek Holland SP  CHW "	143.0	28	13	1	9	10	0	0	112	44	152	5.04	1.37	596
""Wade Miley SP  BAL"	118.7	19	8	0	8	9	2	0	94	37	128	4.85	1.39	599
""A.J. Griffin SP  TEX "	165.0	32	16	1	7	12	0	0	155	58	162	5.40	1.33	605
""Wily Peralta SP  MIL "	174.7	32	15	1	9	11	0	0	134	57	200	4.69	1.47	625
""Brian Johnson SP  BOS "	118.7	13	5	0	5	7	2	1	104	54	111	4.47	1.39	628
""Jake Esch SP  MIA"	118.7	20	8	0	8	9	2	0	101	49	133	4.55	1.53	631
""Tyler Duffey SP  MIN"	118.7	22	9	0	9	11	2	0	104	32	139	5.46	1.44	634
""Jorge Lopez SP  MIL"	118.7	18	6	0	6	9	2	0	112	50	133	4.32	1.54	643
""Cody Anderson RP  CLE "	118.7	15	6	0	6	7	0	0	77	29	127	4.55	1.31	652
""Matt Wisler SP  ATL"	118.7	18	7	0	7	9	2	0	84	40	125	4.93	1.39	657
""Jered Weaver SP  LAA"	147.7	25	11	1	8	11	0	0	85	37	163	4.88	1.35	678
""Rob Whalen SP  SEA "	118.7	17	6	0	6	8	2	0	118	56	100	6.07	1.31	690
""Jeff Locke SP  MIA "	118.7	20	8	0	8	9	2	0	81	42	133	4.93	1.47	703
""Sal Romano SP  CIN"	57.0	0	0	0	3	4	2	0	52	22	56	3.79	1.37	705
""Matt Boyd SP  DET"	118.7	19	8	0	8	9	2	0	96	38	129	5.69	1.41	711
""Jeff Hoffman SP  COL"	182.0	32	15	1	9	11	0	0	157	73	202	5.29	1.51	727
""Chi Chi Gonzalez SP  TEX"	118.7	20	9	0	9	8	1	0	56	65	109	4.63	1.47	729
""Raul Alcantara SP  OAK"	162.0	32	15	1	9	10	0	0	116	50	181	5.33	1.43	730
""Adam Morgan SP  PHI"	118.7	20	7	0	7	10	1	0	87	28	138	5.31	1.40	751
""Cesar Vargas SP  SD "	118.7	21	9	0	9	10	2	0	98	52	143	5.01	1.64	756
""Henry Owens SP  BOS"	118.7	16	7	0	7	8	2	0	99	61	119	5.16	1.52	761
""German Marquez SP  COL"	118.7	18	7	0	7	9	2	0	93	38	147	4.78	1.56	762
""Jarred Cosart SP  SD "	161.7	32	14	1	5	14	0	0	103	69	152	4.90	1.37	821
""Juan Nicasio RP  PIT "	43.3	0	0	0	2	2	1	0	50	19	43	4.15	1.43	825
""Zach Eflin SP  PHI "	118.7	20	7	0	7	10	2	0	58	32	126	5.54	1.33	853
""Zach Lee SP  SD "	118.7	17	6	0	6	9	2	0	103	42	141	5.31	1.54	867
""Adam Plutko SP  CLE"	50.3	0	0	0	2	2	2	1	45	20	52	4.29	1.43	873
""Alec Mills SP  KC"	50.0	0	0	0	3	3	2	1	48	26	49	4.86	1.50	881
""Steven Brault SP  PIT"	118.7	18	8	0	8	8	2	0	103	61	149	4.85	1.77	902
""Hyun-Jin Ryu SP  LAD"	118.7	12	4	0	4	7	2	1	103	46	135	5.01	1.53	903
""Mike Clevinger SP  CLE"	118.7	12	4	0	4	6	1	0	108	69	108	5.23	1.49	908
""Alec Asher SP  PHI"	118.7	20	7	0	7	10	2	0	61	29	134	5.92	1.37	948
""Jose Urena RP  MIA"	118.7	20	8	0	8	9	2	0	70	44	134	5.76	1.50	952
""Marco Gonzales SP  STL "	53.7	6	2	0	2	3	1	0	46	20	60	4.70	1.49	956
""Matt Garza SP  MIL"	177.0	32	15	1	9	10	0	0	124	64	212	5.39	1.56	966
""Logan Verrett RP  BAL "	22.0	0	0	0	1	1	2	0	16	9	21	4.50	1.36	968
""Brock Stewart SP  LAD"	118.7	16	6	0	6	7	2	0	106	51	138	5.69	1.59	969
""Daniel Mengden SP  OAK"	118.7	20	8	0	8	9	2	0	117	54	137	6.52	1.61	974
""Jake Thompson SP  PHI"	118.7	20	7	0	7	10	2	0	71	62	117	5.69	1.51	982
""Chris Rusin RP  COL"	20.3	0	0	0	1	1	0	0	14	6	24	4.87	1.48	1007
""Joe Kelly RP  BOS "	18.3	0	0	0	1	1	0	0	13	8	20	4.91	1.53	1009
""Daniel Wright SP  LAA"	118.7	18	7	0	7	8	2	0	63	24	149	6.14	1.46	1016
""Jordan Lyles RP  COL "	29.7	0	0	0	1	1	2	0	14	13	34	5.46	1.58	1025
""Brady Rodgers SP  HOU"	43.3	0	0	0	2	2	2	1	33	22	52	6.85	1.71	1032
""Cody Reed SP  CIN "	118.7	21	8	0	8	10	2	0	107	47	149	7.36	1.65	1034
""Dillon Overton SP  OAK"	36.3	0	0	0	2	2	2	0	27	11	45	9.91	1.54	1035
""Aaron Blair SP  ATL"	118.7	18	7	0	7	9	2	0	78	58	139	7.58	1.66	1037
""Alex Capaul SP  ARI"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Dylan Baker SP  CLE"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Josh Lindblom SP  PIT "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Sean Reid-Foley SP  TOR "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
