All Outfielders  Season   Projections Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Hyun Soo Kim LF  BAL "	394	44	114	85	20	3	6	28	39	71	4	2	0.289	0.359	0.401	438
"Travis Jankowski CF  SD "	327	46	83	66	12	3	2	14	36	87	21	5	0.254	0.332	0.327	441
"Jefry Marte 1B  LAA"	278	35	65	36	13	0	16	41	19	77	2	1	0.234	0.295	0.453	442
"Joey Rickard RF  BAL "	379	43	93	70	16	0	7	27	24	83	12	2	0.245	0.297	0.343	454
"Robbie Grossman LF  MIN"	344	48	86	57	19	1	9	36	52	112	2	1	0.250	0.352	0.390	458
"Steve Selsky RF  CIN "	269	37	73	51	12	1	9	30	16	95	5	0	0.271	0.315	0.424	459
"Jake Marisnick CF  HOU "	359	46	79	51	20	2	6	28	17	93	15	3	0.220	0.265	0.337	467
"Whit Merrifield 2B  KC"	310	44	82	55	20	4	3	30	20	72	8	2	0.265	0.309	0.384	470
"Jordan Patterson RF  COL"	237	34	68	46	12	2	8	32	19	60	2	1	0.287	0.345	0.456	473
"Jurickson Profar 3B  TEX "	433	58	99	75	12	5	7	34	49	108	3	1	0.229	0.313	0.328	477
"Rob Segedin LF  LAD"	313	38	74	49	12	4	9	40	26	90	2	0	0.236	0.307	0.387	488
"Marwin Gonzalez 1B  HOU "	309	33	81	55	16	2	8	29	12	63	5	2	0.262	0.296	0.405	490
"Brett Eibner RF  OAK "	363	42	75	40	17	4	14	42	33	100	1	0	0.207	0.275	0.391	492
"Enrique Hernandez LF  LAD"	340	41	79	50	16	2	11	31	37	98	3	1	0.232	0.309	0.388	495
"Brandon Drury LF  ARI "	298	34	80	53	18	0	9	32	19	65	0	0	0.269	0.317	0.419	503
"Danny Santana CF  MIN "	426	50	91	66	17	6	2	28	18	126	16	5	0.214	0.251	0.296	504
"Roman Quinn LF  PHI "	233	31	61	41	13	1	6	25	21	73	8	1	0.262	0.331	0.403	508
"Jake Smolinski CF  OAK"	351	36	79	57	9	3	10	36	26	64	1	0	0.225	0.293	0.353	549
"Tyler Austin 1B  NYY"	227	25	55	34	10	1	10	28	18	81	3	0	0.242	0.301	0.427	554
"Ryan Flaherty 3B  BAL "	398	40	83	57	14	4	8	36	35	118	4	0	0.208	0.278	0.324	574
"Anthony Gose CF  DET "	250	37	59	40	10	5	4	15	23	88	9	3	0.236	0.305	0.364	576
"Trayce Thompson CF  LAD "	167	23	41	22	9	1	9	23	17	48	3	0	0.245	0.315	0.473	587
"Justin Ruggiano CF  NYM "	150	22	38	21	8	1	8	22	14	53	4	1	0.253	0.325	0.480	589
"Andrew Aplin CF  HOU"	217	28	53	34	10	1	8	24	18	54	2	0	0.244	0.308	0.410	590
"JaCoby Jones 3B  DET"	237	31	59	38	14	2	5	23	15	76	4	0	0.249	0.299	0.388	592
"Derek Dietrich 2B  MIA "	228	28	60	38	13	3	6	26	21	58	0	0	0.263	0.356	0.425	603
"Jeremy Hazelbaker LF  ARI"	152	23	36	21	5	3	7	19	11	52	6	2	0.237	0.288	0.447	606
"Ben Revere CF  LAA "	228	29	59	47	7	4	1	15	11	25	10	2	0.259	0.296	0.338	607
