All First Basemen  Season   Projections Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Mitch Moreland 1B  BOS "	466	50	116	69	29	0	18	68	34	119	1	0	0.249	0.308	0.427	292
"Tommy Joseph 1B  PHI "	360	51	91	51	20	0	20	51	25	87	1	0	0.253	0.310	0.475	304
"Gerardo Parra LF  COL "	419	58	110	68	30	3	9	44	13	87	10	3	0.263	0.288	0.413	310
"Joe Mauer 1B  MIN"	439	63	117	80	24	3	10	50	70	107	2	0	0.267	0.369	0.403	323
"Josh Bell 1B  PIT "	421	56	113	77	25	1	10	54	45	81	3	2	0.268	0.342	0.404	324
"Howie Kendrick LF  PHI"	513	58	133	96	27	3	7	39	35	106	14	2	0.259	0.310	0.364	325
"Danny Valencia 3B  SEA "	338	51	96	64	16	1	15	41	29	95	1	1	0.284	0.346	0.470	327
"Steve Pearce 1B  TOR "	357	50	94	61	17	1	15	49	40	76	1	0	0.263	0.344	0.443	338
"Hernan Perez 3B  MIL"	345	36	87	59	17	3	8	42	12	85	19	3	0.252	0.279	0.388	353
"Sean Rodriguez 1B  ATL "	352	45	90	53	19	1	17	47	27	122	2	1	0.256	0.318	0.460	355
"Javier Baez 3B  CHC"	345	36	96	69	16	1	10	42	10	92	10	2	0.278	0.310	0.417	363
""Yulieski Gurriel 3B  HOU ""	438	48	112	76	23	1	12	49	25	73	4	2	0.256	0.305	0.395	372
"Dan Vogelbach 1B  SEA"	330	43	78	45	14	1	18	47	34	113	3	0	0.236	0.315	0.449	380
"Wilmer Flores 3B  NYM "	348	43	91	60	16	1	14	49	21	56	1	0	0.262	0.309	0.434	387
"Nick Franklin LF  TB"	425	40	98	59	23	4	12	49	26	117	10	1	0.231	0.281	0.388	404
"Justin Smoak 1B  TOR"	445	49	93	56	17	1	19	56	44	170	1	0	0.209	0.285	0.380	407
"Jefry Marte 1B  LAA"	278	35	65	36	13	0	16	41	19	77	2	1	0.234	0.295	0.453	442
"Greg Bird 1B  NYY"	228	34	57	31	12	0	14	39	21	75	1	0	0.250	0.319	0.487	451
"Yonder Alonso 1B  OAK "	434	49	109	75	28	0	6	45	44	70	2	1	0.251	0.323	0.357	455
"Jurickson Profar 3B  TEX "	433	58	99	75	12	5	7	34	49	108	3	1	0.229	0.313	0.328	477
"Rob Segedin LF  LAD"	313	38	74	49	12	4	9	40	26	90	2	0	0.236	0.307	0.387	488
"Marwin Gonzalez 1B  HOU "	309	33	81	55	16	2	8	29	12	63	5	2	0.262	0.296	0.405	490
"A.J. Reed 1B  HOU"	323	36	70	44	11	1	14	34	42	111	1	0	0.217	0.311	0.387	521
"Tyler Austin 1B  NYY"	227	25	55	34	10	1	10	28	18	81	3	0	0.242	0.301	0.427	554
"Richie Shaffer 1B  CIN "	272	34	60	31	18	0	11	29	34	93	1	1	0.221	0.316	0.408	561
"Ryan Flaherty 3B  BAL "	398	40	83	57	14	4	8	36	35	118	4	0	0.208	0.278	0.324	574
"Chris Colabello 1B  CLE "	179	24	51	34	9	1	7	23	11	57	1	0	0.285	0.333	0.464	582
"Matt Adams 1B  STL "	211	22	50	29	11	0	10	32	15	59	0	0	0.237	0.291	0.431	591
"Derek Dietrich 2B  MIA "	228	28	60	38	13	3	6	26	21	58	0	0	0.263	0.356	0.425	603
"Conor Gillaspie 3B  SF "	182	20	48	29	9	2	8	26	10	34	0	0	0.264	0.306	0.467	615
"Luis Valbuena 3B  HOU "	204	25	49	30	10	0	9	25	23	46	0	0	0.240	0.323	0.422	619
"Chris Coghlan LF  CHC"	221	32	48	29	11	2	6	24	29	55	4	1	0.217	0.314	0.366	620
"John Jaso 1B  PIT"	213	25	57	37	15	1	4	24	24	41	0	0	0.268	0.347	0.404	644
"Byung Ho Park 1B  MIN "	180	25	35	16	8	1	10	23	18	69	1	0	0.194	0.279	0.417	649
"Matt Skole 1B  WAS"	154	19	39	25	8	1	5	20	12	37	1	0	0.253	0.316	0.416	694
"Ryan Rua LF  TEX"	142	22	34	23	5	1	5	12	12	53	4	0	0.239	0.308	0.394	696
"Jose Marmolejos-Diaz 1B  WAS"	146	18	35	22	7	0	6	21	16	39	1	0	0.240	0.319	0.411	698
"D.J. Peterson 1B  SEA "	154	18	39	25	8	1	5	20	12	38	1	0	0.253	0.316	0.416	702
"Austin Romine C  NYY "	162	17	37	22	9	0	6	24	9	37	1	0	0.228	0.269	0.395	713
"Jose Osuna 1B  PIT"	150	20	38	26	7	1	4	17	13	38	2	0	0.253	0.321	0.393	717
"David Freese 3B  PIT "	160	20	42	29	9	0	4	19	13	48	0	0	0.263	0.333	0.394	723
"Mark Canha 1B  OAK "	125	16	29	17	6	0	6	19	8	38	1	0	0.232	0.294	0.424	737
"Rangel Ravelo 1B  OAK "	148	17	35	21	8	0	6	20	15	38	0	0	0.236	0.311	0.412	741
"Clint Robinson 1B  WAS"	170	17	43	33	6	0	4	20	16	30	0	0	0.253	0.325	0.359	760
"Rob Refsnyder RF  NYY"	164	23	38	28	8	0	2	14	16	39	2	1	0.232	0.304	0.317	798
"Tyler White 1B  HOU"	151	15	33	19	9	0	5	17	12	34	1	0	0.218	0.281	0.378	820
"Christian Walker 1B  BAL"	127	15	30	20	5	1	4	13	13	38	1	0	0.236	0.312	0.386	845
"Darin Ruf 1B  LAD"	99	12	23	14	4	0	5	15	9	28	0	0	0.232	0.309	0.424	849
"Tim Beckham SS  TB "	164	16	36	20	8	4	4	15	9	60	2	0	0.220	0.264	0.390	852
"Jesus Aguilar 1B  CLE"	114	12	27	17	6	0	4	16	10	29	0	0	0.237	0.309	0.395	866
"Andres Blanco 3B  PHI "	88	12	24	13	8	1	2	9	6	19	1	0	0.273	0.333	0.455	897
"Stephen Cardullo 1B  COL "	72	9	18	10	4	1	3	9	5	18	1	0	0.250	0.299	0.458	924
"Ji-Man Choi 1B  LAA "	102	9	20	12	4	0	4	10	11	28	2	1	0.196	0.274	0.353	943
"Andrew Romine 3B  DET "	90	10	20	16	2	1	1	7	5	22	4	0	0.222	0.278	0.300	947
"Scott Van Slyke LF  LAD "	101	9	22	15	5	0	2	10	7	28	1	1	0.218	0.288	0.327	973
"John Hicks 1B  DET"	72	7	16	9	5	0	2	7	4	23	1	0	0.222	0.263	0.375	987
