Free Agent Relief Pitchers  Season   Projections Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"George Kontos RP  SF "	65.0	0	0	0	3	3	0	0	41	16	50	2.49	1.02	557
"Blake Wood RP  CIN "	88.3	0	0	0	6	5	2	0	93	44	83	3.97	1.44	559
"Randall Delgado RP  ARI "	77.0	0	0	0	7	4	1	0	74	36	73	3.86	1.42	560
"JC Ramirez RP  LAA"	138.3	18	7	0	7	8	2	0	101	45	138	4.55	1.32	562
"Xavier Cedeno RP  TB "	53.7	0	0	0	4	3	1	0	56	17	46	3.02	1.17	563
"Tyler Clippard RP  NYY"	65.3	0	0	0	4	5	2	0	66	28	52	3.58	1.22	565
"Felipe Rivero RP  PIT"	75.0	0	0	0	2	3	2	0	82	27	61	3.60	1.17	568
"Josh Collmenter RP  ATL"	118.7	15	5	0	5	8	2	0	70	29	121	3.79	1.26	570
"Antonio Bastardo RP  PIT"	67.7	0	0	0	4	1	1	0	75	31	53	3.72	1.24	571
"Chris Heston RP  SEA "	118.7	17	6	0	6	8	2	0	94	46	116	4.17	1.37	572
"Ross Stripling SP  LAD"	118.7	16	6	0	6	7	0	0	87	36	117	4.17	1.29	573
"Chasen Shreve RP  NYY"	59.3	0	0	0	6	3	2	0	63	30	51	3.94	1.37	575
"Steve Cishek RP  SEA "	64.0	0	0	0	3	6	2	0	67	26	53	3.23	1.23	577
"Bruce Rondon RP  DET "	65.0	0	0	0	4	2	2	0	79	30	52	4.15	1.26	578
"Sammy Solis RP  WAS"	62.0	0	0	0	4	5	0	0	62	25	56	2.76	1.31	579
"Michael Blazek RP  MIL"	78.3	0	0	0	7	5	0	0	67	36	74	3.79	1.40	580
"Tommy Milone SP  MIL "	118.7	21	8	0	8	10	2	0	84	35	128	4.55	1.37	581
"Jumbo Diaz RP  CIN"	78.0	0	0	0	3	2	2	0	81	28	71	3.69	1.27	583
"Justin Grimm RP  CHC "	62.0	0	0	0	2	3	3	0	82	29	50	3.48	1.27	586
"Albert Suarez SP  SF"	118.7	16	7	0	7	8	1	0	77	37	119	4.32	1.31	588
"Joakim Soria RP  KC"	66.7	0	0	0	3	5	2	0	67	23	62	3.24	1.27	594
