STARTING PITCHERS
Aaron Harang, SP, $1.00
Sean O'Sullivan, SP RP, $1.00
Scott Kazmir, SP, $1.00
Cory Luebke, SP, $1.00
Craig Stammen, SP RP, $1.00
Mitch Talbot, SP, $1.00
Stephen Strasburg, SP, $1.00
Zach Duke, SP, $1.00
Doug Davis, SP, $1.00
Jake Arrieta, SP, $1.00
Manny Parra, RP SP, $1.00
Kyle Davies, SP, $1.00
Zach Miner, SP, $1.00
Casey Coleman, SP, $1.00
Jesse Litsch, SP, $1.00
Dave Bush, SP, $1.00
Jeremy Bonderman, SP, $1.00
Greg Smith, SP, $1.00
Armando Galarraga, SP, $1.00
Brad Lincoln, SP, $1.00
Bobby Cramer, SP, $1.00
Mark Rogers, SP, $1.00, (R) $10.00
Sean West, SP, $1.00
Dustin McGowan, SP, $1.00
Cha Seung Baek, SP, $1.00
Yusmeiro Petit, SP, $1.00
Bartolo Colon, SP, $1.00
Blake Hawksworth, RP SP, $1.00
Chris Jakubauskas, SP, $1.00
Brett D. Tomko, SP, $1.00
Rodrigo Lopez, SP, $1.00
Chris Tillman, SP, $1.00
Daniel McCutchen, RP SP, $1.00
Eric Stults, SP, $1.00
Jeff Karstens, SP RP, $1.00
Scott Richmond, SP, $1.00
J.D. Martin, SP, $1.00
Pat Misch, SP RP, $1.00
Anthony Reyes, SP, $1.00
Scott Olsen, SP, $1.00
Justin Hampson, SP, $1.00, (R) $10.00
Freddy Garcia, SP, $1.00
Brian Moehler, RP SP, $1.00
Carlos Monasterios, RP SP, $1.00
John Ely, SP, $1.00
Luke French, SP, $1.00
Sam LeCure, SP RP, $1.00
Scott Lewis, SP, $1.00, (R) $10.00
Brandon Beachy, SP, $1.00, (R) $10.00
Eric Milton, SP, $1.00, (R) $10.00
Todd Wellemeyer, SP, $1.00
Josh Geer, SP, $1.00
Brandon Duckworth, SP, $1.00, (R) $10.00
Mike Burns, SP, $1.00
Brian Tallet, RP SP, $1.00
Shairon Martis, SP, $1.00
Chad Reineke, SP, $1.00, (R) $10.00
Ryan Sadowski, SP, $1.00, (R) $10.00
Matt Harrison, RP SP, $1.00
Brian Bannister, SP, $1.00
Chris Waters, SP, $1.00
Kelvim Escobar, SP, $1.00, (R) $10.00
Shawn Estes, SP, $1.00, (R) $10.00
Humberto Sanchez, SP, $1.00, (R) $10.00
Matt Ginter, SP, $1.00, (R) $10.00
Brian Burres, SP RP, $1.00
Scott Elarton, SP, $1.00, (R) $10.00
Luis Atilano, SP, $1.00
Kip Wells, SP, $1.00
A.J. Murray, SP, $1.00, (R) $10.00
Ty Taubenheim, SP, $1.00, (R) $10.00
Justin Lehr, SP, $1.00
Tony Armas, SP, $1.00, (R) $10.00
Darrell Rasner, SP, $1.00
Oliver Perez, RP SP, $1.00
Brandon Knight, SP, $1.00, (R) $10.00
Tim Redding, SP, $1.00
Jeanmar Gomez, SP, $1.00
Mark Mulder, SP, $1.00, (R) $10.00
Eric Hurley, SP, $1.00, (R) $10.00
Ross Detwiler, SP, $1.00
Adalberto Mendez, SP, $1.00
Los Santos, De Los Santos, SP RP, $1.00, (R) $10.00
David Huff, SP, $1.00
Jack Cassel, SP, $1.00, (R) $10.00
