All Starting Pitchers 2010 MLB Standard Stats,,,,,,,,,,,,,,,
Player,Team,INN,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Rank
Santana, Ervin SP ANA	Free Agent	222.7	33	21	4	17	10	0	0	169	73	221	3.921	1.3204	133
Rodriguez, Wandy SP HOU	Shits & Giggles	195.0	32	23	0	11	12	0	0	178	68	183	3.600	1.2872	134
Garland, Jon SP LA 	Free Agent	200.0	33	19	0	14	12	0	0	136	87	176	3.465	1.3150	140
Hughes, Phil SP NYY	Shits & Giggles	176.3	29	15	0	18	8	0	0	146	58	162	4.185	1.2476	146
Greinke, Zack SP MIL 	User Abuser	220.0	33	21	3	10	14	0	0	181	55	219	4.173	1.2455	149
Cueto, Johnny SP CIN	Disco Bush Horticulturists	185.7	31	18	1	12	7	0	0	138	56	181	3.635	1.2765	151
Sanchez, Anibal SP FLA	Titty`s Warriors	195.0	32	20	1	13	12	0	0	157	70	192	3.554	1.3436	152
Hudson, Daniel SP ARI 	Grape Apes	95.3	14	12	0	8	2	0	0	84	27	68	2.454	0.9965	153
Gallardo, Yovani SP MIL	Want-a-be Ghetto All Stars	185.0	31	17	2	14	7	0	0	200	75	178	3.843	1.3676	157
Duensing, Brian RP MIN	SA`s	130.7	13	9	1	10	3	0	0	78	35	122	2.617	1.2015	161
Carmona, Fausto SP CLE	User Abuser	210.3	33	22	4	13	14	0	0	124	72	203	3.765	1.3074	167
Takahashi, Hisanori RP ANA 	Titty`s Warriors	122.0	12	6	0	10	6	8	0	114	43	116	3.615	1.3033	172
Chacin, Jhoulys SP COL	Floaters and Sinkers	137.3	21	11	0	9	11	0	0	138	61	114	3.277	1.2743	178
Vargas, Jason SP SEA	Whiteness	192.7	31	21	0	9	12	0	0	116	54	187	3.784	1.2509	183
Pelfrey, Mike SP NYM	Free Agent	204.0	33	20	0	15	9	1	0	113	68	213	3.662	1.3775	185
Hernandez, Livan SP WAS	Whiteness	211.7	33	22	2	10	12	0	0	114	64	216	3.657	1.3228	194
Richard, Clayton SP SD	Grape Apes	201.7	33	20	1	14	9	0	0	153	78	206	3.749	1.4083	196
Lowe, Derek SP ATL	Titty`s Warriors	193.7	33	15	0	16	12	0	0	136	61	204	3.997	1.3683	199
Pettitte, Andy SP NYY 	Disco Bush Horticulturists	129.0	21	14	0	11	3	0	0	101	41	123	3.279	1.2713	204
Stauffer, Tim RP SD	Free Agent	82.7	7	4	0	6	5	0	0	61	24	65	1.851	1.0766	206
Anderson, Brett SP OAK	Sofa Kings	112.3	19	13	0	7	6	0	0	75	22	112	2.804	1.1929	214
Nolasco, Ricky SP FLA 	Grape Apes	157.7	26	16	1	14	9	0	0	147	33	169	4.510	1.2812	218
Niemann, Jeff SP TB	Grape Apes	174.3	29	16	1	12	8	0	0	131	61	159	4.388	1.2620	219
Pineiro, Joel SP ANA	Free Agent	152.3	23	17	3	10	7	0	0	92	34	155	3.840	1.2407	223
Cecil, Brett SP TOR	Free Agent	172.7	28	18	0	15	7	0	0	117	54	175	4.222	1.3263	226
Hunter, Tommy SP TEX 	Free Agent	128.0	22	13	1	13	4	0	0	68	33	126	3.727	1.2422	231
Wood, Travis SP CIN	Free Agent	102.7	17	10	0	5	4	0	0	86	26	85	3.506	1.0812	242
Zito, Barry SP SF	Blue Crew	199.3	33	19	1	9	14	0	0	150	84	184	4.154	1.3445	245
Wolf, Randy SP MIL	Free Agent	215.7	34	20	1	13	12	0	0	142	87	213	4.173	1.3910	247
Floyd, Gavin SP CHW 	Free Agent	187.3	31	18	1	10	13	0	0	151	58	199	4.084	1.3719	254
