All Shortstops 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Erik Gonzalez SS  CHW"	37	4	7	6	1	0	0	3	4	12	1	0	.189	.268	.216	1194
"Maikel Garcia SS  KC"	22	1	7	6	1	0	0	2	1	5	0	0	.318	.348	.364	1207
"Ezequiel Tovar SS  COL"	33	2	7	5	1	0	1	2	2	9	0	0	.212	.257	.333	1221
"Zack Short SS  DET"	9	2	0	0	0	0	0	2	2	5	1	0	.000	.154	.000	1246
"Pablo Reyes SS  OAK"	15	1	4	4	0	0	0	0	1	2	0	0	.267	.312	.267	1393
"Kramer Robertson SS  STL"	1	0	0	0	0	0	0	1	0	0	0	0	.000	.000	.000	1408
"Liover Peguero SS  PIT "	3	0	1	1	0	0	0	0	1	2	0	0	.333	.500	.333	1415
"Leonardo Jimenez SS  TOR "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Ronny Mauricio SS  NYM "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Eddys Leonard SS  LAD "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Elliot Soto SS  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Fernando Tatis SS  SD "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Brayan Rocchio SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Jose Tena SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Luis Garcia SS  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Jacob Amaya SS  MIA "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Deven Marrero SS  NYM"	6	0	0	0	0	0	0	0	0	3	1	0	.000	.000	.000	1471
"Dixon Machado SS  HOU"	15	1	3	3	0	0	0	0	1	5	0	0	.200	.294	.200	1491
"Lucius Fox SS  WAS "	25	2	2	2	0	0	0	2	1	9	1	0	.080	.115	.080	1495
"Lenyn Sosa 2B  CHW "	35	3	4	2	1	0	1	1	1	12	0	0	.114	.139	.229	1505
"Wilmer Difo SS  NYY"	6	0	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	1547
"Chris Owings 2B  PIT"	56	6	6	4	2	0	0	0	10	24	1	0	.107	.254	.143	1583
"Drew Swift SS  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Laz Rivera SS  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tyler Tolbert SS  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jimmy Glowenke SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Alexander Vargas SS  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jett Williams SS  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Edgardo Fermin SS  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Trace Loehr SS  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
