All Outfielders 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Garrett Hampson CF  MIA"	199	29	42	30	7	3	2	15	21	63	12	2	.211	.287	.306	571
"Brad Miller LF  TEX"	222	20	47	37	3	0	7	32	18	70	4	2	.212	.270	.320	572
"Albert Almora RF  CIN"	215	26	48	32	10	1	5	29	17	46	3	2	.223	.282	.349	573
"LaMonte Wade RF  SF"	217	29	45	29	7	1	8	26	26	51	1	0	.207	.305	.359	578
"Edward Olivares RF  KC"	161	24	46	34	8	0	4	15	10	36	2	3	.286	.333	.410	584
"Aristides Aquino RF  CIN"	259	24	51	28	13	0	10	30	17	101	2	3	.197	.246	.363	585
"Oswaldo Cabrera RF  NYY "	154	21	38	23	8	1	6	19	15	44	3	2	.247	.312	.429	588
"Kyle Garlick LF  MIN"	150	23	35	23	3	0	9	18	8	48	0	0	.233	.284	.433	594
"Nelson Velazquez CF  CHC"	185	20	38	22	7	3	6	26	19	65	5	2	.205	.286	.373	601
"Nathan Eaton RF  KC"	106	16	28	20	4	3	1	12	10	30	11	1	.264	.331	.387	605
"Gilberto Celestino CF  MIN "	311	30	74	59	12	1	2	24	32	77	4	1	.238	.313	.302	607
"Mauricio Dubon CF  HOU"	243	31	52	38	9	0	5	24	13	30	2	3	.214	.252	.313	618
"Jackie Bradley Jr. RF  TOR "	344	30	70	42	23	1	4	38	24	77	2	3	.203	.255	.311	636
"Eli White CF  ATL"	105	16	21	16	2	0	3	10	11	41	12	1	.200	.274	.305	637
"Eddie Rosario LF  ATL"	250	27	53	35	12	1	5	24	17	68	3	0	.212	.259	.328	639
"Jarren Duran CF  BOS "	204	23	45	25	14	3	3	17	14	63	7	1	.221	.282	.363	642
"Luke Williams 3B  LAD"	127	21	30	23	5	1	1	6	9	44	11	4	.236	.287	.315	647
"Akil Baddoo LF  DET"	201	30	41	34	3	2	2	9	24	64	9	6	.204	.289	.269	662
"Leury Garcia 2B  CHW"	300	38	63	52	8	0	3	20	7	65	2	0	.210	.233	.267	670
"Alex Call LF  WAS"	114	18	27	18	3	1	5	13	15	30	3	3	.237	.336	.412	673
"Garrett Mitchell CF  MIL "	61	9	19	14	3	0	2	9	6	28	8	0	.311	.373	.459	676
"Cal Mitchell RF  PIT"	212	21	48	32	11	0	5	17	18	52	3	1	.226	.286	.349	678
"Trevor Larnach LF  MIN "	160	22	37	19	13	0	5	18	18	57	0	0	.231	.306	.406	688
