All Catchers 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Cam Gallagher C  CLE"	42	1	9	4	5	0	0	5	3	13	0	0	.214	.267	.333	1256
"Dustin Garneau C  DET"	10	1	3	2	1	0	0	1	1	4	0	0	.300	.364	.400	1257
"Chuckie Robinson C  CIN"	59	3	8	4	2	0	2	5	0	17	0	0	.136	.136	.271	1383
"Jose Herrera C  ARI"	111	9	21	19	2	0	0	5	9	34	0	0	.189	.250	.207	1385
"Chris Okey C  CIN"	12	3	2	2	0	0	0	0	0	5	0	0	.167	.231	.167	1390
"Korey Lee C  HOU "	25	1	4	2	2	0	0	4	1	9	0	0	.160	.192	.240	1395
"Payton Henry C  MIL"	28	2	4	4	0	0	0	4	5	8	0	0	.143	.314	.143	1400
"Carlos Perez C  CHW "	18	0	4	2	2	0	0	2	0	2	0	0	.222	.222	.333	1402
"Manny Pina C  OAK "	14	1	2	2	0	0	0	2	1	1	0	0	.143	.235	.143	1413
"Brian O'Keefe C  SEA"	3	0	1	1	0	0	0	0	1	2	0	0	.333	.500	.333	1415
"Rob Brantly C  TOR"	3	0	1	0	1	0	0	0	0	0	0	0	.333	.333	.667	1415
"Andrew Knapp C  DET"	39	4	5	4	1	0	0	4	5	12	0	0	.128	.239	.154	1424
"Taylor Davis C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Ali Sanchez C  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Ronaldo Hernandez C  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Jake Rogers C  DET "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Ben Rortvedt C  NYY "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Alex Hall C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Rafael Marchan C  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Hagen Danner C  TOR "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Miguel Amaya C  CHC "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Jakson Reetz C  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1425
"Mario Feliciano C  DET"	4	0	1	1	0	0	0	0	1	1	0	0	.250	.400	.250	1472
"Sandy Leon C  TEX"	71	6	12	9	3	0	0	4	13	27	0	0	.169	.298	.211	1476
"Pedro Severino C  SD"	18	0	4	2	2	0	0	1	3	7	0	0	.222	.333	.333	1479
"Alex Jackson C  MIL "	12	0	3	3	0	0	0	0	0	7	0	0	.250	.250	.250	1481
"Tres Barrera C  STL "	50	2	9	8	1	0	0	4	2	16	0	0	.180	.211	.200	1493
"Yainer Diaz C  HOU"	8	0	1	0	1	0	0	1	1	2	0	0	.125	.222	.250	1497
"Grayson Greiner C  MIN"	6	0	1	1	0	0	0	0	2	3	0	0	.167	.375	.167	1501
"Donny Sands C  DET"	3	0	0	0	0	0	0	0	1	1	0	0	.000	.250	.000	1507
"Sebastian Rivero C  CHW"	26	2	4	4	0	0	0	1	2	10	0	0	.154	.214	.154	1515
"Tony Wolters C  MIN"	4	0	0	0	0	0	0	0	0	3	0	0	.000	.000	.000	1521
"Freddy Fermin C  KC "	7	1	0	0	0	0	0	0	0	3	0	1	.000	.000	.000	1527
"Dom Nunez C  CHC"	33	3	4	3	1	0	0	2	6	10	0	0	.121	.244	.151	1537
"Jose Godoy C  LAA"	20	3	1	1	0	0	0	1	2	9	0	0	.050	.136	.050	1543
"Israel Pineda C  WAS "	13	1	1	1	0	0	0	0	1	7	0	0	.077	.143	.077	1552
"Michael Papierski C  DET"	91	7	13	11	1	0	1	4	10	26	0	0	.143	.228	.187	1555
"Austin Allen C  MIA"	14	1	1	1	0	0	0	0	1	9	0	0	.071	.188	.071	1557
"Bo Naylor C  CLE "	8	0	0	0	0	0	0	0	0	5	0	0	.000	.000	.000	1558
"Ivan Herrera C  STL"	18	0	2	2	0	0	0	1	2	8	0	0	.111	.191	.111	1559
"Jason Castro C  HOU"	78	6	9	6	2	0	1	3	8	40	1	0	.115	.204	.179	1560
"Bryan Lavastida C  CLE"	12	0	1	1	0	0	0	0	3	4	0	0	.083	.267	.083	1562
"Anthony Bemboom C  BAL"	52	4	6	3	2	0	1	1	6	17	0	0	.115	.207	.211	1574
"Roberto Pena C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kale Emshoff C  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Andrick Nava C  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Philip Clarke C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Rodrigo Vigil C  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Alberto Rosario C  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Michael Strentz C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Michael Tinsley C  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Nerio Rodriguez C  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matt Scheffler C  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jason Lopez C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jimmy Crooks C  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Seth Conner C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Arturo Nieto C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Stuart Levy C  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jeff Howell C  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"A.J. Murray C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Logan Porter C  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Henri Lartigue C  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Julian Leon C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Vito Friscia C  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Willie MacIver C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Daniel Torres C  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luke Berryhill C  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Evan Skoug C  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chris Berset C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matt Wieters C  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Garrett Boulware C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tyler Ogle C  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Alexander Alvarez C  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kyle Overstreet C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Taylor Hawkins C  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kyle Schmidt C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wyatt Hendrie C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jairo Rosario C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Francisco Arcia C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chance Sisco C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wilmer Dominguez C  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wilkin Castillo C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jhonny Pereda C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kungkuan Giljegiljaw C  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"J.C. Escarra C  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cassidy Brown C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Hissey C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matt Morgan C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chandler Seagle C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Logan Moore C  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tomas Telis C  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jose Alvarez C  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wilson Ramos C  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Brad Haynal C  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Alex Swim C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Dominic Miroglio C  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Nick Kahle C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Josh Breaux C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Adam Hackenberg C  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tim Roberson C  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Victor Mesia C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Samuel Basallo C  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Robie Rojas C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jeff Glenn C  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Sandro Gaston C  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Morgan Lofstrom C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Eddy Rodriguez C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Nathaniel Hickey C  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Charlie Madden C  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Carter Bins C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ethan Hearn C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"David Garcia C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Scott C  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Raudy Read C  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Moises Ballesteros C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Joey Morgan C  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Anthony Mulrine C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Sicnarf Loopstok C  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cesar Salazar C  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matheu Nelson C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Will Swanner C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Abraham Gutierrez C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Micah Gibbs C  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wilfred Astudillo C  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Juan Fernandez C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Alex Monsalve C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Diego Cartaya C  LAD "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Carlos Narvaez C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Parker Berberet C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Juan Kelly C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Armando Araiza C  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Raywilly Gomez C  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Hendrik Clementina C  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Max Ramirez C  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Harrison Wenson C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Yeiner Fernandez C  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luis Meza C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Drake Baldwin C  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tomas Morales C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Beau Taylor C  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matt Jones C  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ricardo Genoves C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Daniel Vellojin C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Logan Brown C  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
