Team Totals 2022  Season MLB Standard Categories
Team	AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	
Dirty Pujols	4988	717	1297	851	253	19	174	644	486	1123	80	29	.260	.330	.423
Disco Bush Horticulturists	6494	901	1564	921	333	29	281	902	658	1821	155	53	.241	.316	.431
EVIL EMPIRE 	4942	720	1358	859	269	18	212	698	526	1018	131	28	.275	.352	.465
Floaters and Sinkers	5198	728	1245	742	280	25	198	660	565	1275	60	17	.240	.321	.417
Los Cerveceros	6155	898	1662	1063	314	29	256	868	581	1440	116	36	.270	.339	.455
Old Dirty Bugg	6477	928	1657	1043	331	21	262	898	649	1654	82	29	.256	.328	.435
Orange-a-Tangs	7855	1037	2021	1280	418	23	300	1073	724	1744	122	47	.257	.325	.431
Shits & Giggles	5313	696	1353	904	267	17	165	659	499	1104	75	27	.255	.322	.404
Sofa Kings	5963	893	1572	971	300	25	276	860	582	1350	99	31	.264	.334	.461
Tittys Warriors	5643	761	1418	918	269	24	207	719	418	1349	110	28	.251	.312	.418
User Abuser	6699	893	1682	1090	334	38	220	881	623	1672	85	28	.251	.322	.411
Whiteness	3939	556	1029	660	209	16	144	483	402	814	82	23	.261	.335	.432
Team Totals 2022  Season MLB Standard Categories
Team	INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	
Dirty Pujols	937.1	283	137	58	1	55	44	34	9	26	983	312	823	3.34	1.21
Disco Bush Horticulturists	1403.1	445	210	96	2	90	87	88	17	16	1352	440	1303	3.85	1.24
EVIL EMPIRE 	1097.1	302	173	83	4	70	51	47	5	18	1290	305	865	3.06	1.07
Floaters and Sinkers	1303.2	292	220	106	0	95	52	15	8	5	1193	368	1094	3.17	1.12
Los Cerveceros	1305.2	442	190	82	1	82	66	26	16	73	1546	449	987	3.17	1.10
Old Dirty Bugg	1565.0	397	244	127	2	109	93	40	10	21	1599	402	1390	3.56	1.15
Orange-a-Tangs	1438.1	386	243	96	1	100	85	45	6	30	1506	527	1221	3.76	1.22
Shits & Giggles	990.1	352	135	65	1	65	59	88	12	13	989	302	810	3.26	1.12
Sofa Kings	1125.0	354	162	85	6	72	62	101	17	1	1159	338	892	3.14	1.09
Tittys Warriors	1347.2	381	211	86	2	92	65	68	11	17	1264	357	1212	3.53	1.16
User Abuser	1343.0	297	220	106	3	83	63	20	4	8	1388	362	1164	3.44	1.14
Whiteness	1389.1	331	222	100	4	91	66	29	9	9	1298	408	1229	3.52	1.18
