All Players   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
Old Dirty Bugg,Nick Lodolo SP | CIN ,167,30,30,14,0,6,11,0,0,0,203,62,153,3.83,1.29,138
Disco Bush Horticulturists,Daniel Bard RP | COL ,70,70,0,0,0,1,2,24,4,3,94,37,60,3.47,1.39,139
Sofa Kings,Jesus Luzardo SP | MIA ,166,30,30,15,0,11,8,0,0,0,183,48,130,3.52,1.07,142
Dirty Pujols,Dustin May SP | LAD ,144,29,29,9,0,14,6,0,0,0,151,43,124,3.75,1.16,143
Los Cerveceros,Freddy Peralta SP | MIL,140,29,29,11,0,9,4,0,0,0,164,47,102,2.89,1.06,154
Dirty Pujols,Charlie Morton SP | ATL ,160,29,29,12,0,11,5,0,0,0,183,53,133,3.54,1.16,155
User Abuser,Jeffrey Springs SP | TB,152,30,30,8,0,9,7,0,0,0,167,33,140,3.26,1.14,157
W ,Alexis Diaz RP | CIN,59,74,0,0,0,1,2,23,7,3,91,36,31,2.14,1.14,159
Floaters and Sinkers,Tony Gonsolin SP | LAD ,146,29,29,11,0,15,3,0,0,0,137,43,113,3.02,1.07,162
Whiteness,Chris Bassitt SP | TOR,174,29,29,19,0,14,8,0,0,0,160,46,156,3.10,1.16,164
Dirty Pujols,Jhoan Duran RP | MIN,74,59,0,0,0,2,3,28,3,4,99,18,55,1.82,0.99,168
W ,Peter Fairbanks RP | TB,66,70,0,0,0,2,3,34,3,3,88,21,44,2.32,0.98,169
Orange-a-Tangs,Lucas Giolito SP | CHW ,166,29,29,13,0,11,8,0,0,0,177,51,144,3.42,1.17,170
Shits & Giggles,Joe Ryan SP | MIN,164,30,30,13,0,13,10,0,0,0,163,47,144,3.73,1.16,171
Whiteness,Pablo Lopez SP | MIN,159,29,29,14,0,9,8,0,0,0,153,41,148,3.51,1.19,173
