All First Basemen 2022  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Sofa Kings,Alec Bohm 3B | PHI,586,79,164,124,24,3,13,72,31,110,2,3,.280,.315,.398,116
Whiteness,Josh Bell 1B | CLE ,552,78,147,98,29,3,17,71,81,102,0,1,.266,.362,.422,128
W ,Seth Brown LF | OAK ,500,55,115,61,26,3,25,73,51,146,11,2,.230,.304,.444,129
Shits & Giggles,Josh Naylor 1B | CLE,449,47,115,67,28,0,20,79,38,80,6,1,.256,.319,.452,139
Orange-a-Tangs,Andrew Vaughn RF | CHW ,510,60,138,92,28,1,17,76,31,96,0,0,.271,.321,.429,142
User Abuser,Patrick Wisdom 3B | CHC ,469,67,97,44,28,0,25,66,53,183,8,4,.207,.298,.426,148
W ,Yandy Diaz 3B | TB ,473,71,140,98,33,0,9,57,78,60,3,3,.296,.401,.423,151
EVIL EMPIRE ,Albert Pujols DH | STL,307,42,83,45,14,0,24,68,28,55,1,2,.270,.345,.550,155
Old Dirty Bugg,Wilmer Flores 2B | SF,525,72,120,72,28,1,19,71,59,103,0,0,.229,.316,.394,176
Floaters and Sinkers,DJ LeMahieu 3B | NYY,467,74,122,92,18,0,12,46,67,71,4,3,.261,.357,.377,192
User Abuser,Luke Voit DH | MIL ,500,55,113,69,22,0,22,69,55,179,1,1,.226,.308,.402,195
Sofa Kings,Jose Miranda 1B | MIN ,444,45,119,79,25,0,15,66,28,91,1,1,.268,.325,.426,200
W ,Trey Mancini DH | CHC ,519,56,124,82,23,1,18,63,53,135,0,0,.239,.319,.391,216
W ,Harold Ramirez DH | TB,403,46,121,91,24,0,6,58,19,72,3,5,.300,.343,.405,219
Shits & Giggles,Lourdes Gurriel LF | ARI,453,52,132,94,32,1,5,52,31,83,3,4,.291,.344,.400,231
W ,Daniel Vogelbach DH | NYM,386,47,92,54,19,1,18,59,73,114,0,0,.238,.360,.433,235
W ,Brendan Donovan RF | STL,391,64,110,83,21,1,5,45,60,70,2,3,.281,.394,.379,238
W ,Yuli Gurriel 1B | MIA ,545,53,132,84,40,0,8,53,30,73,8,0,.242,.288,.360,261
Orange-a-Tangs,Carlos Santana 1B | PIT,431,52,87,50,18,0,19,60,71,88,0,0,.202,.316,.376,272
W ,Christian Vazquez C | MIN,398,41,109,77,23,0,9,52,22,69,1,4,.274,.315,.400,275
W ,Joey Meneses 1B | WAS ,222,33,72,45,14,0,13,34,15,52,1,0,.324,.367,.563,276
W ,Dylan Moore RF | SEA ,205,41,46,27,11,2,6,24,34,75,21,8,.224,.368,.385,285
W ,Isaac Paredes 3B | TB,331,48,68,32,16,0,20,45,44,67,0,1,.205,.304,.435,290
W ,Jace Peterson 3B | OAK,288,44,68,44,14,2,8,34,33,85,12,1,.236,.316,.382,297
W ,Hunter Dozier RF | KC,462,51,109,67,26,4,12,41,34,125,4,3,.236,.292,.387,306
Shits & Giggles,Jesus Aguilar 1B | OAK,464,39,109,74,19,0,16,51,28,119,1,0,.235,.281,.379,308
W ,Gavin Sheets RF | CHW,377,34,91,57,19,0,15,53,27,86,0,0,.241,.295,.411,317
W ,Matt Carpenter DH | SD,128,28,39,15,9,0,15,37,19,35,0,0,.305,.412,.727,322
W ,Owen Miller 1B | MIL ,424,53,103,70,26,1,6,51,32,93,2,0,.243,.301,.351,329
W ,J.D. Davis DH | SF,318,46,79,50,16,1,12,35,39,122,1,1,.248,.340,.418,337
W ,Christian Bethancourt C | TB,318,39,80,52,17,0,11,34,12,80,5,1,.252,.283,.409,338
W ,Garrett Cooper 1B | MIA,414,37,108,64,33,2,9,50,40,119,0,0,.261,.337,.415,343
W ,Michael Chavis 1B | WAS,401,39,92,59,16,3,14,49,19,126,1,1,.229,.265,.389,347
W ,Ben Gamel LF | TB,371,42,86,55,20,2,9,46,48,98,5,1,.232,.324,.369,350
W ,Emmanuel Rivera 3B | ARI,330,46,77,46,16,3,12,40,23,83,1,2,.233,.292,.409,353
W ,Harold Castro 1B | COL,420,37,114,84,21,2,7,47,17,79,0,1,.271,.300,.381,354
W ,Eric Hosmer 1B | CHC ,380,38,102,75,19,0,8,44,37,64,0,0,.268,.334,.382,360
W ,Christian Arroyo 2B | BOS,280,32,80,57,16,1,6,36,13,49,5,1,.286,.322,.414,364
W ,Darin Ruf 1B | NYM ,334,52,68,45,12,0,11,45,45,105,2,0,.204,.307,.338,370
W ,Keston Hiura 1B | MIL,234,34,53,30,8,1,14,32,23,111,5,2,.227,.316,.449,371
W ,Connor Joe LF | PIT,404,56,96,65,20,4,7,28,55,97,6,2,.238,.338,.359,372
