All Players 3 Year Averages MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Sonny Gray SP  MIN "	103.2	20	20	8	0	7	6	0	0	0	115	37	85	3.65	1.18	197
"Taijuan Walker SP  PHI"	123.1	23	23	9	0	8	6	0	0	0	109	40	106	3.79	1.18	201
"Tyler Mahle SP  MIN "	116.0	22	22	9	0	7	5	0	0	0	132	43	99	3.96	1.22	206
"Nestor Cortes SP  NYY "	86.1	18	14	6	0	5	3	0	0	0	91	23	65	3.02	1.02	208
"Giovanny Gallegos RP  STL"	51.1	49	0	0	0	4	4	11	5	12	63	14	34	3.16	0.94	209
"Frankie Montas SP  NYY "	128.0	23	23	11	0	7	9	0	0	0	136	41	119	3.94	1.25	211
"Blake Snell SP  SD"	102.1	21	21	6	0	6	6	0	0	0	135	46	82	3.69	1.25	214
"Lance McCullers SP  HOU "	88.1	16	16	8	0	7	3	0	0	0	97	39	68	3.16	1.21	216
"Nathan Eovaldi SP  TEX "	113.1	20	20	8	1	7	5	0	0	0	117	21	116	3.81	1.21	217
"Craig Kimbrel RP  PHI"	45.0	48	0	0	0	3	4	16	4	4	67	21	31	3.20	1.16	226
"Trevor Bauer SP  LAD "	60.1	9	9	8	1	4	3	0	0	0	79	18	37	2.24	0.91	227
"Jordan Montgomery SP  STL"	126.2	24	24	8	0	6	5	0	0	0	122	32	119	3.84	1.19	228
"Marco Gonzales SP  SEA"	132.0	23	23	12	1	9	8	0	0	0	92	33	126	3.89	1.20	229
"Paul Sewald RP  SEA"	45.0	44	0	0	0	5	2	10	3	8	59	15	29	3.40	0.98	233
"Sean Manaea SP  SF"	130.1	24	24	11	1	8	7	0	0	0	132	33	130	4.42	1.25	241
"Jose Urquidy SP  HOU"	100.1	18	18	9	0	7	4	0	0	0	80	22	88	3.68	1.10	243
"Marcus Stroman SP  CHC"	106.0	19	19	9	0	5	7	0	0	0	92	27	95	3.23	1.15	253
"Mark Melancon RP  ARI "	47.2	50	0	0	0	3	5	23	4	0	36	18	46	3.21	1.34	257
"Jameson Taillon SP  CHC"	107.1	20	20	7	0	7	4	0	0	0	97	25	99	4.11	1.16	262
"Diego Castillo RP  SEA"	44.2	47	0	0	0	5	3	9	2	8	50	17	31	3.02	1.07	263
"Penn Murfee RP  SEA "	69.1	64	1	0	0	4	0	0	0	8	76	18	48	2.99	0.95	264
"Logan Gilbert SP  SEA "	101.2	19	19	7	0	6	4	0	0	0	101	26	94	3.81	1.18	267
"Ranger Suarez SP  PHI "	88.1	24	14	6	0	6	4	1	1	0	79	32	77	2.96	1.23	268
"Nick Martinez RP  SD"	106.1	47	10	2	0	4	4	8	1	8	95	41	96	3.47	1.29	269
"Ryan Helsley RP  STL"	41.1	39	0	0	0	5	2	7	2	6	50	18	25	2.83	1.04	273
"Drew Rasmussen SP  TB"	79.0	25	13	3	0	5	3	0	0	0	73	22	65	3.08	1.10	277
"Robert Suarez RP  SD"	47.2	45	0	0	0	5	1	1	3	11	61	21	29	2.27	1.05	279
"Brad Hand RP  COL "	44.0	49	0	0	0	4	3	14	3	6	43	18	35	3.27	1.20	281
"Aroldis Chapman RP  KC"	34.2	39	0	0	0	4	3	14	2	1	54	23	22	3.63	1.30	282
"Jeffrey Springs SP  TB"	66.2	31	8	2	0	5	3	1	1	4	78	17	60	3.10	1.16	283
"Taylor Rogers RP  SF"	41.2	42	0	0	0	3	5	16	5	5	56	10	40	4.10	1.20	286
"Gregory Soto RP  PHI "	49.0	51	0	0	0	3	5	17	2	4	55	29	37	3.49	1.35	287
"Clay Holmes RP  NYY"	45.0	44	0	0	0	5	3	7	2	6	48	16	33	3.00	1.09	288
"German Marquez SP  COL"	147.2	25	25	14	1	8	10	0	0	0	133	51	143	4.51	1.31	290
"Kyle Wright SP  ATL "	75.0	13	13	7	0	8	3	0	0	0	70	27	66	3.72	1.24	295
"Eric Lauer SP  MIL"	96.0	19	17	7	0	6	5	0	0	0	95	36	82	3.84	1.23	297
"Martin Perez SP  TEX "	124.0	27	22	10	0	7	7	0	0	0	104	44	123	3.70	1.35	300
"Tim Mayza RP  TOR"	50.2	62	0	0	0	6	2	2	4	18	50	12	41	3.20	1.05	301
"Brandon Hughes RP  CHC "	57.2	57	0	0	0	2	3	8	4	8	68	21	42	3.12	1.09	302
"Brady Singer SP  KC"	115.1	22	21	9	0	6	7	0	0	0	114	37	113	3.98	1.30	303
"Rich Hill SP  PIT "	107.1	22	22	5	0	6	6	0	0	0	97	36	97	3.94	1.24	305
"Chad Green RP  TOR "	41.1	34	0	0	0	5	4	3	4	9	49	10	28	3.27	0.92	307
"Aaron Civale SP  CLE"	98.1	18	18	7	0	7	6	0	0	0	89	23	94	4.39	1.19	308
"Spencer Strider SP  ATL "	44.2	11	7	3	0	4	2	0	0	1	67	15	29	2.62	0.99	310
"Camilo Doval RP  SF"	31.2	32	0	0	0	4	2	10	2	2	39	13	24	2.56	1.17	314
"Tarik Skubal SP  DET "	99.2	20	19	7	0	5	8	0	0	0	106	30	91	4.15	1.21	317
"Hector Neris RP  HOU"	53.2	56	0	0	0	4	4	7	5	13	68	21	43	3.86	1.19	318
"Kyle Hendricks SP  CHC "	115.2	20	20	11	1	8	6	0	0	0	87	25	119	4.36	1.25	319
"Hyun-Jin Ryu SP  TOR "	87.2	16	16	7	0	7	4	0	0	0	77	19	87	4.11	1.21	320
"Zach Plesac SP  CLE"	110.0	19	19	9	0	6	7	0	0	0	86	26	104	4.09	1.18	321
"Alex Cobb SP  SF "	98.1	19	19	5	0	6	5	0	0	0	96	31	96	3.84	1.29	322
"Miles Mikolas SP  STL "	82.1	14	14	8	0	5	5	0	0	0	61	17	71	3.50	1.07	323
"Will Smith RP  TEX"	47.2	51	0	0	0	2	4	14	3	7	57	19	39	3.78	1.22	330
"Ross Stripling SP  SF "	95.0	23	17	5	0	6	5	1	0	0	82	23	91	4.17	1.20	332
