Team Totals 2015  Season MLB Standard Stats
Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	
Crime Pays	6347	874	1770	1188	366	31	185	792	548	1212	115	38	0.279	0.340	0.434
Disco Bush Horticulturists	7148	1002	1903	1205	373	51	274	924	717	1530	166	60	0.266	0.339	0.448
EVIL EMPIRE	6610	943	1791	1144	344	32	271	896	645	1450	150	53	0.271	0.338	0.456
Floaters and Sinkers	6275	912	1723	1109	316	21	277	950	661	1373	66	36	0.275	0.347	0.464
Lebald James	6542	873	1806	1214	328	37	227	886	605	1290	131	43	0.276	0.344	0.442
Old Dirty Bugg	6666	874	1768	1110	356	38	264	907	566	1331	108	60	0.265	0.327	0.449
Orange-a-Tangs	5353	727	1420	888	305	26	201	713	457	1287	57	37	0.265	0.329	0.445
Rocky Rhode	5767	717	1495	995	286	18	196	744	467	1217	64	31	0.259	0.319	0.417
Rocky Road	6645	879	1786	1210	347	38	191	791	616	1512	155	50	0.269	0.334	0.419
SA's Jr.	7475	981	1998	1384	375	39	200	886	680	1672	153	46	0.267	0.333	0.408
Shits & Giggles	7480	1055	2097	1376	398	47	276	1042	721	1390	157	49	0.280	0.345	0.457
Sofa Kings	6608	966	1826	1128	385	43	270	947	627	1433	127	53	0.276	0.344	0.470
Report Updated as of  2/21/16  9:00 PM EST
Team Totals 2015  Season MLB Standard Stats
Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	
Crime Pays	1218.7	163	85	3	78	70	64	17	1140	369	1127	3.59	1.23
Disco Bush Horticulturists	1431.7	217	119	8	87	68	0	0	1254	375	1336	3.54	1.20
EVIL EMPIRE	1234.0	166	100	5	83	58	95	9	1296	284	1082	3.37	1.11
Floaters and Sinkers	1670.7	251	130	6	101	88	45	9	1444	462	1611	3.66	1.24
Lebald James	1545.3	211	123	12	85	78	79	12	1466	423	1368	3.43	1.16
Old Dirty Bugg	1592.0	228	126	4	101	71	109	11	1403	430	1429	3.27	1.17
Orange-a-Tangs	1048.0	137	76	3	61	49	77	9	1073	327	903	3.22	1.17
Rocky Rhode	1252.3	179	99	4	75	71	0	7	1061	358	1236	3.97	1.27
Rocky Road	1771.7	271	156	8	111	98	32	7	1505	546	1592	3.68	1.21
SA's Jr.	1149.7	159	76	2	73	63	86	23	963	405	1105	3.85	1.31
Shits & Giggles	1616.3	226	149	5	107	72	99	10	1555	458	1442	2.90	1.18
Sofa Kings	1630.7	235	155	13	107	82	45	11	1748	424	1376	3.12	1.10
Report Updated as of  2/21/16  9:00 PM EST
