All Second Basemen 2015  Season MLB Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
W ,Eric Sogard 2B | OAK,372,40,92,76,12,3,1,37,23,50,6,1,0.247,0.294,0.304,439
Rocky ...,Anthony Rendon 2B | WAS ,311,43,82,61,16,0,5,25,36,70,1,2,0.264,0.344,0.363,441
W ,Elian Herrera 3B | LAD ,256,29,62,37,18,0,7,33,18,72,3,1,0.242,0.290,0.395,463
Disco ...,Tim Beckham 2B | TB,203,24,45,25,7,4,9,37,13,69,3,1,0.222,0.274,0.429,464
W ,Chase Utley 2B | LAD,373,37,79,48,21,2,8,39,32,64,4,0,0.212,0.286,0.343,470
W ,Dustin Ackley LF | NYY ,238,28,55,31,11,3,10,30,18,45,2,2,0.231,0.283,0.429,473
W ,Enrique Hernandez CF | LAD ,202,24,62,41,12,2,7,22,11,46,0,2,0.307,0.346,0.490,479
W ,Ruben Tejada SS | NYM ,360,36,94,68,23,0,3,28,38,70,2,1,0.261,0.338,0.350,493
W ,Kelby Tomlinson 2B | SF,178,23,54,43,6,3,2,20,14,40,5,4,0.303,0.357,0.405,518
W ,Andrew Romine 3B | DET ,184,25,47,40,5,0,2,15,11,46,10,5,0.255,0.306,0.315,530
W ,Carlos Sanchez 2B | CHW ,389,40,87,58,23,1,5,31,19,81,2,2,0.224,0.268,0.327,534
W ,Ryan Flaherty 2B | BAL ,267,34,54,34,8,3,9,31,26,81,0,0,0.202,0.281,0.356,537
W ,Omar Infante 2B | KC ,440,39,97,65,23,7,2,44,9,69,2,2,0.221,0.234,0.318,538
W ,Mike Aviles LF | DET,290,37,67,52,10,0,5,17,20,38,3,1,0.231,0.282,0.317,556
W ,Phil Gosselin 2B | ARI,106,19,33,20,9,1,3,15,9,16,2,1,0.311,0.373,0.500,591
W ,Sean Rodriguez 1B | PIT,224,25,55,38,12,1,4,17,5,63,2,2,0.245,0.281,0.362,612
W ,Alexi Amarista SS | SD,324,28,66,49,10,4,3,30,24,55,5,1,0.204,0.257,0.287,624
W ,Ivan De Jesus 2B | CIN,201,15,49,33,10,2,4,28,19,55,0,2,0.244,0.311,0.373,636
W ,Daniel Descalso SS | COL,185,22,38,28,3,2,5,22,20,45,1,2,0.205,0.283,0.324,666
W ,Cliff Pennington 2B | LAA,210,24,44,35,6,0,3,21,27,49,3,0,0.209,0.297,0.281,669
W ,Skip Schumaker LF | CIN ,244,23,59,38,20,0,1,21,23,51,2,2,0.242,0.306,0.336,670
W ,Gordon Beckham 3B | ATL,211,24,44,30,8,0,6,20,19,43,0,1,0.208,0.275,0.332,673
W ,Hernan Perez 3B | MIL ,263,14,64,46,15,2,1,21,5,59,5,1,0.243,0.257,0.327,691
W ,Pedro Ciriaco 3B | TEX ,142,14,37,27,8,1,1,15,2,38,4,2,0.261,0.275,0.352,693
W ,Miguel Rojas SS | MIA,142,13,40,31,7,1,1,17,11,16,0,1,0.282,0.329,0.366,715
W ,Jonathan Herrera 2B | CHC,126,14,29,21,5,1,2,14,2,23,3,0,0.230,0.242,0.333,735
W ,Adam Rosales 1B | TEX ,114,14,26,19,4,0,3,7,10,30,4,4,0.228,0.296,0.342,742
W ,Josh Rutledge 2B | BOS,74,11,21,19,1,0,1,10,5,26,0,0,0.284,0.333,0.338,783
W ,Christian Colon SS | KC,107,8,31,26,5,0,0,6,11,17,3,2,0.290,0.356,0.336,794
W ,Rafael Ynoa LF | COL,127,14,33,24,8,1,0,9,3,28,1,0,0.260,0.277,0.339,797
W ,Taylor Featherston 3B | PHI ,154,23,25,17,5,1,2,9,7,46,4,2,0.162,0.212,0.247,803
W ,Tommy La Stella 2B | CHC,67,4,18,11,6,0,1,11,5,7,2,0,0.269,0.324,0.403,817
W ,Daniel Castro 2B | ATL,96,14,23,18,2,1,2,5,3,15,0,0,0.240,0.263,0.344,833
W ,Jake Elmore 1B | MIL,141,10,29,22,5,0,2,16,12,25,1,1,0.206,0.263,0.284,835
W ,Robert Refsnyder 2B | NYY,43,3,13,8,3,0,2,5,3,7,2,0,0.302,0.348,0.512,842
W ,Dan Uggla 2B | WAS,120,12,22,14,4,2,2,16,19,40,0,1,0.183,0.298,0.300,857
W ,Dilson Herrera 2B | NYM ,90,7,19,12,3,1,3,6,11,23,2,0,0.211,0.311,0.367,860
W ,Steve Tolleson 2B | BAL ,41,9,11,5,5,1,0,3,4,9,2,0,0.268,0.333,0.439,873
W ,Darnell Sweeney LF | PHI ,85,9,15,7,4,1,3,11,13,27,0,2,0.176,0.286,0.353,878
W ,Micah Johnson 2B | LAD ,100,10,23,19,4,0,0,4,9,30,3,2,0.230,0.306,0.270,889
W ,Ehire Adrianza 2B | SF,113,11,21,13,7,1,0,11,15,20,3,2,0.186,0.303,0.266,893
EVIL E...,Javier Baez 2B | CHC ,76,4,22,15,6,0,1,4,4,24,1,2,0.289,0.325,0.408,900
W ,Tommy Field 2B | DET,41,6,8,5,1,0,2,5,2,16,1,0,0.195,0.250,0.366,907
W ,Greg Garcia SS | STL,75,7,18,11,5,0,2,4,10,12,0,0,0.240,0.337,0.387,917
W ,Jose Pirela 2B | SD,74,7,17,13,3,0,1,5,2,16,1,0,0.230,0.247,0.311,925
W ,Darwin Barney 2B | TOR,27,4,7,4,1,0,2,4,1,2,0,0,0.259,0.286,0.518,926
W ,Brendan Ryan 2B | WAS ,96,10,22,14,6,2,0,8,5,29,0,0,0.229,0.275,0.333,930
W ,Nick Franklin 2B | TB,101,11,16,8,4,1,3,7,7,37,1,0,0.158,0.213,0.307,934
W ,Hanser Alberto 2B | TEX,99,12,22,19,2,1,0,4,2,17,1,0,0.222,0.238,0.263,936
W ,Brandon Drury 3B | ARI,56,3,12,7,3,0,2,8,2,8,0,0,0.214,0.254,0.375,946
W ,Josh Wilson 2B | DET,38,4,12,9,3,0,0,5,0,15,0,0,0.316,0.350,0.395,950
W ,Rey Navarro 2B | LAA ,29,5,8,5,2,0,1,3,0,3,0,0,0.276,0.276,0.448,958
W ,Trea Turner 2B | WAS ,40,5,9,7,1,0,1,1,4,12,2,2,0.225,0.295,0.325,960
W ,Hector Gomez 2B | MIL,127,15,23,9,11,2,1,7,3,40,0,0,0.181,0.212,0.323,995
W ,Jose Peraza 2B | CIN ,22,3,4,2,1,1,0,1,2,2,3,0,0.182,0.250,0.318,1009
W ,Pete Kozma SS | NYY,99,15,15,15,0,0,0,2,10,21,3,1,0.151,0.236,0.151,1015
W ,Grant Green 2B | SF,42,6,8,7,0,0,1,3,2,14,0,1,0.191,0.227,0.262,1038
