Free Agent Third Basemen  Season   Projections Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
W ,Christian Colon 2B | KC,162,15,39,32,6,0,1,14,12,35,1,1,0.241,0.301,0.296,912
W ,Carlos Sanchez 2B | CHW,155,16,33,20,9,1,3,16,7,40,0,0,0.213,0.252,0.342,914
W ,Adam Frazier LF | PIT ,81,11,23,17,4,1,1,7,6,16,2,0,0.284,0.341,0.395,915
W ,Josh Rutledge 3B | BOS ,98,13,25,18,6,0,1,9,8,36,1,0,0.255,0.318,0.347,926
W ,Andrew Romine 3B | DET ,90,10,20,16,2,1,1,7,5,22,4,0,0.222,0.278,0.300,947
W ,Gregorio Petit 2B | LAA ,164,15,35,25,8,1,1,12,11,52,0,0,0.213,0.267,0.293,985
W ,Marco Hernandez 2B | BOS,44,7,12,9,2,0,1,4,3,9,1,0,0.273,0.319,0.386,988
W ,Phil Gosselin 2B | ARI,59,7,16,12,3,0,1,4,4,12,1,0,0.271,0.318,0.373,989
W ,Ty Kelly 3B | NYM,56,8,14,10,2,1,1,7,7,12,0,0,0.250,0.333,0.375,990
W ,Cristhian Adames SS | COL,109,11,23,17,3,2,1,8,10,25,1,0,0.211,0.289,0.303,992
W ,Yadiel Rivera 3B | MIL,99,13,20,14,5,0,1,6,5,29,1,0,0.202,0.240,0.283,993
W ,Chris Taylor 3B | LAD,85,10,16,11,3,1,1,6,6,24,2,0,0.188,0.242,0.282,999
W ,Hanser Alberto 3B | TEX,106,10,21,17,3,1,0,10,2,29,1,0,0.198,0.213,0.245,1005
W ,Miguel Rojas 2B | MIA,81,9,18,14,4,0,0,6,5,12,0,0,0.222,0.267,0.272,1014
W ,Ehire Adrianza SS | SF ,68,5,14,10,3,0,1,6,6,15,1,0,0.206,0.289,0.294,1015
W ,Jeff McNeil 3B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Scott Sizemore 3B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Kellen Sweeney 3B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Mitch Nay 3B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jonathan Meyer 3B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Micah Schnurstein 3B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Matt Rogelstad 3B | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Simon Ferrer 3B | COL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Barrett Kleinknecht 3B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Joaquin Arias 3B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Ricardo Sosa 3B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jordan Edgerton 3B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Edgar Corcino 3B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Greg Sexton 3B | TB,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Brian Anderson 3B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Mike Aviles RF | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Paul Gran 3B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Dawel Lugo 3B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Brian Ruggiano 3B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Mike Hrynio 3B | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Duanel Jones 3B | SD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Brett Wallace 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,J.D. Alfaro 3B | KC,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Eduardo Cornejo 3B | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,C.J. Retherford 3B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Chris Nowak 3B | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Marc Tugwell 3B | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Eric Avila 3B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Eric Wood 3B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Bryan Pounds 3B | DET,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Marquez Smith 3B | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Grant Buckner 3B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Aderlin Rodriguez 3B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Gordon Beckham 2B | SF,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Mark Minicozzi 3B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jaime Trejo 3B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Chris Henderson 3B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Andy Leer 3B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
