Free Agent Second Basemen  Season   Projections Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
W ,Chase d'Arnaud SS | ATL,124,14,31,22,7,1,1,12,11,31,4,1,0.250,0.316,0.347,851
W ,Tim Beckham SS | TB ,164,16,36,20,8,4,4,15,9,60,2,0,0.220,0.264,0.390,852
W ,Max Moroff 2B | PIT,132,16,32,23,6,1,2,13,10,30,2,0,0.242,0.306,0.348,857
W ,Ryan Brett 2B | TB ,135,15,34,22,8,1,3,12,9,31,1,0,0.252,0.303,0.393,858
W ,Carlos Asuaje 2B | SD,120,14,28,18,6,1,3,13,9,31,2,0,0.233,0.292,0.375,862
W ,Jesmuel Valentin 2B | PHI,143,16,33,24,6,1,2,13,10,33,2,0,0.231,0.290,0.329,884
W ,Ronald Torreyes 3B | NYY,136,18,32,23,7,1,1,11,9,23,2,0,0.235,0.288,0.324,894
W ,Andres Blanco 3B | PHI ,88,12,24,13,8,1,2,9,6,19,1,0,0.273,0.333,0.455,897
W ,Shawn O'Malley RF | SEA,128,14,29,20,5,3,1,10,12,39,4,1,0.227,0.303,0.336,905
W ,Christian Colon 2B | KC,162,15,39,32,6,0,1,14,12,35,1,1,0.241,0.301,0.296,912
W ,Carlos Sanchez 2B | CHW,155,16,33,20,9,1,3,16,7,40,0,0,0.213,0.252,0.342,914
W ,Adam Frazier LF | PIT ,81,11,23,17,4,1,1,7,6,16,2,0,0.284,0.341,0.395,915
W ,Dilson Herrera 2B | CIN,96,10,23,16,4,1,2,9,9,22,3,0,0.240,0.311,0.365,916
W ,Josh Rutledge 3B | BOS ,98,13,25,18,6,0,1,9,8,36,1,0,0.255,0.318,0.347,926
W ,Chad Pinder 2B | OAK,121,12,28,19,6,0,3,11,8,30,0,0,0.231,0.285,0.355,935
W ,Charlie Culberson SS | LAD ,104,11,25,19,4,0,2,10,5,24,1,0,0.240,0.282,0.337,936
W ,Max Muncy RF | OAK ,136,17,26,17,5,0,4,11,18,36,0,0,0.191,0.286,0.316,938
W ,Andrew Romine 3B | DET ,90,10,20,16,2,1,1,7,5,22,4,0,0.222,0.278,0.300,947
W ,Taylor Motter LF | SEA,105,13,22,16,4,0,2,11,11,23,1,0,0.209,0.297,0.305,951
W ,Micah Johnson 2B | ATL ,109,13,23,18,4,0,1,8,9,29,3,1,0.211,0.283,0.275,958
W ,Wilmer Difo 2B | WAS ,71,11,17,13,3,0,1,6,6,15,2,0,0.239,0.299,0.324,959
