All Catchers   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
EVIL EMPIRE ,Salvador Perez C | KC,490,71,140,76,23,0,41,99,25,137,1,0,.286,.333,.584,28
W ,Riley Adams C | WAS,193,25,46,29,10,1,6,25,21,53,1,0,.238,.327,.394,728
W ,Austin Romine C | LAA ,267,27,58,42,9,0,7,30,18,83,1,0,.217,.272,.330,741
W ,Donny Sands C | PHI,162,21,39,24,8,0,7,23,16,45,1,0,.241,.319,.420,743
W ,Tomas Nido C | NYM,201,23,48,32,9,1,6,24,14,54,1,0,.239,.303,.383,755
W ,Patrick Mazeika C | NYM,195,23,46,30,9,1,6,24,19,51,1,0,.236,.315,.385,762
W ,Austin Allen C | OAK,199,21,44,27,9,0,8,23,17,58,1,0,.221,.291,.387,772
W ,Andrew Knizner C | STL,191,24,44,29,9,0,6,22,20,46,0,0,.230,.312,.372,792
W ,Dustin Garneau C | DET ,161,19,36,21,7,1,7,22,14,51,1,0,.224,.287,.410,793
W ,Cam Gallagher C | KC,197,23,48,32,11,0,5,21,17,49,0,0,.244,.307,.376,797
W ,Luke Maile C | CLE ,134,18,32,19,8,0,5,21,12,34,1,0,.239,.309,.410,803
W ,Jose Herrera C | ARI,165,19,39,24,9,1,5,21,16,45,1,0,.236,.310,.394,811
W ,Payton Henry C | MIA,161,17,39,24,9,0,6,18,15,48,1,0,.242,.317,.410,817
Disco Bush Horticulturists,Alex Jackson C | MIA,190,21,40,25,8,0,7,23,19,67,0,0,.210,.301,.363,819
W ,Anthony Bemboom C | BAL,163,19,36,24,6,0,6,20,14,52,1,0,.221,.286,.368,824
W ,Andrew Knapp C | CIN,193,21,42,28,7,1,6,22,20,60,0,0,.218,.301,.357,830
W ,Jason Castro C | HOU,127,17,30,17,7,0,6,17,15,38,0,0,.236,.319,.433,834
W ,Beau Taylor C | BAL ,162,18,35,22,7,0,6,20,14,50,1,0,.216,.289,.370,836
W ,Sebastian Rivero C | KC,163,17,37,25,7,0,5,21,13,44,1,0,.227,.290,.362,837
W ,Luis Campusano C | SD,126,15,29,18,6,0,5,16,12,36,0,0,.230,.305,.397,880
W ,Sandy Leon C | CLE,129,14,28,18,5,0,5,16,11,38,0,0,.217,.287,.372,902
W ,Jake Rogers C | DET ,32,4,7,5,1,0,1,5,3,10,0,0,.219,.286,.344,1070
W ,Diego Cartaya C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Trent Woodward C | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alex Murphy C | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Matt Whatley C | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Grant Koch C | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Deon Stafford C | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jose Duarte C | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Daniel Torres C | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Josh Rapacz C | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Cruz C | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ivan Herrera C | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Rodolfo Duran C | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Samuel Miranda C | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ernesto Liberatore C | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gustavo Polanco C | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
