All Third Basemen   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"J.D. Davis 3B  NYM "	310	43	83	54	18	1	10	43	40	90	2	0	.268	.366	.429	440
"Andy Ibanez 2B  TEX "	329	45	86	55	18	2	11	38	28	63	3	1	.261	.324	.429	445
"Drew Ellis 3B  ARI"	323	42	78	46	18	1	13	46	36	90	2	1	.241	.327	.424	451
"Yonny Hernandez 3B  TEX "	319	43	80	55	16	1	8	32	35	72	11	4	.251	.335	.382	452
"Brad Miller 1B  TEX "	255	37	63	36	10	2	15	40	30	75	2	0	.247	.330	.478	457
"Yolmer Sanchez 3B  BOS "	271	42	75	46	18	1	10	33	26	58	3	1	.277	.346	.461	461
"Carter Kieboom 3B  WAS "	411	53	94	65	16	1	12	45	43	116	1	0	.229	.313	.360	470
"Luis Guillorme 3B  NYM"	324	42	92	68	16	1	7	32	41	62	4	3	.284	.368	.404	473
"Jack Mayfield 3B  LAA"	264	34	67	39	16	1	11	42	21	64	4	1	.254	.316	.447	475
"Maikel Franco 3B  WAS "	335	37	81	49	21	0	11	51	28	60	1	0	.242	.303	.403	481
"Edmundo Sosa SS  STL"	257	39	74	53	11	2	8	29	19	51	4	3	.288	.353	.440	483
"Dylan Moore 2B  SEA"	250	32	55	33	11	2	9	32	24	74	15	4	.220	.305	.388	484
"Kelvin Gutierrez 3B  BAL"	393	42	96	65	16	4	11	42	33	109	1	0	.244	.310	.389	500
"Kevin Smith 3B  OAK "	334	40	79	51	16	2	10	35	26	84	6	2	.236	.298	.386	505
"Hoy Jun Park 2B  PIT "	319	41	78	50	16	3	9	37	32	78	4	2	.244	.318	.398	507
"Tyler Wade SS  LAA"	257	35	66	47	13	1	5	20	25	59	15	6	.257	.328	.373	510
"Josh VanMeter 2B  ARI"	328	36	81	51	20	2	8	39	32	82	4	2	.247	.317	.393	534
"Matt Beaty LF  LAD"	187	29	53	36	8	1	8	38	19	37	1	0	.283	.360	.465	542
"Jose Peraza 2B  NYY"	264	35	64	41	13	1	9	32	23	50	3	1	.242	.311	.402	560
"Jose Miranda 3B  MIN "	196	28	50	28	10	1	11	31	21	52	1	0	.255	.335	.485	567
"Jon Berti 3B  MIA "	187	31	48	31	10	1	6	21	23	47	8	3	.257	.347	.417	590
"Ehire Adrianza RF  WAS "	260	33	68	45	14	3	6	28	27	55	2	1	.262	.337	.408	609
"Travis Shaw 3B  BOS "	201	24	50	28	13	0	9	34	19	53	1	0	.249	.318	.448	619
"Matt Duffy 3B  LAA "	191	26	51	36	9	0	6	25	18	42	4	1	.267	.338	.408	628
