All Outfielders 2023  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Orange-a-Tangs,Ronald Acuna RF | ATL,643,149,217,137,35,4,41,106,80,84,73,14,.338,.416,.596,1
Los Cerveceros,Mookie Betts RF | LAD ,584,126,179,99,40,1,39,107,96,107,14,3,.306,.408,.579,4
Old Dirty Bugg,Corbin Carroll LF | ARI,565,116,161,96,30,10,25,76,57,125,54,5,.285,.361,.506,5
EVIL EMPIRE ,Julio Rodriguez CF | SEA,654,102,180,109,37,2,32,103,47,175,37,10,.275,.333,.485,8
EVIL EMPIRE ,Kyle Tucker RF | HOU ,574,97,163,92,37,5,29,112,80,92,30,5,.284,.369,.517,9
Floaters and Sinkers,Cody Bellinger CF | CHC ,499,95,153,97,29,1,26,97,40,87,20,6,.307,.356,.525,12
EVIL EMPIRE ,Juan Soto LF | NYY ,568,97,156,88,32,1,35,109,132,129,12,5,.275,.410,.519,14
User Abuser,Adolis Garcia RF | TEX ,555,108,136,68,29,0,39,107,65,175,9,1,.245,.328,.508,16
EVIL EMPIRE ,Luis Robert CF | CHW ,546,90,144,69,36,1,38,80,30,172,20,4,.264,.315,.542,18
Tittys Warriors,Lane Thomas RF | WAS,628,101,168,101,36,3,28,86,36,176,20,5,.268,.315,.468,21
Sofa Kings,Christian Yelich LF | MIL,550,106,153,99,34,1,19,76,78,140,28,3,.278,.370,.447,24
Floaters and Sinkers,Joshua Lowe RF | TB,466,71,136,81,33,2,20,83,31,124,32,3,.292,.335,.500,27
EVIL EMPIRE ,Fernando Tatis RF | SD ,575,91,148,89,33,1,25,78,53,141,29,4,.257,.322,.449,28
Orange-a-Tangs,Nick Castellanos RF | PHI,626,79,170,102,37,2,29,106,36,185,11,2,.272,.311,.476,32
Disco Bush Horticulturists,Randy Arozarena LF | TB,551,95,140,95,19,3,23,83,80,156,22,10,.254,.364,.425,34
Disco Bush Horticulturists,Kyle Schwarber LF | PHI,585,108,115,48,19,1,47,104,126,215,0,2,.197,.343,.473,35
Old Dirty Bugg,Yordan Alvarez DH | HOU ,410,77,120,64,24,1,31,97,69,92,0,0,.293,.407,.583,41
Orange-a-Tangs,Aaron Judge RF | NYY ,367,79,98,45,16,0,37,75,88,130,3,1,.267,.406,.613,48
User Abuser,Spencer Steer 1B | CIN ,582,74,158,95,37,3,23,86,68,139,15,3,.272,.356,.464,49
Whiteness,TJ Friedl CF | CIN,488,73,136,88,22,8,18,66,47,90,27,6,.279,.352,.467,51
