All Second Basemen 2023  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Eduardo Escobar 3B  TOR "	288	32	65	48	6	5	6	31	18	78	2	1	.226	.270	.344	550
"Jordan Westburg 2B  BAL "	208	26	54	32	17	2	3	23	16	56	4	1	.260	.311	.404	562
"Enmanuel Valdez 2B  BOS"	139	17	37	23	8	0	6	19	8	37	5	1	.266	.311	.453	567
"Nicky Lopez 2B  CHW"	225	32	52	40	8	3	1	25	26	40	6	2	.231	.326	.307	569
"Alan Trejo 2B  COL"	207	24	48	33	11	0	4	26	16	51	5	1	.232	.288	.343	576
"Zack Short 2B  NYM"	221	17	45	29	9	0	7	33	28	66	5	0	.204	.292	.339	588
"Dylan Moore LF  SEA"	145	18	30	13	9	1	7	19	16	56	7	3	.207	.303	.428	591
"Santiago Espinal 2B  TOR"	230	30	57	41	14	0	2	25	18	36	2	1	.248	.309	.335	593
"Miles Mastrobuoni 3B  CHC"	133	24	32	26	5	0	1	5	13	32	13	1	.241	.308	.301	604
"Jordan Diaz 3B  OAK"	272	20	60	41	9	0	10	27	17	69	0	1	.221	.273	.364	618
"Tyler Freeman 3B  CLE"	153	20	37	26	7	0	4	18	10	30	5	0	.242	.295	.366	619
"Harold Castro 2B  COL"	258	24	65	51	13	0	1	31	9	66	1	0	.252	.275	.314	624
"Casey Schmitt SS  SF "	253	28	52	32	15	0	5	30	13	65	2	1	.205	.256	.324	631
"Nick Maton 3B  BAL "	249	29	43	26	9	0	8	32	38	73	1	2	.173	.288	.305	647
"Christian Arroyo 2B  MIL "	195	23	47	28	16	0	3	24	7	45	1	3	.241	.268	.369	655
"Brendan Rodgers 2B  COL"	178	21	46	32	9	1	4	20	11	41	0	0	.258	.312	.388	658
"Rodolfo Castro 2B  PHI"	227	21	48	35	7	0	6	24	23	74	1	4	.211	.297	.322	682
"Aledmys Diaz SS  OAK"	315	25	72	47	20	1	4	24	17	66	1	0	.229	.280	.337	683
"Tucupita Marcano SS  SD "	202	16	47	30	12	2	3	18	10	35	5	2	.233	.277	.356	693
"Zach Remillard 2B  CHW"	147	16	37	29	7	0	1	18	8	48	4	3	.252	.295	.320	698
"Kolten Wong 2B  LAD"	224	25	41	31	6	0	4	27	18	53	3	2	.183	.256	.263	699
"Sam Haggerty LF  SEA"	91	13	23	18	3	1	1	5	15	17	10	1	.253	.364	.341	700
"Rougned Odor 2B  SD "	138	21	28	15	9	0	4	18	17	37	2	1	.203	.299	.355	712
"Andrew Velazquez SS  ATL"	81	12	14	9	3	0	2	3	10	30	13	3	.173	.264	.284	720
"Romy Gonzalez 2B  BOS "	93	11	18	9	4	2	3	14	2	36	7	0	.194	.208	.376	734
"Ronny Mauricio 2B  NYM "	101	11	25	19	4	0	2	9	7	31	7	0	.247	.296	.346	736
"Matthew Batten 3B  SD"	120	19	31	23	6	0	2	11	17	30	2	2	.258	.355	.358	737
"Jake Alu LF  WAS"	159	14	36	31	2	1	2	16	10	42	5	1	.226	.282	.289	745
"Matt Duffy 3B  TEX "	191	17	48	38	8	0	2	16	12	39	1	0	.251	.306	.325	756
"Xavier Edwards 2B  MIA "	78	12	23	20	3	0	0	3	3	14	5	0	.295	.329	.333	797
"Ernie Clement SS  TOR"	50	7	19	16	1	1	1	10	1	4	1	0	.380	.385	.500	798
"Nick Loftin 1B  KC"	62	10	20	14	5	1	0	10	4	12	2	0	.323	.368	.435	803
"Hanser Alberto 3B  CHW"	82	11	18	10	5	0	3	16	4	13	0	0	.220	.261	.390	808
"Luis Urias 2B  SEA "	144	18	28	19	6	0	3	18	21	41	0	0	.194	.337	.299	809
"Samad Taylor LF  SEA "	60	11	12	9	2	1	0	4	7	22	8	0	.200	.279	.267	815
"Lenyn Sosa 2B  CHW"	164	12	33	21	6	0	6	14	5	40	0	1	.201	.224	.348	838
