All Third Basemen 2023  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Elehuris Montero 1B | COL,284,40,69,41,15,2,11,39,15,111,0,0,.243,.290,.426,407
W ,Owen Miller 2B | MIL,291,29,76,54,17,0,5,27,17,61,13,2,.261,.302,.371,417
W ,Jace Peterson 3B | ARI,374,35,79,59,10,4,6,37,47,101,15,2,.211,.304,.307,431
W ,Edmundo Sosa 3B | PHI,279,34,70,43,15,2,10,30,8,74,4,2,.251,.293,.426,435
W ,Nick Madrigal 3B | CHC,270,34,71,52,16,1,2,28,10,24,10,2,.263,.311,.352,448
W ,Andruw Monasterio 3B | MIL,282,38,73,55,14,1,3,27,28,66,7,2,.259,.330,.347,460
W ,Brian Anderson 3B | MIL ,318,38,72,48,12,3,9,40,36,108,1,3,.226,.310,.368,462
W ,Jared Triolo 3B | PIT ,181,30,54,42,9,0,3,21,24,63,6,1,.298,.388,.398,482
W ,Kevin Newman 3B | ARI,225,28,57,38,16,0,3,28,17,34,8,1,.253,.311,.364,496
W ,Brett Baty 3B | NYM ,353,41,75,54,12,0,9,34,29,109,2,0,.212,.275,.323,498
W ,Garrett Hampson CF | KC,221,30,61,45,12,1,3,23,23,67,5,0,.276,.349,.380,504
W ,Oswaldo Cabrera LF | NYY ,298,35,63,47,11,0,5,29,25,72,8,0,.211,.275,.299,517
W ,Emmanuel Rivera 3B | ARI ,257,32,67,50,13,0,4,29,22,56,1,0,.261,.315,.358,522
W ,Ildemaro Vargas 3B | WAS,262,32,66,47,13,2,4,31,19,20,1,1,.252,.304,.363,531
W ,Gabriel Arias SS | CLE ,315,36,66,41,15,0,10,26,28,113,3,4,.209,.275,.352,534
W ,Evan Longoria 3B | ARI,211,25,47,27,9,0,11,28,23,73,0,0,.223,.295,.422,541
W ,Gio Urshela 3B | DET ,214,22,64,53,8,1,2,24,10,36,3,2,.299,.329,.374,543
W ,Eduardo Escobar 3B | TOR ,288,32,65,48,6,5,6,31,18,78,2,1,.226,.270,.344,550
W ,Jordan Westburg 2B | BAL ,208,26,54,32,17,2,3,23,16,56,4,1,.260,.311,.404,562
W ,Nicky Lopez 2B | CHW,225,32,52,40,8,3,1,25,26,40,6,2,.231,.326,.307,569
W ,Alan Trejo 2B | COL,207,24,48,33,11,0,4,26,16,51,5,1,.232,.288,.343,576
Los Cerveceros,Noelvi Marte 3B | CIN ,114,15,36,26,7,0,3,15,8,25,6,2,.316,.366,.456,584
W ,Zack Short 2B | NYM,221,17,45,29,9,0,7,33,28,66,5,0,.204,.292,.339,588
W ,Santiago Espinal 2B | TOR,230,30,57,41,14,0,2,25,18,36,2,1,.248,.309,.335,593
W ,Miles Mastrobuoni 3B | CHC,133,24,32,26,5,0,1,5,13,32,13,1,.241,.308,.301,604
W ,Jordan Diaz 3B | OAK,272,20,60,41,9,0,10,27,17,69,0,1,.221,.273,.364,618
W ,Tyler Freeman 3B | CLE,153,20,37,26,7,0,4,18,10,30,5,0,.242,.295,.366,619
Disco Bush Horticulturists,Casey Schmitt SS | SF ,253,28,52,32,15,0,5,30,13,65,2,1,.205,.256,.324,631
W ,Nick Maton 3B | BAL ,249,29,43,26,9,0,8,32,38,73,1,2,.173,.288,.305,647
W ,Josh Donaldson 3B | MIL,165,18,25,7,5,0,13,26,22,50,0,0,.151,.249,.418,653
W ,Mark Vientos DH | NYM,218,19,46,31,5,1,9,22,10,71,1,0,.211,.253,.367,659
W ,Anthony Rendon 3B | LAA ,148,23,35,27,6,0,2,22,25,27,2,0,.236,.361,.318,661
W ,Jean Segura 3B | CLE,301,25,66,56,5,2,3,21,22,47,6,2,.219,.277,.279,665
W ,Rodolfo Castro 2B | PHI,227,21,48,35,7,0,6,24,23,74,1,4,.211,.297,.322,682
W ,Aledmys Diaz SS | OAK,315,25,72,47,20,1,4,24,17,66,1,0,.229,.280,.337,683
W ,Zach Remillard 2B | CHW,147,16,37,29,7,0,1,18,8,48,4,3,.252,.295,.320,698
W ,Rougned Odor 2B | SD ,138,21,28,15,9,0,4,18,17,37,2,1,.203,.299,.355,712
W ,Josh H. Smith SS | TEX ,195,29,36,21,8,1,6,15,25,55,1,0,.185,.304,.328,723
W ,Ronny Mauricio 2B | NYM ,101,11,25,19,4,0,2,9,7,31,7,0,.247,.296,.346,736
W ,Matthew Batten 3B | SD,120,19,31,23,6,0,2,11,17,30,2,2,.258,.355,.358,737
W ,Jake Alu LF | WAS,159,14,36,31,2,1,2,16,10,42,5,1,.226,.282,.289,745
W ,Matt Duffy 3B | TEX ,191,17,48,38,8,0,2,16,12,39,1,0,.251,.306,.325,756
W ,Hanser Alberto 3B | CHW,82,11,18,10,5,0,3,16,4,13,0,0,.220,.261,.390,808
Floaters and Sinkers,Luis Urias 2B | SEA ,144,18,28,19,6,0,3,18,21,41,0,0,.194,.337,.299,809
W ,Lenyn Sosa 2B | CHW,164,12,33,21,6,0,6,14,5,40,0,1,.201,.224,.348,838
W ,Carter Kieboom 3B | WAS,87,12,18,12,2,0,4,11,6,27,0,0,.207,.266,.368,839
W ,Michael Chavis 2B | SEA,91,16,22,17,3,0,2,5,5,33,1,0,.242,.281,.341,843
W ,Kevin Smith SS | NYY,135,15,25,16,4,0,5,11,5,51,1,0,.185,.220,.326,845
W ,Oswald Peraza 3B | NYY,173,15,33,23,8,0,2,14,13,50,4,3,.191,.267,.272,856
W ,Osleivis Basabe SS | TB,87,15,19,13,5,0,1,12,6,25,0,1,.218,.277,.310,864
W ,Abraham Toro-Hernandez 3B | OAK,18,4,8,6,0,0,2,9,2,5,0,0,.444,.524,.778,876
W ,Jose Miranda 3B | MIN ,142,12,30,23,4,0,3,13,9,24,0,0,.211,.263,.303,894
W ,David Villar 2B | SF,124,15,18,7,6,0,5,12,11,45,1,1,.145,.236,.315,900
Orange-a-Tangs,Curtis Mead 3B | TB,83,12,21,16,3,1,1,5,7,21,0,0,.253,.326,.349,935
W ,Luis Guillorme 2B | ATL,107,12,24,16,6,1,1,9,10,28,0,0,.224,.288,.327,951
W ,Tyler Nevin 3B | BAL ,95,11,19,13,3,1,2,10,12,25,0,1,.200,.306,.316,953
W ,Hunter Dozier 3B | LAA ,82,8,15,10,2,1,2,9,8,29,2,0,.183,.253,.305,957
W ,Eguy Rosario 3B | SD,36,6,9,5,1,1,2,6,1,12,0,0,.250,.270,.500,964
