All First Basemen 2023  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Jurickson Profar LF | SD ,459,55,111,73,27,2,9,46,50,90,1,0,.242,.321,.368,358
Dirty Pujols,Alex Kirilloff 1B | MIN ,281,35,76,50,14,1,11,41,28,80,1,0,.271,.348,.445,371
W ,Seth Brown RF | OAK,343,33,76,42,19,1,14,52,30,101,3,1,.222,.286,.405,382
Disco Bush Horticulturists,Anthony Rizzo 1B | NYY,373,45,91,65,14,0,12,41,35,97,0,3,.244,.328,.378,384
EVIL EMPIRE ,Christian Encarnacion-Strand 1B | CIN ,222,29,60,40,7,0,13,37,14,69,2,0,.270,.328,.477,385
W ,Ramon Urias 3B | BAL,360,45,95,66,22,3,4,42,27,101,3,1,.264,.328,.375,391
W ,Donovan Solano 1B | MIN,394,43,111,79,26,1,5,38,40,100,0,0,.282,.369,.391,394
W ,Joey Gallo LF | WAS ,282,39,50,19,9,1,21,40,48,142,1,1,.177,.301,.440,397
Tittys Warriors,C.J. Cron 1B | LAA,258,38,64,40,12,0,12,37,17,65,0,0,.248,.295,.434,402
W ,Elehuris Montero 1B | COL,284,40,69,41,15,2,11,39,15,111,0,0,.243,.290,.426,407
W ,Owen Miller 2B | MIL,291,29,76,54,17,0,5,27,17,61,13,2,.261,.302,.371,417
W ,Mike Ford DH | SEA ,219,32,50,28,6,0,16,34,24,81,0,0,.228,.323,.475,422
W ,Alec Burleson LF | STL,315,34,77,48,20,1,8,36,23,45,3,1,.244,.300,.391,453
W ,Rowdy Tellez 1B | PIT,311,26,67,44,9,1,13,47,35,86,0,0,.215,.291,.376,473
W ,Jared Triolo 3B | PIT ,181,30,54,42,9,0,3,21,24,63,6,1,.298,.388,.398,482
EVIL EMPIRE ,Joey Votto 1B | CIN,208,26,42,22,6,0,14,38,27,62,0,0,.202,.314,.433,487
Whiteness,Kris Bryant RF | COL ,300,36,70,50,10,0,10,31,29,68,0,0,.233,.313,.367,492
W ,Kevin Newman 3B | ARI,225,28,57,38,16,0,3,28,17,34,8,1,.253,.311,.364,496
W ,Jake Bauers RF | MIL,242,28,49,22,15,0,12,30,27,95,3,2,.203,.279,.413,509
W ,Nick Pratto 1B | KC,306,33,71,48,16,0,7,35,29,138,1,1,.232,.307,.353,513
W ,Emmanuel Rivera 3B | ARI ,257,32,67,50,13,0,4,29,22,56,1,0,.261,.315,.358,522
W ,Yasmani Grandal C | PIT ,363,33,85,63,14,0,8,33,36,86,0,0,.234,.309,.339,533
W ,Gabriel Arias SS | CLE ,315,36,66,41,15,0,10,26,28,113,3,4,.209,.275,.352,534
W ,Yuli Gurriel 1B | MIA,298,32,73,50,16,3,4,27,26,44,4,0,.245,.304,.359,535
W ,Gio Urshela 3B | DET ,214,22,64,53,8,1,2,24,10,36,3,2,.299,.329,.374,543
W ,Miguel Vargas 2B | LAD ,256,36,50,24,15,4,7,32,38,61,3,2,.195,.305,.367,546
EVIL EMPIRE ,Vinnie Pasquantino 1B | KC ,231,24,57,31,17,0,9,26,25,31,0,0,.247,.324,.437,549
W ,Eduardo Escobar 3B | TOR ,288,32,65,48,6,5,6,31,18,78,2,1,.226,.270,.344,550
W ,Gavin Sheets RF | CHW,311,24,63,43,10,0,10,43,28,66,1,0,.203,.267,.331,551
W ,Christian Vazquez C | MIN ,327,34,73,54,13,0,6,32,25,82,1,0,.223,.280,.318,564
W ,Trey Mancini 1B | MIA ,235,31,55,39,12,0,4,28,21,78,0,0,.234,.299,.336,596
W ,Pavin Smith RF | ARI,191,26,36,24,5,0,7,30,35,45,1,1,.189,.317,.325,617
