All Catchers 2023  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Garrett Stubbs C | PHI,113,15,23,17,4,1,1,12,9,29,2,0,.203,.274,.283,860
W ,Jacob Stallings C | COL,241,22,46,29,14,0,3,20,27,67,0,0,.191,.278,.286,863
W ,Carson Kelly C | DET,136,13,28,21,5,0,2,13,14,40,1,0,.206,.278,.287,889
W ,Sam Huff C | TEX ,43,5,11,6,2,0,3,6,2,17,0,0,.256,.289,.512,938
W ,Jose Herrera C | ARI,101,15,21,16,5,0,0,7,13,30,1,0,.208,.296,.257,972
W ,Austin Wynns C | CIN,130,11,27,20,6,0,1,10,9,39,1,0,.208,.268,.277,990
W ,Omar Narvaez C | NYM,128,12,27,20,5,0,2,7,14,27,0,0,.211,.283,.297,1000
W ,Mike Zunino C | CLE,124,11,22,12,7,0,3,11,15,61,0,0,.177,.271,.306,1007
W ,Austin Barnes C | LAD,178,15,32,25,5,0,2,11,17,43,2,1,.180,.256,.242,1010
W ,Austin Hedges C | CLE,185,14,34,28,5,0,1,16,11,47,1,0,.184,.234,.227,1032
W ,Ivan Herrera C | STL,37,6,11,9,2,0,0,4,5,11,0,0,.297,.409,.351,1042
W ,Drew Millas C | WAS,28,1,8,5,2,0,1,6,4,5,0,0,.286,.375,.464,1075
W ,Tucker Barnhart C | ARI,109,6,22,18,3,0,1,9,12,42,1,0,.202,.285,.257,1094
W ,Brett Sullivan C | SD,81,7,17,13,3,0,1,6,4,19,0,0,.210,.244,.284,1103
W ,Tyler Heineman C | BOS ,38,5,9,7,1,1,0,3,8,8,1,0,.237,.383,.316,1106
Disco Bush Horticulturists,Joey Bart C | SF ,87,9,18,13,5,0,0,5,3,23,0,0,.207,.263,.264,1139
W ,Logan Porter C | KC,31,4,6,4,1,0,1,3,5,11,0,0,.194,.324,.323,1145
W ,Carlos Perez C | CHW,49,5,10,5,4,0,1,3,4,11,0,0,.204,.264,.347,1147
Orange-a-Tangs,Tyler Soderstrom C | OAK,125,9,20,16,1,0,3,7,11,43,0,0,.160,.232,.240,1177
W ,Manny Pina C | OAK,12,1,3,2,0,0,1,1,0,3,0,0,.250,.250,.500,1183
W ,Luis Torrens DH | NYY ,28,1,7,4,3,0,0,4,1,9,0,0,.250,.300,.357,1189
W ,Michael Perez C | BAL,8,1,4,3,1,0,0,0,0,1,0,0,.500,.500,.625,1196
W ,Curt Casali C | MIA ,80,8,14,12,2,0,0,6,11,23,0,0,.175,.290,.200,1204
W ,Zack Collins C | CLE,4,0,2,2,0,0,0,0,2,2,0,0,.500,.667,.500,1243
W ,Sandy Leon C | KC,41,4,6,4,2,0,0,4,1,20,0,0,.146,.186,.195,1261
W ,Ben Rortvedt C | NYY,68,6,8,5,1,0,2,4,11,19,0,0,.118,.240,.221,1272
W ,Tyler Cropley C | KC,6,0,1,1,0,0,0,1,0,2,0,0,.167,.143,.167,1275
W ,Mark Kolozsvary C | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1277
W ,Jorge Alfaro DH | CHC,48,2,7,2,4,0,1,4,2,15,0,0,.146,.211,.292,1278
W ,Chandler Seagle C | SD,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1290
W ,Tres Barrera C | STL,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1298
W ,Chris Okey C | LAD,2,0,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,1298
W ,Meibrys Viloria C | CLE,3,0,0,0,0,0,0,0,1,0,0,0,.000,.250,.000,1305
W ,Chadwick Tromp C | ATL,16,1,2,1,1,0,0,1,0,7,0,0,.125,.125,.188,1309
W ,Anthony Bemboom C | DET,11,0,2,2,0,0,0,0,2,2,0,0,.182,.308,.182,1311
W ,Caleb Hamilton C | LAA ,5,0,0,0,0,0,0,0,1,5,0,0,.000,.167,.000,1326
W ,Roberto Perez C | BOS,15,0,2,2,0,0,0,1,2,6,0,0,.133,.235,.133,1327
