All Shortstops 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Cedeno, Ronny SS PIT 	-	Free Agent	413	43	103	73	25	3	2	32	30	93	2	5	0.2494	0.2969	0.3390	662
Seager, Kyle 3B SEA	-	Free Agent	182	22	47	31	13	0	3	13	13	36	3	1	0.2582	0.3116	0.3791	665
d'Arnaud, Chase SS PIT	-	Free Agent	143	17	31	23	6	2	0	6	4	36	12	2	0.2168	0.2416	0.2867	678
Tejada, Miguel 3B SF	-	Free Agent	322	28	77	57	16	0	4	26	12	35	4	4	0.2391	0.2698	0.3261	686
Fontenot, Mike SS SF 	-	Free Agent	220	22	50	28	15	3	4	21	25	48	5	1	0.2273	0.3040	0.3773	698
Sanchez, Angel SS HOU	-	Free Agent	288	35	69	58	10	0	1	28	27	44	3	0	0.2396	0.3050	0.2847	699
McCoy, Mike SS TOR	-	Free Agent	197	26	39	29	8	0	2	10	25	41	12	2	0.1980	0.2915	0.2690	703
Herrera, Jonathan 2B COL	-	Free Agent	281	28	68	59	5	1	3	14	28	40	4	4	0.2420	0.3129	0.2989	714
Wilson, Jack 2B ATL	-	Free Agent	214	25	52	43	9	0	0	11	10	39	5	2	0.2430	0.2743	0.2850	724
Burriss, Emmanuel 2B SF 	-	Free Agent	137	14	28	27	1	0	0	4	6	17	11	3	0.2044	0.2534	0.2117	730
Johnson, Elliot SS TB	-	Free Agent	160	20	31	18	7	2	4	17	14	53	6	7	0.1938	0.2571	0.3375	746
Wood, Brandon 3B PIT	-	Free Agent	250	26	54	37	10	0	7	31	19	73	0	0	0.2160	0.2704	0.3400	764
Cozart, Zack SS CIN 	-	Free Agent	37	6	12	10	0	0	2	3	0	6	0	0	0.3243	0.3243	0.4865	767
Ciriaco, Pedro SS BOS 	-	Free Agent	33	4	10	7	2	1	0	6	1	6	2	1	0.3030	0.3235	0.4242	776
McDonald, John SS ARI	-	Free Agent	227	21	52	39	10	1	2	22	12	27	2	4	0.2291	0.2686	0.3084	803
Vizquel, Omar 3B CHW	-	Free Agent	167	18	42	34	7	1	0	8	9	18	1	2	0.2515	0.2865	0.3054	829
