All Outfielders 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Jackson, Conor LF BOS	-	Free Agent	352	32	86	63	17	1	5	43	32	53	3	1	0.2443	0.3103	0.3409	577
Alonso, Yonder LF SD 	-	Blue Crew	88	9	29	20	4	0	5	15	10	21	0	0	0.3295	0.3980	0.5455	582
Nady, Xavier 1B ARI	-	Free Agent	206	26	51	36	11	0	4	35	10	46	2	0	0.2476	0.2870	0.3592	587
DeWitt, Blake LF CHC	-	Free Agent	230	21	61	41	11	4	5	26	12	31	1	0	0.2652	0.3045	0.4130	593
Greene, Tyler 2B STL	-	Free Agent	104	22	22	16	5	0	1	11	13	31	11	0	0.2115	0.3223	0.2885	596
Harris, Willie CF NYM	-	Free Agent	240	36	59	46	11	0	2	23	36	62	5	4	0.2458	0.3511	0.3167	597
Carrera, Ezequiel LF CLE	-	Free Agent	202	27	49	38	8	3	0	14	16	35	10	5	0.2426	0.3014	0.3119	601
Petersen, Bryan RF MIA	-	Free Agent	204	18	54	36	13	3	2	10	26	49	7	1	0.2647	0.3571	0.3873	604
Pridie, Jason LF NYM	-	Free Agent	208	28	48	30	11	3	4	20	24	64	7	1	0.2308	0.3090	0.3702	610
Coghlan, Chris LF MIA	-	Free Agent	269	33	62	36	20	1	5	22	22	49	7	6	0.2305	0.2963	0.3680	613
Sands, Jerry RF LAD 	-	Free Agent	198	20	50	31	15	0	4	26	25	51	3	3	0.2525	0.3378	0.3889	616
McDonald, Darnell RF BOS	-	Free Agent	157	26	37	24	6	1	6	24	14	33	2	3	0.2357	0.3029	0.4013	620
Brown, Domonic RF PHI	-	Floaters and Sinkers	184	28	45	29	10	1	5	19	25	35	3	1	0.2446	0.3333	0.3913	621
Sweeney, Ryan RF BOS 	-	Free Agent	264	34	70	55	11	3	1	25	33	48	1	1	0.2652	0.3456	0.3409	628
Hairston, Scott LF NYM 	-	Free Agent	132	20	31	15	8	1	7	24	11	34	1	1	0.2348	0.3034	0.4697	636
Evans, Nick 1B PIT 	-	Free Agent	176	26	45	29	10	2	4	25	15	48	0	1	0.2557	0.3144	0.4034	645
Blanks, Kyle RF SD	-	Free Agent	170	21	39	24	7	1	7	26	16	51	2	0	0.2294	0.3000	0.4059	647
Hinske, Eric RF ATL	-	Free Agent	236	24	55	35	10	0	10	28	26	71	0	1	0.2331	0.3106	0.4025	653
Dyson, Jarrod CF KC	-	Free Agent	44	8	9	8	1	0	0	3	7	14	11	1	0.2045	0.3077	0.2273	659
Belt, Brandon LF SF 	-	Disco Bush Horticulturists	187	21	42	26	6	1	9	18	20	57	3	2	0.2246	0.3062	0.4118	660
Sizemore, Grady CF CLE 	-	Free Agent	268	34	60	28	21	1	10	32	18	85	0	2	0.2239	0.2847	0.4216	661
Baker, Jeff 1B CHC	-	Free Agent	201	20	54	38	12	1	3	23	10	46	0	0	0.2687	0.3019	0.3831	663
Borbon, Julio CF TEX	-	Free Agent	89	10	24	20	1	3	0	11	3	9	6	2	0.2697	0.3053	0.3483	668
Diaz, Matt RF ATL	-	Free Agent	251	16	66	52	13	1	0	20	12	52	5	2	0.2629	0.3022	0.3227	669
Trout, Mike CF LAA	-	Disco Bush Horticulturists	123	20	27	16	6	0	5	16	9	30	4	0	0.2195	0.2815	0.3902	674
Repko, Jason CF MIN	-	Free Agent	133	21	30	26	2	0	2	11	6	38	7	2	0.2256	0.2695	0.2857	675
Gutierrez, Franklin CF SEA	-	Free Agent	322	26	72	58	13	0	1	19	16	56	13	2	0.2236	0.2610	0.2733	680
Angle, Matt LF BAL	-	Free Agent	79	12	14	9	4	0	1	7	12	13	11	1	0.1772	0.2935	0.2658	681
Ford, Darren CF SEA	-	Free Agent	14	7	4	4	0	0	0	0	1	5	7	5	0.2857	0.3750	0.2857	693
Scott, Luke LF BAL 	-	Blue Crew	209	24	46	26	11	0	9	22	24	54	1	1	0.2201	0.3008	0.4019	700
McCoy, Mike SS TOR	-	Free Agent	197	26	39	29	8	0	2	10	25	41	12	2	0.1980	0.2915	0.2690	703
Blackmon, Charlie OF COL	-	Free Agent	98	9	25	23	1	0	1	8	3	8	5	1	0.2551	0.2772	0.2959	707
Dickerson, Chris LF NYY	-	Free Agent	50	9	13	10	2	0	1	7	2	17	4	0	0.2600	0.2963	0.3600	709
McLouth, Nate CF PIT 	-	Free Agent	267	35	61	43	12	2	4	16	44	52	4	2	0.2285	0.3439	0.3333	716
Ruggiano, Justin LF TB	-	Free Agent	105	11	26	18	4	0	4	13	4	26	1	1	0.2476	0.2727	0.4000	719
Burrell, Pat LF SF	-	Free Agent	183	17	42	25	9	1	7	21	33	67	0	0	0.2295	0.3516	0.4044	722
Oeltjen, Trent RF LAD	-	Free Agent	71	10	14	10	1	1	2	6	13	30	6	0	0.1972	0.3218	0.3239	734
Halman, Greg RF SEA	-	Free Agent	87	7	20	15	2	1	2	6	2	32	5	1	0.2299	0.2556	0.3448	741
Bradley, Milton LF SEA	-	Free Agent	101	12	22	13	6	1	2	13	13	31	4	0	0.2178	0.3130	0.3564	744
Patterson, Eric LF SD 	-	Free Agent	89	8	16	11	2	1	2	8	12	22	8	2	0.1798	0.2718	0.2921	750
Dinkelman, Brian 2B MIN	-	Free Agent	73	5	22	21	1	0	0	4	4	14	2	0	0.3014	0.3462	0.3151	756
Cowgill, Collin RF OAK 	-	Free Agent	92	8	22	18	3	0	1	9	8	28	4	2	0.2391	0.3000	0.3043	757
Lewis, Fred LF CIN	-	Free Agent	183	20	42	32	7	0	3	19	22	38	2	5	0.2295	0.3206	0.3169	758
LaHair, Bryan RF CHC 	-	Free Agent	59	9	17	9	5	1	2	6	9	18	0	0	0.2881	0.3768	0.5085	760
Cameron, Mike CF WAS 	-	Free Agent	237	27	48	29	10	0	9	27	28	59	1	0	0.2025	0.2846	0.3586	766
Wise, Dewayne LF TOR 	-	Free Agent	99	10	20	15	2	1	2	7	3	36	6	2	0.2020	0.2308	0.3030	775
Rowand, Aaron CF SF 	-	Free Agent	331	34	77	49	22	2	4	21	10	84	2	3	0.2326	0.2735	0.3474	777
Christian, Justin LF SF	-	Free Agent	47	6	12	7	5	0	0	4	2	8	3	2	0.2553	0.2857	0.3617	789
Shuck, J.B. CF HOU	-	Free Agent	81	9	22	19	2	1	0	3	11	7	2	0	0.2716	0.3587	0.3210	790
Buck, Travis RF HOU	-	Free Agent	149	18	34	21	11	0	2	18	8	30	1	1	0.2282	0.2750	0.3423	791
Hawpe, Brad 1B SD 	-	Free Agent	195	19	45	31	10	0	4	19	19	68	0	0	0.2308	0.3009	0.3436	801
Viciedo, Dayan RF CHW 	-	Free Agent	102	11	26	22	3	0	1	6	9	23	1	0	0.2549	0.3274	0.3137	808
Crowe, Trevor LF CLE 	-	Free Agent	28	6	6	5	1	0	0	2	4	9	3	0	0.2143	0.3125	0.2500	822
Fox, Jake C PIT	-	Free Agent	61	8	15	8	4	1	2	6	4	8	0	0	0.2459	0.3134	0.4426	827
Maier, Mitch CF KC	-	Free Agent	95	19	22	15	4	3	0	7	16	32	1	0	0.2316	0.3451	0.3368	841
Spilborghs, Ryan LF COL 	-	Free Agent	200	22	42	30	8	1	3	22	19	49	2	2	0.2100	0.2825	0.3050	849
Gillespie, Cole LF ARI	-	Free Agent	6	2	2	1	0	0	1	4	1	1	0	0	0.3333	0.4286	0.8333	854
Tosoni, Rene RF MIN	-	Free Agent	172	20	35	22	7	1	5	22	14	42	0	2	0.2035	0.2751	0.3430	856
Richardson, Antoan CF ATL 	-	Free Agent	4	2	2	2	0	0	0	0	0	0	1	0	0.5000	0.5000	0.5000	861
Peguero, Carlos RF SEA 	-	Free Agent	143	14	28	17	3	2	6	19	8	54	0	1	0.1958	0.2516	0.3706	863
Chambers, Adron CF STL	-	Free Agent	8	2	3	2	0	1	0	4	0	1	0	0	0.3750	0.3750	0.6250	872
Boggs, Brandon LF PIT	-	Free Agent	19	4	3	1	0	0	2	2	3	8	1	0	0.1579	0.2727	0.4737	874
