All Second Basemen 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Kennedy, Adam 1B LAD 	-	Free Agent	380	36	89	58	23	1	7	38	22	67	8	2	0.2342	0.2765	0.3553	531
Sanchez, Freddy 2B SF 	-	Disco Bush Horticulturists	239	21	69	50	15	1	3	24	13	35	0	1	0.2887	0.3320	0.3975	560
Santiago, Ramon 2B DET 	-	Free Agent	258	29	67	48	11	3	5	30	17	38	0	0	0.2597	0.3110	0.3837	590
Donald, Jason 2B CLE	-	Free Agent	132	13	42	34	6	1	1	8	7	35	3	2	0.3182	0.3636	0.4015	591
DeWitt, Blake LF CHC	-	Free Agent	230	21	61	41	11	4	5	26	12	31	1	0	0.2652	0.3045	0.4130	593
Greene, Tyler 2B STL	-	Free Agent	104	22	22	16	5	0	1	11	13	31	11	0	0.2115	0.3223	0.2885	596
Harris, Willie CF NYM	-	Free Agent	240	36	59	46	11	0	2	23	36	62	5	4	0.2458	0.3511	0.3167	597
Descalso, Daniel 3B STL	-	Free Agent	326	35	86	62	20	3	1	28	33	65	2	2	0.2638	0.3342	0.3528	602
Valdez, Wilson 2B PHI	-	Free Agent	273	39	68	49	14	4	1	30	18	41	3	3	0.2491	0.2935	0.3407	618
Harrison, Josh 3B PIT	-	Free Agent	195	21	53	37	13	2	1	16	3	24	4	1	0.2718	0.2814	0.3744	624
Giavotella, Johnny 2B KC 	-	Free Agent	178	20	44	29	9	4	2	21	6	32	5	2	0.2472	0.2727	0.3764	649
Punto, Nick 2B BOS 	-	Free Agent	133	21	37	24	8	4	1	20	25	21	1	1	0.2782	0.3875	0.4211	654
Baker, Jeff 1B CHC	-	Free Agent	201	20	54	38	12	1	3	23	10	46	0	0	0.2687	0.3019	0.3831	663
Nelson, Chris 2B COL	-	Free Agent	180	20	45	30	10	1	4	16	7	35	3	1	0.2500	0.2804	0.3833	670
Hughes, Luke 2B MIN	-	Free Agent	287	31	64	45	12	0	7	30	24	79	3	2	0.2230	0.2889	0.3380	684
Roberts, Brian 2B BAL 	-	Titty`s Warriors	163	18	36	25	7	1	3	19	12	21	6	1	0.2209	0.2727	0.3313	691
Fontenot, Mike SS SF 	-	Free Agent	220	22	50	28	15	3	4	21	25	48	5	1	0.2273	0.3040	0.3773	698
Sanchez, Angel SS HOU	-	Free Agent	288	35	69	58	10	0	1	28	27	44	3	0	0.2396	0.3050	0.2847	699
McCoy, Mike SS TOR	-	Free Agent	197	26	39	29	8	0	2	10	25	41	12	2	0.1980	0.2915	0.2690	703
Herrera, Jonathan 2B COL	-	Free Agent	281	28	68	59	5	1	3	14	28	40	4	4	0.2420	0.3129	0.2989	714
Wilson, Jack 2B ATL	-	Free Agent	214	25	52	43	9	0	0	11	10	39	5	2	0.2430	0.2743	0.2850	724
Burriss, Emmanuel 2B SF 	-	Free Agent	137	14	28	27	1	0	0	4	6	17	11	3	0.2044	0.2534	0.2117	730
Lopez, Jose 3B CLE 	-	Free Agent	231	23	50	30	12	0	8	21	7	28	2	0	0.2165	0.2448	0.3723	731
Johnson, Elliot SS TB	-	Free Agent	160	20	31	18	7	2	4	17	14	53	6	7	0.1938	0.2571	0.3375	746
