All Starting Pitchers 2011 MLB Standard Stats																
Player	Action	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
West, Sean SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1048
Pope, Ryan SP NYY	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1052
French, Luke SP SEA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1060
Cofield, Kyle SP CHW	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1062
Spoone, Chorye SP BOS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1065
Wainwright, Adam SP STL 	-	Shits & Giggles	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1067
Cabrera, Alberto SP CHC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1070
Poveda, Omar SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1072
Scarpetta, Cody SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1073
Riordan, Cory SP COL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1074
Webb, Brandon SP TEX 	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1075
Robles, Mauricio SP SEA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1076
Guerra, Deolis SP MIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1077
Rivas, Amaury SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1079
Duchscherer, Justin SP BAL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1082
Peralta, Wily SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1085
Erbe, Brandon SP BAL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1086
Alderson, Tim SP PIT	-	Shits & Giggles	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1091
Rondon, Hector SP CLE 	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1092
De La Cruz, Kelvin SP CLE	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1093
Marek, Stephen SP ATL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1095
Penny, Brad SP DET	-	Free Agent	181.7	31	13	0	11	11	0	0	74	62	222	5.301	1.5633	1154
Maya, Yunesky SP WAS	-	Free Agent	32.7	5	1	0	1	1	0	0	15	10	40	5.235	1.5306	1158
Reineke, Chad SP CIN	-	Free Agent	6.7	1	0	0	0	1	0	0	3	6	5	6.750	1.6500	1208
Betances, Dellin SP NYY	-	Free Agent	2.7	1	0	0	0	0	0	0	2	6	1	6.750	2.6250	1217
Hendriks, Liam SP MIN 	-	Free Agent	23.3	4	1	0	0	2	0	0	16	6	29	6.171	1.5000	1235
Galarraga, Armando SP ARI	-	Free Agent	42.7	8	2	0	3	4	0	0	28	22	47	5.906	1.6172	1238
McGowan, Dustin SP TOR 	-	Free Agent	21.0	4	0	0	0	2	0	0	20	13	20	6.429	1.5714	1248
Johnson, Alan SP COL	-	Free Agent	4.0	1	0	0	0	0	0	0	3	3	6	9.000	2.2500	1261
Tillman, Chris SP BAL	-	Free Agent	62.0	13	4	0	3	5	0	0	46	25	77	5.516	1.6452	1263
Chatwood, Tyler SP COL 	-	Free Agent	142.0	25	9	0	6	11	0	0	74	71	166	4.753	1.6690	1266
Bergesen, Brad SP BAL	-	Free Agent	101.0	12	3	1	2	7	0	0	61	32	119	5.703	1.4950	1289
Oliver, Andrew SP DET	-	Free Agent	9.7	2	1	0	0	1	0	0	5	8	11	6.517	1.9655	1294
Duffy, Danny SP KC	-	Free Agent	105.3	20	8	0	4	8	0	0	87	51	119	5.639	1.6139	1297
Reyes, Jo-Jo SP PIT 	-	Free Agent	140.7	25	8	1	7	11	0	0	87	48	176	5.566	1.5924	1299
Surkamp, Eric SP SF	-	Free Agent	26.7	6	1	0	2	2	0	0	13	17	32	5.737	1.8375	1314
Diamond, Scott SP MIN	-	Free Agent	39.0	7	3	0	1	5	0	0	19	17	51	5.077	1.7436	1320
McAllister, Zach SP CLE	-	Free Agent	17.7	4	0	0	0	1	0	0	14	7	26	6.113	1.8679	1321
Turner, Jacob SP DET 	-	Free Agent	12.7	3	0	0	0	1	0	0	8	4	17	8.526	1.6579	1329
Miller, Andrew SP BOS 	-	Free Agent	65.0	12	3	0	6	3	0	0	50	41	77	5.538	1.8154	1331
Kazmir, Scott SP LAA	-	Free Agent	1.7	1	0	0	0	0	0	0	0	2	5	27.000	4.2000	1340
Stewart, Zach SP CHW	-	Free Agent	67.3	11	5	1	2	6	0	0	45	18	90	5.881	1.6040	1345
Slowey, Kevin SP COL 	-	Free Agent	59.3	8	2	0	0	8	0	0	34	5	78	6.674	1.3989	1346
Locke, Jeff SP PIT	-	Free Agent	16.7	4	0	0	0	3	0	0	5	10	21	6.480	1.8600	1347
Villanueva, Elih SP MIA 	-	Free Agent	3.0	1	0	0	0	1	0	0	2	5	5	24.000	3.3333	1367
Jakubauskas, Chris SP BAL	-	Free Agent	72.3	6	0	0	2	2	0	0	52	29	93	5.723	1.6866	1368
Weiland, Kyle SP HOU 	-	Free Agent	24.7	5	1	0	0	3	0	0	13	12	29	7.662	1.6622	1371
White, Alex SP COL	-	Free Agent	51.3	10	2	0	3	4	0	0	37	25	62	7.013	1.6948	1383
Lackey, John SP BOS 	-	Free Agent	160.0	28	9	0	12	12	0	0	108	56	203	6.412	1.6187	1387
Enright, Barry SP ARI	-	Free Agent	37.7	7	1	0	1	4	0	0	21	15	50	7.407	1.7257	1389
Davis, Doug SP CHW	-	Free Agent	45.7	9	2	0	1	7	0	0	36	26	59	6.504	1.8613	1390
Mazzaro, Vin SP KC	-	Free Agent	28.3	4	2	0	1	1	0	0	10	15	39	8.259	1.9059	1392
Drabek, Kyle SP TOR 	-	Free Agent	78.7	14	6	0	4	5	0	0	51	55	87	6.064	1.8051	1393
Coleman, Casey SP CHC	-	Free Agent	84.3	17	4	0	3	9	0	0	75	46	102	6.403	1.7549	1394
Cook, Aaron SP COL	-	Free Agent	97.0	17	5	0	3	10	0	0	48	37	127	6.031	1.6907	1397
Davies, Kyle SP KC	-	Free Agent	61.3	13	4	0	1	9	0	0	50	26	84	6.750	1.7935	1398
Vasquez, Anthony SP SEA	-	Free Agent	29.3	7	1	0	1	6	0	0	13	10	46	8.898	1.9091	1399
Ohlendorf, Ross SP PIT 	-	Free Agent	38.7	9	1	0	1	3	0	0	27	15	60	8.147	1.9397	1400
Talbot, Mitch SP CLE 	-	Free Agent	63.7	12	4	0	2	6	0	0	36	28	90	6.644	1.8534	1401
Figueroa, Nelson SP HOU	-	Free Agent	29.0	5	1	0	0	3	0	0	17	16	45	8.690	2.1034	1402
O'Sullivan, Sean SP KC	-	Free Agent	58.3	10	3	0	2	6	0	1	19	26	78	7.251	1.7829	1403
Rogers, Esmil SP COL	-	Free Agent	83.0	13	3	0	6	6	0	0	63	47	110	7.048	1.8916	1404
Matusz, Brian SP BAL 	-	Free Agent	49.7	12	0	0	1	9	0	0	38	24	81	10.691	2.1141	1405
Bannister, John SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1420
May, Trevor SP PHI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1434
Wall, Josh SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1442
Inman, Will SP BOS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1461
Selik, Cameron SP WAS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1466
Shearn, Tom SP CIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1483
Merklinger, Dan SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1492
Denney, Kyle SP WAS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1493
Jungmann, Taylor SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1514
Petit, Yusmeiro SP SEA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1522
Martin, Ethan SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1526
Gassner, Dave SP MIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1537
Tollberg, Brian SP SD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1546
Scheppers, Tanner SP TEX 	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1565
Barnes, Scott SP CLE	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1577
Baxter, Allen SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1586
Ynoa, Michael SP OAK	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1590
Durbin, J.D. SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1602
Banuelos, Manuel SP NYY	-	Disco Bush Horticulturists	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1608
Santos, Jarrett SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1631
Nin, Sandy SP COL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1644
Glen, Willie SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1655
Acosta, Kelyn SP SF	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1662
Bullington, Bryan SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1672
Snow, Forrest SP SEA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1677
Klinker, Matt SP CIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1681
Sowers, Jeremy SP CLE	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1685
Bloom, Kyle SP PIT	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1687
Bradley, Archie SP ARI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1696
Ginley, Kyle SP TOR	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1700
Savage, Will SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1702
Harben, Adam SP CHC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1711
Gutierrez, Danny SP TEX	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1713
Foppert, Jesse SP SF	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1714
Leesman, Charlie SP CHW	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1728
Wells, Kip SP CIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1741
Herrera, Yoslan SP MIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1745
Leicester, Jon SP BAL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1748
Perrault, Josh M. SP BAL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1760
Suppan, Jeff SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1765
Kinney, Matt SP SF	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1777
Keisler, Randy SP MIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1788
Ponson, Sidney SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1791
Walker, Taijuan SP SEA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1793
Vega, Marwin SP SEA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1798
Duckworth, Brandon SP BOS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1804
Taillon, Jameson SP PIT	-	Disco Bush Horticulturists	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1813
Fife, Stephen SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1834
McGuire, Deck SP TOR	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1846
Cosart, Jarred SP HOU	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1848
Hernandez, Gaby SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1866
Looper, Braden SP CHC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1878
Wieland, Joseph SP SD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1885
Pettyjohn, Adam C. SP NYM	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1894
Jenkins, Tyrell SP STL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1912
Rainwater, Josh SP DET	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1914
Hudson, Luke SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1916
Rivera, Oscar SP COL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1927
Martinez, Fabio SP LAA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1940
Jones, Justin SP WAS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1954
Pimentel, Elisaul SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1972
Gonzalez, Rey SP TOR	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1973
Clark, Craig SP SF	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1976
Pena, Ariel SP LAA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	1978
Matthews, Kevin SP TEX	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2000
Orenduff, Justin SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2006
Seaton, Ross SP HOU	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2031
Ottavino, Adam SP STL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2036
Bannister, Brian SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2054
Mulder, Mark SP STL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2057
Stanford, Jason SP WAS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2062
Anderson, Craig SP BAL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2097
Silva, Walter SP SD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2099
Redding, Tim SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2107
Foltynewicz, Mike SP HOU	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2121
Reyes, Anthony SP CLE	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2129
Marceaux, Jacob SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2138
Brito, Eude SP WAS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2141
Mendez, Adalberto SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2145
Horne, Alan SP NYY	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2150
Carroll, Scott SP CIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2170
Purke, Matt SP WAS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2176
Kiker, Kasey SP TEX 	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2184
Kadokura, Ken SP CHC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2187
Jackson, Zach SP TEX	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2194
Lumsden, Tyler SP HOU	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2198
Koronka, John SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2204
Cabrera, Daniel SP LAA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2213
Carrillo, Cesar SP HOU	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2215
Miller, Aaron SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2225
Townsend, Wade SP TB	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2229
Hirsh, Jason SP NYY	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2236
Holt, Bradley SP NYM	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2238
Knight, Brandon SP NYM	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2242
Armas, Tony SP NYM	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2249
Kawakami, Kenshin SP ATL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2257
Tago, Peter SP COL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2270
Morris, Cory SP BAL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2280
Trinidad, Polin SP HOU	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2289
Periard, Alex SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2298
Holmberg, David SP ARI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2308
Finch, Brian SP BAL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2311
Leek, Randy SP STL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2313
Burns, Mike SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2325
Luis, Santo SP BOS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2327
Arnett, Eric SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2334
Prior, Mark SP NYY	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2340
Seibel, Phil SP BOS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2354
Soto, Giovanni SP CLE	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2355
Edell, Ryan SP PHI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2358
Rasmussen, Rob SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2360
Tyler, Scott SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2374
Rasner, Jacob SP CHW	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2379
Cota, Luis SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2410
Lotzkar, Kyle SP CIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2413
Knapp, Jason SP CLE	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2425
Dorman, Rich SP SEA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2426
DeVries, Cole SP MIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2431
Cuevas, Jairo SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2449
Banks, Josh SP SF	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2456
Melville, Timothy SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2463
Sampson, Keyvius SP SD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2464
Eaton, Adam SP COL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2476
Martinez, Anastacio SP DET	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2482
Rodriguez, Ricardo SP PHI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2502
Lamb, John SP KC	-	User Abuser	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2508
Chico, Matt SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2534
Parker, Zach SP COL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2548
Chen, Hung-Wen SP CHC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2553
Owens, Rudy SP PIT	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2555
Villarreal, Pedro SP CIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2557
Robertson, Tyler SP MIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2564
Reina, Jesus SP SF	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2583
Colome, Alexander SP TB	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2587
Hammes, Zach SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2597
Simonitsch, Errol SP MIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2602
Cannon, Jon SP ARI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2613
Trahern, Dallas SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2628
Syndergaard, Noah SP TOR	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2631
Skaggs, Tyler SP ARI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2633
Deago, Roger SP SD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2636
Britton, Drake SP BOS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2640
Wright, Chase SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2647
Ginter, Matt SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2690
Salazar, Danny SP CLE	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2705
Narron, Sam SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2717
Aumont, Phillippe SP PHI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2718
Meyers, Brad SP NYY 	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2720
Hultzen, Danny SP SEA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2726
Pelzer, Wynn SP BAL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2735
Jackson, Luke SP TEX	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2745
Perez, Martin SP TEX	-	User Abuser	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2766
Biddle, Jesse SP PHI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2770
Lehr, Justin SP CIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2775
Loux, Barret SP TEX	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2792
Haigwood, Dan SP PIT	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2815
Satterwhite, Cody SP DET	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2827
Loux, Shane SP SF	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2831
Smith, Travis SP LAD	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2834
Thompson, Mike SP PIT	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2849
Gardner, Richie SP MIL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2852
Allie, Stetson SP PIT	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2858
Lorin, Brett SP ARI	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2862
Hernandez, Orlando SP WAS	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2864
Bierbrodt, Nick SP BAL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2867
Robertson, Nate SP SEA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2869
Dwyer, Chris SP KC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2885
Tata, Jordan SP DET	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2894
Miller, Shelby SP STL 	-	Shits & Giggles	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2917
Blair, Seth SP STL	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2931
McNutt, Trey SP CHC	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2952
Allison, Jeffrey SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2956
Jukich, Ben SP CIN	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2972
Taubenheim, Ty SP TEX	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2978
Garcia, Christian SP NYY	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2979
Crosby, Casey SP DET	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2991
Benjamin, Ramon SP MIA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	2995
Mateo, Juan SP LAA	-	Free Agent	0.0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	3011
