All Starting Pitchers 2011 MLB Standard Stats																
Player	Action	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Leake, Mike SP CIN 	-	Free Agent	167.7	26	18	0	12	9	0	0	118	38	159	3.865	1.1750	153
Hanson, Tommy SP ATL 	-	Sofa Kings	130.0	22	13	0	11	7	0	0	142	46	106	3.600	1.1692	154
Worley, Vance SP PHI	-	SA`s	131.7	21	12	1	11	3	0	0	119	46	116	3.008	1.2304	156
Baker, Scott SP MIN	-	Free Agent	134.7	21	10	1	8	6	0	0	123	32	126	3.141	1.1733	158
Tomlin, Josh SP CLE	-	Titty`s Warriors	165.3	26	17	0	12	7	0	0	89	21	157	4.246	1.0766	160
Wolf, Randy SP MIL	-	Free Agent	212.3	33	21	0	13	10	0	0	134	66	214	3.688	1.3187	161
Buehrle, Mark SP MIA 	-	Free Agent	205.3	31	22	0	13	9	0	0	109	45	221	3.594	1.2955	162
Chacin, Jhoulys SP COL	-	Floaters and Sinkers	194.0	31	18	2	11	14	0	0	150	87	168	3.619	1.3144	167
Holland, Derek SP TEX 	-	Floaters and Sinkers	198.0	32	19	4	16	5	0	0	162	67	201	3.954	1.3535	169
Humber, Philip SP CHW	-	SA`s	163.0	26	15	0	9	9	0	0	116	41	151	3.755	1.1779	172
Beachy, Brandon SP ATL	-	Blue Crew	141.7	25	14	0	7	3	0	0	169	46	125	3.685	1.2071	173
Karstens, Jeff SP PIT 	-	User Abuser	162.3	26	16	1	9	9	0	0	96	33	163	3.382	1.2074	174
Stauffer, Tim SP SD	-	Free Agent	185.7	31	20	0	9	12	0	0	128	53	180	3.732	1.2549	179
Saunders, Joe SP ARI 	-	SA`s	212.0	33	20	1	12	13	0	0	108	67	210	3.693	1.3066	181
Moscoso, Guillermo SP OAK	-	Sofa Kings	128.0	21	12	0	8	10	0	0	74	38	102	3.375	1.0938	183
Nova, Ivan SP NYY	-	Titty`s Warriors	165.3	27	16	0	16	4	0	0	98	57	163	3.702	1.3306	194
