All First Basemen 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Huff, Aubrey 1B SF 	-	Free Agent	521	45	128	88	27	1	12	59	47	90	5	3	0.2457	0.3057	0.3704	416
Downs, Matt 2B HOU	-	Free Agent	199	29	55	27	18	0	10	41	17	47	0	0	0.2764	0.3468	0.5176	434
Duncan, Shelley LF CLE	-	Free Agent	223	29	58	30	17	0	11	47	19	56	0	1	0.2601	0.3239	0.4843	440
Cairo, Miguel 3B CIN 	-	Free Agent	245	33	65	47	8	2	8	33	18	36	3	4	0.2653	0.3297	0.4122	453
LaPorta, Matt 1B CLE	-	Free Agent	352	34	87	52	23	1	11	53	23	87	1	0	0.2472	0.2987	0.4119	471
Giambi, Jason 1B COL	-	Free Agent	131	20	34	15	6	0	13	32	17	45	0	0	0.2595	0.3553	0.6031	474
Mauer, Joe C MIN 	-	Titty`s Warriors	296	38	85	67	15	0	3	30	32	38	0	0	0.2872	0.3604	0.3682	479
Goldschmidt, Paul 1B ARI	-	Free Agent	156	28	39	21	9	1	8	26	20	53	4	0	0.2500	0.3333	0.4744	492
Davis, Ike 1B NYM 	-	Blue Crew	129	20	39	23	8	1	7	25	17	31	0	0	0.3023	0.3826	0.5426	495
Hannahan, Jack 3B CLE	-	Free Agent	320	38	80	54	16	2	8	40	38	80	2	1	0.2500	0.3315	0.3875	499
Rodriguez, Sean SS TB 	-	Free Agent	373	45	83	52	20	3	8	36	38	87	11	7	0.2225	0.3225	0.3566	501
Smoak, Justin 1B SEA	-	Titty`s Warriors	427	38	100	61	24	0	15	55	55	105	0	0	0.2342	0.3231	0.3958	508
Posada, Jorge DH NYY 	-	Blue Crew	344	34	81	53	14	0	14	44	39	76	0	2	0.2355	0.3152	0.3983	529
Kennedy, Adam 1B LAD 	-	Free Agent	380	36	89	58	23	1	7	38	22	67	8	2	0.2342	0.2765	0.3553	531
Kotsay, Mark RF SD	-	Free Agent	233	18	63	46	13	1	3	31	21	27	3	0	0.2704	0.3294	0.3734	557
Overbay, Lyle 1B ARI 	-	Blue Crew	394	43	92	61	21	1	9	47	42	88	2	1	0.2335	0.3098	0.3604	562
Kelly, Don LF DET	-	Free Agent	257	35	63	45	8	3	7	28	14	32	2	1	0.2451	0.2909	0.3813	570
Wallace, Brett 1B HOU 	-	Free Agent	336	37	87	60	22	0	5	29	36	91	1	1	0.2589	0.3342	0.3690	571
Jackson, Conor LF BOS	-	Free Agent	352	32	86	63	17	1	5	43	32	53	3	1	0.2443	0.3103	0.3409	577
Nady, Xavier 1B ARI	-	Free Agent	206	26	51	36	11	0	4	35	10	46	2	0	0.2476	0.2870	0.3592	587
Parmelee, Chris 1B MIN	-	Free Agent	76	8	27	17	6	0	4	14	12	13	0	0	0.3553	0.4432	0.5921	588
Davis, Chris 1B BAL 	-	Free Agent	199	25	53	36	12	0	5	19	11	63	1	0	0.2663	0.3048	0.4020	603
Blake, Casey 3B COL 	-	Free Agent	202	32	51	36	10	1	4	26	26	50	1	2	0.2525	0.3419	0.3713	608
Sands, Jerry RF LAD 	-	Free Agent	198	20	50	31	15	0	4	26	25	51	3	3	0.2525	0.3378	0.3889	616
McGehee, Casey 3B PIT 	-	Disco Bush Horticulturists	546	46	122	83	24	2	13	67	45	104	0	3	0.2234	0.2800	0.3462	635
Evans, Nick 1B PIT 	-	Free Agent	176	26	45	29	10	2	4	25	15	48	0	1	0.2557	0.3144	0.4034	645
Blanks, Kyle RF SD	-	Free Agent	170	21	39	24	7	1	7	26	16	51	2	0	0.2294	0.3000	0.4059	647
Hinske, Eric RF ATL	-	Free Agent	236	24	55	35	10	0	10	28	26	71	0	1	0.2331	0.3106	0.4025	653
Belt, Brandon LF SF 	-	Disco Bush Horticulturists	187	21	42	26	6	1	9	18	20	57	3	2	0.2246	0.3062	0.4118	660
Baker, Jeff 1B CHC	-	Free Agent	201	20	54	38	12	1	3	23	10	46	0	0	0.2687	0.3019	0.3831	663
Hughes, Luke 2B MIN	-	Free Agent	287	31	64	45	12	0	7	30	24	79	3	2	0.2230	0.2889	0.3380	684
Scott, Luke LF BAL 	-	Blue Crew	209	24	46	26	11	0	9	22	24	54	1	1	0.2201	0.3008	0.4019	700
Pacheco, Jordan 1B COL	-	Free Agent	84	5	24	21	1	0	2	14	3	9	0	0	0.2857	0.3182	0.3690	725
Lopez, Jose 3B CLE 	-	Free Agent	231	23	50	30	12	0	8	21	7	28	2	0	0.2165	0.2448	0.3723	731
Pill, Brett 1B SF	-	Free Agent	50	7	15	8	3	2	2	9	2	8	0	1	0.3000	0.3208	0.5600	737
DeRosa, Mark 3B WAS 	-	Free Agent	86	9	24	22	2	0	0	12	8	18	1	1	0.2791	0.3505	0.3023	749
Sutton, Drew 3B ATL	-	Free Agent	54	11	17	10	7	0	0	7	3	13	0	0	0.3148	0.3621	0.4444	754
Allen, Brandon 1B OAK	-	Free Agent	175	23	35	18	9	2	6	18	18	68	3	0	0.2000	0.2769	0.3771	763
Wood, Brandon 3B PIT	-	Free Agent	250	26	54	37	10	0	7	31	19	73	0	0	0.2160	0.2704	0.3400	764
Miranda, Juan 1B TB 	-	Free Agent	174	18	37	20	8	2	7	23	23	48	0	1	0.2126	0.3150	0.4023	769
Hawpe, Brad 1B SD 	-	Free Agent	195	19	45	31	10	0	4	19	19	68	0	0	0.2308	0.3009	0.3436	801
Fox, Jake C PIT	-	Free Agent	61	8	15	8	4	1	2	6	4	8	0	0	0.2459	0.3134	0.4426	827
Morneau, Justin 1B MIN 	-	Free Agent	264	19	60	40	16	0	4	30	19	44	0	0	0.2273	0.2847	0.3333	830
Branyan, Russell 1B LAA	-	Free Agent	127	11	25	13	7	0	5	14	18	41	2	0	0.1969	0.2945	0.3701	837
