All Catchers 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Molina, Gustavo C NYY 	-	Free Agent	6	0	1	0	1	0	0	0	0	0	0	0	0.1667	0.1667	0.3333	1137
Moore, Adam C SEA 	-	Free Agent	6	0	1	0	1	0	0	0	0	2	0	0	0.1667	0.1667	0.3333	1138
McKenry, Michael C PIT 	-	Free Agent	180	17	40	26	12	0	2	11	14	49	0	1	0.2222	0.2755	0.3222	1145
Santos, Omir C DET	-	Free Agent	22	1	5	5	0	0	0	0	0	4	0	0	0.2273	0.2273	0.2273	1148
Gimenez, Hector C LAD	-	Free Agent	7	0	1	1	0	0	0	0	0	3	0	0	0.1429	0.1429	0.1429	1156
Recker, Anthony C OAK	-	Free Agent	17	3	3	2	1	0	0	0	4	7	0	0	0.1765	0.3333	0.2353	1159
Toregas, Wyatt C PIT	-	Free Agent	4	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1168
Nickeas, Mike C NYM 	-	Free Agent	53	4	10	8	1	0	1	6	4	11	0	1	0.1887	0.2456	0.2642	1171
Federowicz, Tim C LAD	-	Free Agent	13	0	2	2	0	0	0	1	2	4	0	0	0.1538	0.3125	0.1538	1180
Baker, John C SD	-	Free Agent	13	0	2	2	0	0	0	1	2	3	0	0	0.1538	0.2667	0.1538	1181
Phillips, Kyle C SD	-	Free Agent	76	9	13	8	3	0	2	10	8	19	0	0	0.1711	0.2588	0.2895	1184
Stewart, Chris C SF	-	Free Agent	162	20	33	22	8	0	3	10	16	18	0	0	0.2037	0.2833	0.3086	1185
Castillo, Welington C CHC	-	Free Agent	13	0	2	2	0	0	0	0	0	4	0	0	0.1538	0.1538	0.1538	1188
Cancel, Robinson C HOU	-	Free Agent	6	0	0	0	0	0	0	0	1	4	0	0	0.0000	0.1429	0.0000	1193
Romine, Austin C NYY	-	Free Agent	19	2	3	3	0	0	0	0	1	5	0	0	0.1579	0.2000	0.1579	1197
Hill, Koyie C CHC 	-	Free Agent	134	15	26	20	3	1	2	9	14	40	1	0	0.1940	0.2685	0.2761	1209
Navarro, Dioner C LAD	-	Free Agent	176	13	34	22	6	1	5	17	20	35	0	0	0.1932	0.2764	0.3239	1215
Tatum, Craig C HOU	-	Free Agent	87	7	17	14	3	0	0	7	6	21	1	0	0.1954	0.2447	0.2299	1220
Holm, Steve C MIN	-	Free Agent	17	1	2	1	1	0	0	0	1	4	0	0	0.1176	0.1667	0.1765	1223
Johnson, Rob C SD 	-	Free Agent	179	9	34	24	6	1	3	16	14	58	3	0	0.1899	0.2589	0.2849	1230
Whiteside, Eli C SF 	-	Free Agent	213	14	42	28	8	2	4	17	18	59	2	1	0.1972	0.2638	0.3099	1237
Flores, Jesus C WAS	-	Free Agent	86	5	18	11	6	0	1	2	5	27	0	0	0.2093	0.2527	0.3140	1247
Brown, Dusty C PIT	-	Free Agent	28	2	3	3	0	0	0	0	1	10	1	0	0.1071	0.1379	0.1071	1254
Lobaton, Jose C TB	-	Free Agent	34	2	4	3	1	0	0	0	4	8	0	0	0.1176	0.2308	0.1471	1304
Towles, J.R. C MIN 	-	Free Agent	147	11	27	17	7	0	3	11	13	26	0	0	0.1837	0.2561	0.2925	1312
Wilson, Bobby C LAA	-	Free Agent	111	5	21	12	8	0	1	8	10	16	0	2	0.1892	0.2520	0.2883	1318
Schneider, Brian C PHI	-	Free Agent	125	11	22	16	4	0	2	9	11	35	0	0	0.1760	0.2464	0.2560	1325
Nieves, Wil C MIL 	-	Free Agent	50	2	7	5	2	0	0	0	3	12	0	0	0.1400	0.1887	0.1800	1337
Powell, Landon C OAK 	-	Free Agent	111	10	19	15	3	0	1	4	11	32	0	0	0.1712	0.2459	0.2252	1351
Corporan, Carlos C HOU	-	Free Agent	154	9	29	20	8	1	0	11	10	49	0	0	0.1883	0.2529	0.2532	1360
Rivera, Rene C MIN	-	Free Agent	104	9	15	11	3	0	1	5	8	32	0	0	0.1442	0.2105	0.2019	1369
Mathis, Jeff C TOR 	-	Free Agent	247	18	43	28	12	0	3	22	15	75	1	2	0.1741	0.2247	0.2591	1378
Butera, Drew C MIN	-	Free Agent	234	19	39	27	9	1	2	23	11	42	0	0	0.1667	0.2097	0.2393	1388
Budde, Ryan C TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1407
Hathaway, Aaron C NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1415
Sanchez, Tony C PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1436
McCraw, Sean C NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1437
Pedro, Erick San C WAS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1439
Perry, Patrick C BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1448
Deglan, Kellin C TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1451
Leyland, Patrick C DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1457
Naughton, Joel C PHI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1482
Quiroz, Guillermo C SEA 	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1496
Smith, Ryan D. C CHW	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1505
Zaun, Gregg C SD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1510
Wilson, Vance C KC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1515
Gonzalez, Miguel A. C CHW	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1534
Kroski, Chris C CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1538
Tarleton, Dallas C COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1550
Chiaffredo, Paul C PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1554
Lalli, Blake C CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1556
Gosewisch, Tuffy C PHI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1557
