STARTING PITCHERS
Miguel Batista, SP RP, $4.00
Dustin Moseley, SP, $4.00
Aaron Cook, SP, $4.00
Justin Duchscherer, SP, $4.00, (R) $10.00
Jerome Williams, SP, $3.00
Kenshin Kawakami, SP, $3.00
Josh Outman, SP, $3.00
Alex Sanabia, SP, $3.00
Jake Arrieta, SP, $3.00
Rodrigo Lopez, SP RP, $3.00
Charlie Morton, SP, $3.00
Chris Young, SP, $2.00
Juan Nicasio, SP, $2.00
Felipe Paulino, SP RP, $2.00
Armando Galarraga, SP, $2.00
Mitch Talbot, SP, $2.00
Alfredo Simon, SP RP, $1.00
James Russell, SP RP, $1.00
Mike Minor, SP, $1.00
Nelson Figueroa, SP, $1.00
Edinson Volquez, SP, $1.00
Ben Sheets, SP, $1.00
Daisuke Matsuzaka, SP, $1.00
Ross Detwiler, SP RP, $1.00
Marco Estrada, SP RP, $1.00
Barry Enright, SP, $1.00
Nate Eovaldi, SP, $1.00
Tyson Ross, SP, $1.00
Tommy Milone, SP, $1.00
Carlos Silva, SP, $1.00
Aneury Rodriguez, SP RP, $1.00
Los Santos, De Los Santos, RP SP, $1.00, (R) $10.00
Pedro Martinez, SP, $1.00, (R) $10.00
Brad Hand, SP, $1.00
J.D. Martin, SP, $1.00
Carlos Carrasco, SP, $1.00
John Maine, SP, $1.00
Jesse Litsch, SP RP, $1.00
Jordan Lyles, SP RP, $1.00
Mark Rogers, SP, $1.00, (R) $10.00
Braden Looper, SP, $1.00
Jarrod Parker, SP, $1.00, (R) $10.00
Jeanmar Gomez, SP, $1.00
Kip Wells, SP, $1.00
Brian Matusz, SP, $1.00
Drew Pomeranz, SP, $1.00
Shawn Hill, SP, $1.00, (R) $10.00
Charlie Furbush, SP RP, $1.00
Anthony Swarzak, SP RP, $1.00
Graham Godfrey, SP, $1.00
Wade Miley, SP, $1.00
Brian Bannister, SP, $1.00
Scott Kazmir, SP, $1.00
Luke French, SP, $1.00
Eric Milton, SP, $1.00, (R) $10.00
Zach Miner, SP, $1.00
Sean West, SP, $1.00
Luis Atilano, SP, $1.00
