All Catchers  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Cameron,Rupp C  PHI"	Free Agent	36	2	7	5	2	0	0	4	2	12	0	0	0.1944	0.2368	0.2500	1467
"Jesus,Sucre C  SEA"	Free Agent	44	2	9	8	1	0	0	4	1	9	0	0	0.2045	0.2222	0.2273	1504
"Mike,Nickeas C  TOR"	Free Agent	36	3	6	5	1	0	0	4	3	9	0	0	0.1667	0.2308	0.1944	1508
"Rob,Johnson C  STL"	Free Agent	29	2	6	5	1	0	0	2	2	5	0	0	0.2069	0.2581	0.2414	1514
"Sandy,Leon C  WAS"	Free Agent	32	3	6	5	1	0	0	2	3	11	0	0	0.1875	0.2571	0.2188	1519
"Bryan,Anderson C  OAK"	Free Agent	10	1	2	1	1	0	0	1	1	4	0	0	0.2000	0.2727	0.3000	1530
"Adam,Moore C  CLE"	Free Agent	10	1	2	1	1	0	0	1	1	3	0	0	0.2000	0.2727	0.3000	1530
"Luke,Carlin C  CLE"	Free Agent	5	1	1	1	0	0	0	0	0	1	0	0	0.2000	0.2000	0.2000	1543
"Eli,Whiteside C  CHC"	Free Agent	12	1	2	1	1	0	0	1	0	4	0	0	0.1667	0.1667	0.2500	1561
"Konrad,Schmidt C  CIN"	Free Agent	2	0	0	0	0	0	0	1	0	1	0	0	0.0000	0.0000	0.0000	1562
"Tucker,Barnhart C  CIN"	Free Agent	54	3	10	9	0	0	1	1	4	10	0	0	0.1852	0.2414	0.2407	1564
"J.C.,Boscan C  KC"	Free Agent	6	0	1	1	0	0	0	1	0	1	0	0	0.1667	0.1667	0.1667	1565
"Miguel,Olivo C  LAD"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Audry,Perez C  COL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Dan,Butler C  WAS"	Free Agent	10	0	2	0	2	0	0	1	0	2	0	0	0.2000	0.2000	0.4000	1602
"Juan,Centeno C  MIL"	Free Agent	20	0	4	4	0	0	0	2	2	3	0	0	0.2000	0.2727	0.2000	1603
"Miguel,Gonzalez C  DET"	Free Agent	4	0	1	1	0	0	0	0	0	2	0	0	0.2500	0.2500	0.2500	1604
"Brandon,Bantz C  SEA"	Free Agent	1	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1617
"Manuel,Pina C  DET"	Free Agent	1	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1617
