All Outfielders  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Andrew,Brown RF  OAK"	Free Agent	102	12	23	14	4	0	5	14	9	31	1	1	0.2255	0.2883	0.4118	829
"Moises,Sierra LF  KC"	Free Agent	138	16	33	21	8	1	3	12	10	39	2	0	0.2391	0.2905	0.3768	830
"Darin,Mastroianni CF  PHI"	Free Agent	90	11	20	16	2	1	1	8	7	26	8	1	0.2222	0.2784	0.3000	836
"Chris,Dickerson LF  CLE"	Free Agent	72	11	17	11	3	0	3	8	6	26	4	0	0.2361	0.2949	0.4028	849
"Shane,Robinson CF  MIN"	Free Agent	123	15	30	23	4	1	2	12	14	20	2	1	0.2439	0.3212	0.3415	856
"Xavier,Paul LF  PHI"	Free Agent	105	11	27	18	6	0	3	13	12	26	1	1	0.2571	0.3333	0.4000	863
"Marc,Krauss 1B  LAA"	Free Agent	160	14	33	20	8	0	5	17	16	50	1	0	0.2062	0.2784	0.3500	865
"Nolan,Reimold RF  ARI"	Free Agent	88	11	21	12	5	0	4	12	6	29	1	0	0.2386	0.2872	0.4318	867
"Enrique,Hernandez CF  LAD"	Free Agent	121	13	30	18	6	3	3	14	12	21	0	0	0.2479	0.3158	0.4215	874
"Ezequiel,Carrera LF  TOR"	Free Agent	78	12	20	15	3	1	1	5	4	18	5	1	0.2564	0.2927	0.3590	886
"Matt,den Dekker CF  NYM"	Free Agent	105	15	24	18	6	0	0	6	12	28	6	2	0.2286	0.3077	0.2857	894
"Abraham,Almonte CF  SD"	Free Agent	138	14	32	23	7	0	2	12	9	40	2	2	0.2319	0.2789	0.3261	899
"Brandon,Guyer RF  TB"	Free Agent	89	13	23	17	5	0	1	9	5	18	2	0	0.2584	0.2979	0.3483	905
"Casper,Wells RF  CHC"	Free Agent	127	16	26	17	5	1	3	12	11	37	1	0	0.2047	0.2681	0.3307	918
"Elian,Herrera LF  MIL"	Free Agent	110	13	29	22	6	1	0	7	9	29	3	1	0.2636	0.3193	0.3364	921
"Logan,Schafer CF  MIL"	Free Agent	146	15	30	19	8	2	1	15	14	30	3	1	0.2055	0.2750	0.3082	922
"Travis,Ishikawa 1B  SF"	Free Agent	93	9	22	14	5	1	2	16	8	29	0	0	0.2366	0.2970	0.3763	928
"Grant,Green LF  LAA"	Free Agent	120	12	30	23	6	0	1	14	6	32	0	2	0.2500	0.2857	0.3250	932
"Mike,Baxter RF  CHC"	Free Agent	106	13	24	15	7	1	1	7	14	25	3	2	0.2264	0.3167	0.3396	956
"Michael,Choice CF  TEX"	Free Agent	136	11	25	17	4	0	4	18	11	38	0	0	0.1838	0.2449	0.3015	966
"Tony,Gwynn CF  PHI"	Free Agent	121	14	25	20	3	2	0	7	10	25	5	2	0.2066	0.2672	0.2645	973
"Jake,Goebbert 1B  SD"	Free Agent	101	12	22	17	1	3	1	10	12	32	2	1	0.2178	0.3009	0.3168	974
"L.J.,Hoes RF  HOU"	Free Agent	98	12	23	17	4	1	1	7	7	22	2	0	0.2347	0.2857	0.3265	979
"Eric,Thames LF  HOU"	Free Agent	90	9	21	13	4	1	3	8	5	29	0	0	0.2333	0.2737	0.4000	995
"Leury,Garcia CF  CHW"	Free Agent	123	12	21	19	2	0	0	4	6	41	9	2	0.1707	0.2093	0.1870	1001
"Steve,Tolleson 2B  TOR"	Free Agent	80	8	19	13	3	1	2	7	5	22	1	0	0.2375	0.2824	0.3750	1013
"Stefen,Romero LF  SEA"	Free Agent	177	19	34	23	6	2	3	11	4	48	0	4	0.1921	0.2099	0.2994	1015
"Caleb,Gindl LF  MIL"	Free Agent	50	6	12	7	2	1	2	5	8	10	1	0	0.2400	0.3448	0.4400	1045
"Terrance,Gore LF  KC"	Free Agent	1	5	0	0	0	0	0	0	0	0	5	0	0.0000	0.0000	0.0000	1046
"Trevor,Crowe LF  DET"	Free Agent	82	9	18	14	4	0	0	6	8	20	3	0	0.2195	0.2889	0.2683	1049
"Clete,Thomas RF  PHI"	Free Agent	106	14	22	15	5	0	2	6	10	36	0	1	0.2075	0.2759	0.3113	1050
"Antoan,Richardson CF  TEX"	Free Agent	16	2	5	5	0	0	0	1	1	3	5	0	0.3125	0.3529	0.3125	1054
