Team Totals 2014  Season MLB Standard Stats
Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	
Disco Bush Horticulturists	6154	796	1639	1103	297	43	196	797	631	1308	142	46	0.2663	0.3397	0.4241
EVIL EMPIRE	5956	808	1623	1116	305	37	165	732	520	1159	147	57	0.2725	0.3331	0.4192
Floaters and Sinkers	6552	856	1759	1159	370	27	203	848	603	1398	85	35	0.2685	0.3348	0.4261
Knobgobblers	6947	975	1917	1268	381	44	224	908	700	1449	165	46	0.2759	0.3454	0.4402
Old Dirty Bugg	6684	876	1887	1251	379	31	226	875	499	1229	154	40	0.2823	0.3369	0.4497
Orange-a-Tangs	5773	785	1522	977	287	16	242	826	643	1282	82	31	0.2636	0.3402	0.4447
Shits & Giggles	6988	944	1940	1291	395	33	221	914	708	1256	101	34	0.2776	0.3458	0.4385
Sofa Kings	5680	851	1589	1012	323	40	214	753	509	1105	165	46	0.2798	0.3438	0.4637
Titty`s Warriors	6611	801	1692	1151	314	21	206	803	512	1354	87	26	0.2559	0.3132	0.4033
User Abuser	6440	822	1691	1143	332	21	195	792	581	1500	134	51	0.2626	0.3281	0.4115
Want-a-be Ghetto All Stars	6065	782	1573	1059	341	27	146	713	572	1364	136	58	0.2594	0.3261	0.3967
Whiteness	6688	868	1840	1248	375	30	187	858	567	1388	112	27	0.2751	0.3357	0.4240
Report Updated as of  2/20/15  5:18 PM EST
Team Totals 2014  Season MLB Standard Stats
Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	
Disco Bush Horticulturists	1723.3	266	157	10	107	97	40	5	1472	518	1664	3.718	1.2662
EVIL EMPIRE	1439.3	192	135	12	96	71	87	8	1436	372	1162	2.614	1.0658
Floaters and Sinkers	1469.7	208	125	5	87	76	38	8	1193	417	1317	3.197	1.1799
Knobgobblers	1807.0	259	177	12	125	97	70	10	1721	522	1590	3.098	1.1688
Old Dirty Bugg	1290.7	174	97	2	74	74	130	17	1163	408	1165	3.452	1.2188
Orange-a-Tangs	1364.0	190	126	5	89	69	78	8	1252	311	1234	3.194	1.1327
Shits & Giggles	1524.0	218	132	5	88	76	63	13	1384	488	1363	3.266	1.2146
Sofa Kings	1332.3	168	119	12	91	52	127	16	1354	306	1095	2.641	1.0515
Titty`s Warriors	1709.3	255	165	6	109	91	38	9	1391	556	1648	3.738	1.2894
User Abuser	1387.0	197	113	6	92	70	67	14	1261	461	1197	3.426	1.1954
Want-a-be Ghetto All Stars	1393.0	207	119	6	88	82	58	6	1269	427	1289	3.689	1.2319
Whiteness	1125.0	153	83	1	60	70	29	12	1011	351	1092	3.888	1.2827
