All Relief Pitchers  Season   Projections Standard Stats
Player,Team,INN,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Rank,
Greg Holland RP | KC ,Orange-a-Tangs,65.0,0,0,0,2,2,48,2,97,20,38,1.661,0.8923,76
Carlos Carrasco RP | CLE ,Want-a-be Ghetto All Stars,195.0,30,21,2,13,8,0,0,199,48,169,2.954,1.1128,80
Craig Kimbrel RP | ATL,EVIL EMPIRE,64.0,0,0,0,3,3,45,4,92,21,38,1.547,0.9219,88
Aroldis Chapman RP | CIN ,Shits & Giggles,66.0,0,0,0,4,3,41,4,117,30,36,2.046,1.0000,90
Alex Wood SP | ATL ,Knobgobblers,195.0,31,25,2,13,10,0,0,202,48,173,3.185,1.1333,101
Dellin Betances RP | NYY ,Floaters and Sinkers,85.0,0,0,0,5,2,26,3,125,25,58,1.800,0.9765,114
Mark Melancon RP | PIT,Sofa Kings,71.0,0,0,0,3,4,42,4,73,9,58,2.155,0.9437,133
David Robertson RP | CHW,Disco Bush Horticulturists,67.0,0,0,0,4,4,40,4,93,21,48,2.552,1.0299,137
Zach Britton RP | BAL ,Floaters and Sinkers,70.0,0,0,0,3,3,43,5,61,23,48,1.929,1.0143,148
Koji Uehara RP | BOS ,Shits & Giggles,62.0,0,0,0,4,3,34,3,74,8,44,1.887,0.8387,149
Marcus Stroman SP | TOR ,Knobgobblers,190.0,31,21,2,14,9,0,0,171,49,180,3.316,1.2053,160
Trevor Rosenthal RP | STL,Knobgobblers,73.0,0,0,0,2,4,43,4,93,28,54,2.959,1.1233,168
Brett Cecil RP | TOR ,Free Agent,65.0,0,0,0,3,3,39,5,90,27,45,2.492,1.1077,170
Huston Street RP | LAA ,Free Agent,58.0,0,0,0,3,3,40,4,57,14,44,1.862,1.0000,179
Steve Cishek RP | MIA ,Sofa Kings,66.0,0,0,0,3,5,38,5,76,21,49,2.318,1.0606,181
