All Second Basemen 3 Year Averages MLB Standard Stats
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
"Lucas, Ed 3B MIA",Free Agent,351,43,90,71,14,1,4,28,26,78,1,1,0.2564,0.3105,0.3362,466
"Johnson, Elliot 2B ATL",Free Agent,237,26,52,38,8,2,4,23,18,68,15,5,0.2194,0.2763,0.3207,472
"Schumaker, Skip OF CIN",Free Agent,319,34,88,69,16,1,2,32,27,51,1,2,0.2759,0.3343,0.3511,477
"Rodriguez, Sean OF TB ",Free Agent,290,34,65,42,15,2,6,30,27,74,6,3,0.2241,0.3079,0.3517,486
"Turner, Justin 3B NYM ",Free Agent,269,27,72,49,19,1,3,29,20,39,3,1,0.2677,0.3288,0.3792,516
"Andino, Robert SS PIT ",Free Agent,306,36,72,55,13,0,4,23,28,70,6,3,0.2353,0.3027,0.3170,521
"Arias, Joaquin 3B SF ",Free Agent,272,24,74,56,11,4,3,26,8,38,3,0,0.2721,0.2962,0.3750,536
"Dietrich, Derek 2B MIA",Free Agent,215,32,46,25,10,2,9,23,11,56,1,0,0.2140,0.2747,0.4047,545
"LeMahieu, DJ 2B COL ",Free Agent,231,23,65,50,12,2,1,18,11,40,6,3,0.2814,0.3115,0.3636,560
"Forsythe, Logan 2B TB ",Free Agent,228,26,55,40,9,2,4,19,20,48,6,1,0.2412,0.3123,0.3509,566
"Frandsen, Kevin 1B PHI",Free Agent,224,26,62,46,10,2,4,20,10,24,0,0,0.2768,0.3292,0.3929,579
"Lillibridge, Brent 3B TEX ",Free Agent,145,22,31,22,4,0,5,15,10,50,8,3,0.2138,0.2795,0.3448,595
"Flaherty, Ryan 2B BAL",Free Agent,200,22,44,30,6,0,8,23,12,52,2,0,0.2200,0.2778,0.3700,601
"Greene, Tyler 2B ATL ",Free Agent,154,21,35,23,7,1,4,15,12,48,8,1,0.2273,0.2899,0.3636,605
"Amarista, Alexi OF SD",Free Agent,232,24,54,37,11,3,3,23,14,36,4,2,0.2328,0.2782,0.3448,638
"Mercer, Jordy SS PIT",Free Agent,198,20,54,34,14,2,4,16,13,38,2,2,0.2727,0.3224,0.4242,639
"Lombardozzi, Stephen 2B DET",Free Agent,235,23,62,48,11,1,2,17,9,28,3,2,0.2638,0.2955,0.3447,651
"Ciriaco, Pedro SS KC",Free Agent,139,15,38,28,7,2,1,11,6,25,9,2,0.2734,0.3034,0.3741,653
"Herrera, Jonathan SS BOS ",Free Agent,234,24,61,51,7,1,2,14,19,34,4,2,0.2607,0.3176,0.3248,654
