All Catchers 3 Year Averages MLB Standard Stats
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
"Martinez, Luis C LAA",Free Agent,26,3,5,5,0,0,0,3,3,6,0,0,0.1923,0.3000,0.1923,2459
"Rivera, Rene C SD",Free Agent,57,4,11,9,2,0,0,4,3,16,0,0,0.1930,0.2295,0.2281,2497
"Leon, Sandy C WAS",Free Agent,16,1,4,3,1,0,0,1,2,6,0,0,0.2500,0.3684,0.3125,2501
"Centeno, Juan C NYM",Free Agent,10,0,3,3,0,0,0,1,0,1,0,0,0.3000,0.3000,0.3000,2508
"Moore, Adam C KC",Free Agent,9,1,2,1,1,0,0,1,1,2,0,0,0.2222,0.3000,0.3333,2509
"Monell, Johnny C BAL",Free Agent,8,2,1,1,0,0,0,1,0,3,0,0,0.1250,0.2222,0.1250,2510
"Carlin, Luke C CLE ",Free Agent,7,1,2,2,0,0,0,0,0,2,0,0,0.2857,0.2857,0.2857,2517
"Pagnozzi, Matt C MIL",Free Agent,17,1,4,4,0,0,0,1,1,4,0,0,0.2353,0.2778,0.2353,2518
"Stassi, Max C HOU",Free Agent,7,0,2,2,0,0,0,1,0,2,0,0,0.2857,0.3750,0.2857,2521
"Sucre, Jesus C SEA",Free Agent,26,1,5,5,0,0,0,3,2,1,0,0,0.1923,0.2414,0.1923,2525
"Pina, Manny C SEA ",Free Agent,5,1,1,0,1,0,0,0,0,1,0,0,0.2000,0.2000,0.4000,2540
"Boscan, J.C. C LAD",Free Agent,9,0,2,2,0,0,0,1,0,3,0,0,0.2222,0.2222,0.2222,2543
"Schmidt, Konrad C CIN",Free Agent,2,0,0,0,0,0,0,1,0,1,0,0,0.0000,0.0000,0.0000,2549
"Hathaway, Aaron C NYM",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Yepez, Jose C ATL ",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Bird, Greg C NYY",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"McCraw, Sean C NYM",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Pedro, Erick San C WAS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Anderson, Dennis C CHC",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Perry, Patrick C BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Knapp, Andrew C PHI",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Deglan, Kellin C TEX",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Leyland, Patrick C DET",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Schneider, John C TOR",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Mercado, Orlando C LAD",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Guevara, Orlando C PHI",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Bock, Brian C BAL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Smith, Ryan D. C CHW",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Davis, Brad C DET",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
