Team Totals 2013 MLB Standard Stats
Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	
Disco Bush Horticulturists	6451	844	1733	1098	360	38	237	874	692	1396	106	47	0.2686	0.3434	0.4464
EVIL EMPIRE	7120	963	1928	1308	368	31	221	829	743	1352	182	60	0.2708	0.3456	0.4243
Floaters and Sinkers	6583	884	1784	1262	314	28	180	758	601	1193	125	40	0.2710	0.3350	0.4092
Old Dirty Bugg	6483	809	1704	1120	379	25	180	783	522	1391	112	49	0.2628	0.3225	0.4123
Orange-a-Tangs	7370	981	1979	1274	413	31	261	972	757	1603	124	48	0.2685	0.3394	0.4392
SA`s	5264	754	1499	1003	304	27	165	648	496	1081	142	27	0.2848	0.3489	0.4468
Shits & Giggles	7084	943	1983	1356	334	36	257	1044	645	1361	129	36	0.2799	0.3418	0.4461
Sofa Kings	6465	931	1760	1085	357	32	286	992	558	1301	160	45	0.2722	0.3332	0.4701
Titty`s Warriors	6718	928	1850	1161	373	29	287	974	554	1445	108	31	0.2754	0.3332	0.4677
User Abuser	6125	840	1668	1088	347	28	205	825	581	1380	114	43	0.2723	0.3402	0.4385
Want-a-be Ghetto All Stars	7404	1078	2035	1381	372	42	240	958	802	1425	184	54	0.2749	0.3478	0.4337
Whiteness	6882	912	1849	1197	419	28	205	832	570	1507	86	36	0.2687	0.3295	0.4271
Team Totals 2013 MLB Standard Stats
Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	
Disco Bush Horticulturists	1329.3	196	109	3	84	67	51	11	1093	441	1256	3.615	1.2766
EVIL EMPIRE	1637.0	237	155	11	94	76	86	8	1503	475	1435	3.304	1.1668
Floaters and Sinkers	1474.7	216	126	9	86	86	66	7	1200	430	1362	3.723	1.2152
Old Dirty Bugg	1115.3	156	74	1	72	56	54	16	1021	353	1046	3.752	1.2543
Orange-a-Tangs	1826.7	257	171	13	113	72	61	12	1633	511	1622	3.341	1.1677
SA`s	1119.0	165	93	2	62	60	46	8	1089	372	1013	3.579	1.2377
Shits & Giggles	1696.0	251	151	8	127	82	77	10	1540	504	1540	3.322	1.2052
Sofa Kings	1147.7	140	96	10	66	55	99	14	1171	336	926	2.831	1.0996
Titty`s Warriors	1154.0	154	79	3	65	53	96	12	987	375	1061	3.338	1.2444
User Abuser	1385.3	206	119	8	93	71	38	5	1180	395	1276	3.495	1.2062
Want-a-be Ghetto All Stars	1858.7	279	187	8	127	74	0	1	1629	507	1685	3.259	1.1793
Whiteness	1137.7	171	87	4	52	67	61	9	899	350	1174	4.525	1.3396
