All Third Basemen 3 Year Averages MLB Standard Stats
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
"Lucas, Ed 3B MIA",Free Agent,351,43,90,71,14,1,4,28,26,78,1,1,0.2564,0.3105,0.3362,466
"Polanco, Placido 3B MIA",Free Agent,383,36,102,85,14,0,3,31,28,33,2,0,0.2663,0.3214,0.3264,468
"Johnson, Elliot 2B ATL",Free Agent,237,26,52,38,8,2,4,23,18,68,15,5,0.2194,0.2763,0.3207,472
"Nelson, Chris 3B LAA",Free Agent,245,28,66,46,12,3,5,31,16,62,2,1,0.2694,0.3144,0.4041,478
"Dominguez, Matt 3B HOU ",Disco Bush Horticulturists,232,24,58,38,10,1,9,32,12,40,0,0,0.2500,0.2932,0.4181,502
"Turner, Justin 3B NYM ",Free Agent,269,27,72,49,19,1,3,29,20,39,3,1,0.2677,0.3288,0.3792,516
"Francisco, Juan 1B MIL ",Free Agent,211,21,49,28,10,1,10,32,16,77,1,1,0.2322,0.2882,0.4313,520
"Uribe, Juan 3B LAD ",Free Agent,273,28,65,44,14,1,6,32,20,59,2,0,0.2381,0.2953,0.3626,530
"Arias, Joaquin 3B SF ",Free Agent,272,24,74,56,11,4,3,26,8,38,3,0,0.2721,0.2962,0.3750,536
"Chisenhall, Lonnie 3B CLE ",Free Agent,214,24,52,32,12,0,8,25,11,44,1,0,0.2430,0.2832,0.4112,546
"LeMahieu, DJ 2B COL ",Free Agent,231,23,65,50,12,2,1,18,11,40,6,3,0.2814,0.3115,0.3636,560
"Gonzalez, Alex 1B MIL",Free Agent,253,27,59,41,11,0,7,26,10,56,1,0,0.2332,0.2642,0.3597,565
"Forsythe, Logan 2B TB ",Free Agent,228,26,55,40,9,2,4,19,20,48,6,1,0.2412,0.3123,0.3509,566
"Baker, Jeff RF TEX ",Free Agent,181,20,47,29,11,1,6,23,13,47,2,0,0.2597,0.3112,0.4309,567
"Nix, Jayson SS TB ",Free Agent,193,24,43,29,9,1,4,19,17,58,8,2,0.2228,0.2944,0.3420,575
"Hairston, Jerry 3B LAD",Free Agent,260,26,66,47,14,1,4,26,23,32,1,1,0.2538,0.3194,0.3615,578
"Lillibridge, Brent 3B TEX ",Free Agent,145,22,31,22,4,0,5,15,10,50,8,3,0.2138,0.2795,0.3448,595
"Flaherty, Ryan 2B BAL",Free Agent,200,22,44,30,6,0,8,23,12,52,2,0,0.2200,0.2778,0.3700,601
"Hannahan, Jack 3B CIN",Free Agent,249,24,60,43,12,1,4,28,28,60,1,1,0.2410,0.3214,0.3454,623
"Cruz, Luis 3B NYY",Free Agent,228,22,54,38,12,0,4,26,8,34,2,0,0.2368,0.2708,0.3421,634
"Amarista, Alexi OF SD",Free Agent,232,24,54,37,11,3,3,23,14,36,4,2,0.2328,0.2782,0.3448,638
"Kelly, Don LF DET",Free Agent,195,27,44,32,5,2,5,19,18,27,2,0,0.2256,0.2949,0.3487,643
"Ciriaco, Pedro SS KC",Free Agent,139,15,38,28,7,2,1,11,6,25,9,2,0.2734,0.3034,0.3741,653
"Herrera, Jonathan SS BOS ",Free Agent,234,24,61,51,7,1,2,14,19,34,4,2,0.2607,0.3176,0.3248,654
"Asche, Cody 3B PHI",Free Agent,162,18,38,24,8,1,5,22,15,43,1,0,0.2346,0.3017,0.3889,677
"Harrison, Josh OF PIT",Free Agent,177,22,44,31,8,3,2,15,5,24,4,1,0.2486,0.2796,0.3616,683
