All First Basemen Projections MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Norton, Greg 1B ATL	Free Agent	155	19	36	24	8	0	4	22	30	40	0	0	0.2323	0.3568	0.3613	916
Pearce, Steve 1B PIT	Free Agent	114	13	27	15	8	1	3	12	10	26	2	0	0.2368	0.2984	0.4035	927
Whitesell, Josh 1B WAS 	Free Agent	128	12	32	22	7	0	3	17	20	33	0	0	0.2500	0.3514	0.3750	930
Carp, Mike 1B SEA	Free Agent	54	7	17	12	3	1	1	5	8	10	0	0	0.3148	0.4032	0.4630	955
Evans, Nick LF NYM	Free Agent	87	12	22	12	8	0	2	8	6	22	0	0	0.2529	0.3011	0.4138	991
Cooper, David 1B TOR	Free Agent	63	7	16	10	4	0	2	9	5	15	0	0	0.2540	0.3088	0.4127	1008
Aubrey, Michael 1B BAL	Free Agent	45	5	12	8	2	0	2	6	3	5	0	0	0.2667	0.3125	0.4444	1022
Hosmer, Eric 1B KC	Floaters and Sinkers	36	5	10	5	3	1	1	7	4	6	0	0	0.2778	0.3500	0.5000	1028
Morse, Mike 1B WAS	Free Agent	26	2	8	5	2	0	1	4	2	8	0	0	0.3077	0.3571	0.5000	1053
Everidge, Tommy 1B OAK 	Free Agent	85	13	19	11	6	0	2	7	8	17	0	0	0.2235	0.2903	0.3647	1101
Wood, Jason 1B FLA	Free Agent	40	4	9	6	2	0	1	9	3	13	0	0	0.2250	0.2791	0.3500	1109
LaHair, Bryan 1B CHC 	Free Agent	45	5	11	9	1	0	1	3	4	13	0	0	0.2444	0.3061	0.3333	1138
Barker, Kevin 1B CIN	Free Agent	32	2	9	6	3	0	0	3	3	9	0	0	0.2812	0.3429	0.3750	1145
Tracy, Andy 1B PHI 	Free Agent	39	3	10	7	2	1	0	5	3	11	0	0	0.2564	0.3095	0.3590	1157
Miranda, Juan 1B NYY	Free Agent	6	1	2	2	0	0	0	1	1	3	0	0	0.3333	0.4286	0.3333	1177
Rosales, Adam 3B CIN	Free Agent	130	12	28	20	6	0	2	10	14	25	1	1	0.2154	0.2917	0.3077	1193
Guzman, Jesus 1B SF	Free Agent	20	0	5	5	0	0	0	0	0	3	0	0	0.2500	0.2500	0.2500	1257
Gimenez, Chris LF CLE 	Free Agent	111	12	16	11	2	0	3	7	17	36	1	1	0.1441	0.2578	0.2432	1359
Botts, Jason 1B CHW 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1400
Alonso, John 1B MIL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1403
Koshansky, Joe 1B MIL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1417
Byrne, Bryan 1B ARI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1425
Navarro, Efren 1B ANA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1469
Gac, Ian 1B TEX	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1553
Bladergroen, Ian 1B BOS	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1566
Colamarino, Brant 1B TOR	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1587
Bates, Aaron 1B BOS 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1614
Cota, Jesus 1B ARI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1619
Limonta, Johan 1B SEA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1667
Wabick, David 1B NYM	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1681
Stokes, Jason F. 1B OAK	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1689
Richard, Chris 1B TB 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1696
Jimenez, Luis 1B WAS	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1708
Thorman, Scott 1B KC 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1724
Von Schell, Tyler 1B SF	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1734
Fleisher, Mark 1B BAL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1740
Nicolas, Cesar 1B ARI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1742
Clark, Howie R. 1B TOR	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1780
Koonce, Graham 1B KC	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1789
Yount, Dustin 1B BAL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1815
Snyder, Brandon 1B BAL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1833
Bear, Ryan 1B FLA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1853
Brazell, Craig 1B BAL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1886
Durham, Miles G. 1B PIT	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1890
Dopirak, Brian 1B TOR	Blue Crew	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1913
Hunt, Kelly 1B DET	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1971
Duda, Lucas 1B NYM	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1980
Brito, Javier 1B ARI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2013
Jenkins, Andrew 1B FLA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2036
Calfee, Brenton 1B LA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2077
Saccomanno, Mark 1B HOU	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2080
Rogowski, Casey 1B OAK	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2169
Bankston, Wes 1B CIN	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2173
Davenport, Ron 1B TOR	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2188
Bailey, Jeff 1B ARI 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2191
Bruce, Cole 1B LA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2197
Eylward, Mike 1B ANA	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2203
Hansen, Bryan 1B PHI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2207
Rivera, Carlos 1B COL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2285
Parmelee, Chris 1B MIN 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2290
Brown, Jordan 1B CLE	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2338
Carlin, Michael 1B PIT	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2343
Broadway, Larry 1B PIT	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2356
Gemoll, Brandon 1B MIL	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2373
Sakamoto, Kent 1B PIT	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2379
Gold, Nate 1B TEX	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2407
Abreu, Michel 1B NYM	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2425
Jackson, Steve 1B OAK	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2471
Young, Walter 1B SD	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2478
Johnson, Dan 1B TB 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2485
Shelton, Chris 1B HOU 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2490
Myrow, Brian 1B PIT 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2500
Lopez, Baltazar 1B ARI	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2510
