Team Totals 2010 MLB Standard Stats																
Player	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
BC	7436	1077	2047	1290	462	42	253	1022	834	1304	159	62	0.2753	0.3509	0.4508	5539.0
DBH	6914	906	1953	1283	418	29	223	955	581	1219	125	46	0.2825	0.3394	0.4481	8836.0
EE	6512	952	1760	1222	296	34	208	848	633	1192	191	59	0.2703	0.3391	0.4220	3201.0
FS	6206	892	1670	1057	351	33	229	868	660	1270	109	44	0.2691	0.3433	0.4470	18407.0
GA	6598	1071	1883	1163	403	39	278	1023	789	1374	145	57	0.2854	0.3654	0.4847	7768.0
SAs	6653	973	1904	1207	397	33	267	1018	765	1292	119	48	0.2862	0.3623	0.4762	5032.0
SG	6688	859	1789	1202	376	47	164	757	727	1412	149	54	0.2675	0.3412	0.4113	4708.0
SK	6651	975	1774	1134	324	40	276	1043	764	1489	123	48	0.2667	0.3457	0.4520	3820.0
TW	6587	866	1733	1132	339	31	231	925	547	1301	87	31	0.2631	0.3249	0.4292	14465.0
UA	7240	1042	2047	1342	413	44	248	1024	651	1363	109	47	0.2827	0.3454	0.4547	10023.0
WGAS	7102	1051	1941	1275	369	53	244	948	654	1274	166	49	0.2733	0.3389	0.4433	12711.0
W	7258	1001	1952	1278	413	24	237	1006	758	1382	141	50	0.2689	0.3423	0.4304	8628.0
Team Totals 2010 MLB Standard Stats																
Player	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank		
BC	1559.3	199	132	7	93	78	117	24	1293	500	1393	3.261	1.2140	1161.0		
DBH	1585.7	238	143	7	110	84	51	10	1307	556	1443	3.570	1.2607	9136.0		
EE	1160.0	134	88	9	56	55	108	17	1113	341	964	2.941	1.1250	941.0		
FS	1483.0	216	115	3	94	79	80	11	1289	475	1401	3.593	1.2650	2598.0		
GA	1502.0	207	122	6	110	68	87	11	1357	544	1381	3.643	1.2816	6066.0		
SAs	1425.7	199	113	8	88	78	78	11	1187	453	1307	3.560	1.2345	9930.0		
SG	1569.0	216	135	16	125	82	94	12	1431	498	1397	3.235	1.2078	12820.0		
SK	1157.0	145	82	6	72	65	71	16	875	387	1073	3.539	1.2619	3641.0		
TW	1280.7	193	95	2	82	80	30	7	1081	510	1256	4.062	1.3790	4468.0		
UA	1789.3	252	157	12	107	103	55	8	1400	534	1711	3.868	1.2547	5945.0		
WGAS	1836.7	292	163	21	125	95	1	1	1372	592	1813	3.940	1.3094	3317.0		
W	1686.7	245	159	15	96	100	30	5	1344	478	1581	3.596	1.2208	3545.0		
