All Catchers Projections MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Ross, David C ATL	Free Agent	194	23	43	25	9	0	9	24	28	57	0	0	0.2216	0.3198	0.4072	827
Redmond, Mike C MIN	Free Agent	179	15	50	42	8	0	0	19	11	18	0	0	0.2793	0.3211	0.3240	856
Lo Duca, Paul C FLA	Free Agent	167	17	44	35	7	0	2	19	11	12	0	1	0.2635	0.3090	0.3413	865
Bard, Josh C SEA 	Free Agent	182	16	46	31	12	0	3	21	20	29	0	0	0.2527	0.3267	0.3681	893
Whiteside, Eli C SF 	Free Agent	160	19	40	28	8	1	3	16	12	38	0	0	0.2500	0.3023	0.3688	908
Conger, Hank C ANA	Free Agent	150	15	37	23	9	1	4	16	12	25	0	0	0.2467	0.3025	0.4000	919
Hanigan, Ryan C CIN	Free Agent	115	11	31	26	3	0	2	7	16	14	0	0	0.2696	0.3588	0.3478	967
LaRue, Jason C STL 	Free Agent	125	12	29	16	9	0	4	12	15	31	1	1	0.2320	0.3143	0.4000	973
Treanor, Matt C MIL 	Free Agent	117	10	30	24	4	0	2	13	11	26	0	0	0.2564	0.3203	0.3419	976
Jaramillo, Jason C PIT	Free Agent	103	10	26	17	7	0	2	13	8	16	0	0	0.2524	0.3063	0.3786	979
Blanco, Henry C SD 	Free Agent	125	10	31	22	6	0	3	13	11	28	0	0	0.2480	0.3088	0.3680	981
Pena, Brayan C KC	Free Agent	71	7	19	13	4	0	2	7	4	8	0	0	0.2676	0.3067	0.4085	992
Skipworth, Kyle C FLA	Free Agent	49	6	12	7	3	0	2	7	4	17	1	0	0.2449	0.3019	0.4286	994
Ausmus, Brad C LA	Free Agent	154	14	37	27	7	1	2	14	16	32	1	1	0.2403	0.3118	0.3377	1005
Nieves, Wil C WAS	Free Agent	154	14	38	31	6	0	1	18	11	28	0	0	0.2468	0.2970	0.3052	1014
Norris, Derek C WAS	Free Agent	50	6	13	8	3	0	2	7	4	10	0	0	0.2600	0.3148	0.4400	1017
Rivera, Mike C MIL 	Free Agent	60	6	15	9	4	0	2	10	7	14	0	0	0.2500	0.3284	0.4167	1018
Barrett, Michael C TOR 	Free Agent	114	10	27	19	5	0	3	12	7	20	0	0	0.2368	0.2810	0.3596	1032
Montz, Luke C NYM 	Free Agent	70	7	18	14	3	0	1	10	6	22	0	0	0.2571	0.3158	0.3429	1035
Ramos, Wilson C MIN	Free Agent	55	7	15	10	4	0	1	5	5	15	0	0	0.2727	0.3333	0.4000	1037
Montero, Jesus C NYY	Grape Apes	65	5	17	12	3	0	2	6	5	13	0	0	0.2615	0.3143	0.4000	1038
Molina, Jose C NYY	Free Agent	199	22	46	33	11	0	2	16	10	41	1	0	0.2312	0.2679	0.3166	1041
Phillips, Paul C COL	Free Agent	45	5	12	9	2	0	1	7	4	6	0	0	0.2667	0.3265	0.3778	1045
Richardson, Kevin C TEX 	Free Agent	45	7	12	7	4	0	1	5	3	13	0	0	0.2667	0.3125	0.4222	1046
Morales, Jose C MIN	Free Agent	41	5	13	11	2	0	0	2	5	7	0	0	0.3171	0.3913	0.3659	1050
Alfonzo, Eliezer C SEA 	Free Agent	79	6	21	14	6	0	1	7	4	23	0	0	0.2658	0.3012	0.3797	1051
Cervelli, Francisco C NYY	Free Agent	50	6	14	12	2	0	0	6	1	7	0	2	0.2800	0.2941	0.3200	1059
Romine, Austin C NYY	Free Agent	55	5	15	11	3	0	1	4	4	11	0	0	0.2727	0.3220	0.3818	1064
Ryan, Dusty C SD 	Free Agent	35	4	9	6	2	0	1	6	4	12	0	0	0.2571	0.3333	0.4000	1076
Burke, Jamie C WAS 	Free Agent	64	8	16	12	3	0	1	6	5	11	0	0	0.2500	0.3043	0.3438	1080
Hayes, Brett C FLA	Free Agent	11	5	3	1	1	0	1	2	0	4	0	0	0.2727	0.2727	0.6364	1090
Riggans, Shawn C TB 	Free Agent	53	8	11	7	2	0	2	9	4	11	0	0	0.2075	0.2632	0.3585	1095
Moore, Adam C SEA	Free Agent	23	4	5	3	1	0	1	2	0	7	1	0	0.2174	0.2174	0.3913	1105
Hester, John C ARI	Free Agent	28	4	7	4	2	0	1	4	2	7	0	0	0.2500	0.3000	0.4286	1107
Moeller, Chad C BAL 	Free Agent	59	7	14	9	4	0	1	7	4	13	0	0	0.2373	0.2857	0.3559	1111
Diaz, Robinzon C DET 	Free Agent	44	3	12	9	3	0	0	5	2	3	0	0	0.2727	0.3043	0.3409	1122
Rabelo, Mike C FLA	Free Agent	92	8	22	16	4	1	1	9	5	22	0	0	0.2391	0.2784	0.3370	1124
Thigpen, Curtis C OAK	Free Agent	39	5	9	7	2	0	0	4	3	8	1	0	0.2308	0.2857	0.2821	1132
Hoover, Paul C PHI 	Free Agent	38	4	10	7	3	0	0	4	2	10	0	0	0.2632	0.3000	0.3421	1140
Bennett, Gary C LA	Free Agent	59	4	14	10	3	0	1	7	3	5	0	0	0.2373	0.2742	0.3390	1146
Hernandez, Michel C BAL	Free Agent	63	7	15	11	4	0	0	7	6	8	0	1	0.2381	0.3043	0.3016	1166
Tatum, Craig C BAL	Free Agent	75	5	18	14	3	0	1	6	5	11	0	0	0.2400	0.2875	0.3200	1169
Quintero, Humberto C HOU	Free Agent	126	10	29	22	5	0	2	9	5	29	0	0	0.2302	0.2595	0.3175	1176
Phillips, Kyle C TOR	Free Agent	18	1	5	2	3	0	0	2	0	4	0	0	0.2778	0.2778	0.4444	1180
Chavez, Raul C TOR 	Free Agent	103	8	24	18	5	0	1	9	5	14	0	0	0.2330	0.2685	0.3107	1185
Bowen, Rob C OAK	Free Agent	82	9	17	10	5	0	2	9	10	33	0	1	0.2073	0.2935	0.3415	1190
Bako, Paul C PHI	Free Agent	190	18	41	31	6	1	3	17	21	57	0	1	0.2158	0.2938	0.3053	1221
Towles, J.R. C HOU 	Free Agent	78	9	15	9	4	0	2	10	7	19	0	0	0.1923	0.2588	0.3205	1232
Cash, Kevin C NYY	Free Agent	65	5	14	10	3	0	1	7	7	23	0	0	0.2154	0.2917	0.3077	1236
Jaso, John C TB	Free Agent	5	1	1	1	0	0	0	0	0	1	0	0	0.2000	0.2000	0.2000	1242
Quiroz, Guillermo C SEA	Free Agent	53	4	11	8	2	0	1	6	4	13	0	0	0.2075	0.2632	0.3019	1244
Johnson, Rob C SEA 	Free Agent	97	8	20	12	6	1	1	10	9	22	1	0	0.2062	0.2736	0.3196	1245
Lucy, Donny C CHW	Free Agent	5	0	1	1	0	0	0	0	0	2	0	0	0.2000	0.2000	0.2000	1252
Brown, Dusty C BOS	Free Agent	2	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1260
Pagnozzi, Matt C STL	Free Agent	3	1	0	0	0	0	0	0	1	0	0	0	0.0000	0.2500	0.0000	1263
Hill, Koyie C CHC	Free Agent	122	11	26	18	6	1	1	12	12	36	0	0	0.2131	0.2836	0.3033	1273
Morton, Colt C SEA	Free Agent	5	1	0	0	0	0	0	0	1	2	0	0	0.0000	0.1667	0.0000	1277
Paul, Josh C TB	Free Agent	35	3	7	6	1	0	0	3	2	10	0	0	0.2000	0.2432	0.2286	1279
Budde, Ryan C ANA	Free Agent	8	0	1	1	0	0	0	0	0	3	0	0	0.1250	0.1250	0.1250	1280
Ellis, A.J. C LA	Free Agent	6	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1292
Sammons, Clint C ATL	Free Agent	23	1	4	4	0	0	0	1	2	5	0	0	0.1739	0.2400	0.1739	1297
Molina, Gustavo C WAS	Free Agent	11	0	1	1	0	0	0	0	1	3	0	0	0.0909	0.1667	0.0909	1298
Miller, Corky C CIN	Free Agent	61	5	10	7	2	0	1	8	6	14	0	0	0.1639	0.2388	0.2459	1315
Carlin, Luke C ARI 	Free Agent	56	8	8	6	2	0	0	4	6	18	0	0	0.1429	0.2258	0.1786	1347
Gimenez, Chris LF CLE 	Free Agent	111	12	16	11	2	0	3	7	17	36	1	1	0.1441	0.2578	0.2432	1359
Hathaway, Aaron C NYM	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1406
