All First Basemen 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Brown, Jordan 1B MIA"	Free Agent	29	3	7	5	2	0	0	1	1	3	0	0	0.2414	0.2667	0.3103	1278
"Jacobs, Mike 1B SEA"	Free Agent	14	2	3	2	1	0	0	1	2	4	0	0	0.2143	0.3125	0.2857	1325
"Hoffpauir, Micah 1B CHC"	Free Agent	17	2	3	2	1	0	0	2	2	5	0	0	0.1765	0.2632	0.2353	1346
"Quinlan, Robb 1B PHI"	Free Agent	11	1	1	0	1	0	0	1	1	2	1	0	0.0909	0.1667	0.1818	1353
"Hamilton, Mark 1B BOS"	Free Agent	20	2	4	3	1	0	0	1	2	7	0	0	0.2000	0.2727	0.2500	1376
"Atkins, Garrett 1B PIT"	Free Agent	47	2	10	8	2	0	0	3	4	10	0	0	0.2128	0.2745	0.2553	1377
"Hill, Steve 1B STL"	Free Agent	4	1	1	1	0	0	0	0	0	1	0	0	0.2500	0.2500	0.2500	1378
"Satin, Josh 1B NYM"	Free Agent	13	2	2	2	0	0	0	1	0	6	0	0	0.1538	0.1538	0.1538	1388
"McAnulty, Paul 1B LAA"	Free Agent	7	1	1	1	0	0	0	1	1	4	0	0	0.1429	0.2500	0.1429	1394
"Hughes, Rhyne 1B BAL "	Free Agent	16	1	3	2	1	0	0	1	1	6	0	0	0.1875	0.2353	0.2500	1440
"Jurries, James 1B ATL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1441
"Richard, Chris 1B TB"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1441
"Paulk, Michael 1B COL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1441
"Caseres, Steven 1B LAD"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1441
