2012 MLB Standard Stats
Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	
Blue Crew	6857	989	1930	1251	367	36	276	1025	690	1458	203	72	0.2815	0.3492	0.4662
Disco Bush Horticulturists	6649	934	1816	1195	366	45	210	864	626	1391	192	42	0.2731	0.3376	0.4365
Evil Empire	5883	780	1554	962	304	30	258	840	553	1282	67	31	0.2642	0.3314	0.4576
Floaters and Sinkers	6930	992	1900	1185	402	40	273	994	716	1407	192	45	0.2742	0.3469	0.4619
Orange-a-Tangs	6382	878	1734	1097	363	42	232	843	559	1350	132	51	0.2717	0.3330	0.4508
SA`s	6569	987	1877	1183	392	50	252	940	686	1310	130	40	0.2857	0.3583	0.4757
Shits & Giggles	6696	982	1882	1218	343	42	279	1004	609	1357	101	39	0.2811	0.3421	0.4698
Sofa Kings	6330	967	1771	1129	356	22	264	861	642	1255	215	56	0.2798	0.3494	0.4681
Titty`s Warriors	6808	951	1867	1200	379	49	239	935	565	1358	157	40	0.2742	0.3331	0.4496
User Abuser	6940	903	1906	1197	395	40	274	1025	606	1390	123	41	0.2746	0.3351	0.4615
Want-a-be Ghetto All Stars	6004	866	1585	1092	303	29	161	713	527	1200	174	50	0.2640	0.3253	0.4046
Whiteness	6679	940	1769	1150	337	41	241	913	700	1502	123	53	0.2649	0.3401	0.4358
2012 MLB Standard Stats
Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	
Blue Crew	1793.7	278	168	6	106	103	23	3	1565	525	1676	3.713	1.2271
Disco Bush Horticulturists	1630.0	256	129	6	102	94	6	4	1431	525	1573	4.296	1.2871
Evil Empire	1432.3	196	119	9	97	71	95	11	1467	414	1259	3.393	1.1680
Floaters and Sinkers	1499.3	231	135	6	98	72	25	1	1223	455	1377	3.662	1.2219
Orange-a-Tangs	1119.7	133	81	3	67	58	105	25	1134	363	969	3.553	1.1896
SA`s	1745.3	260	144	10	127	81	56	7	1572	672	1517	3.677	1.2542
Shits & Giggles	1629.7	233	139	10	106	84	53	11	1472	467	1444	3.429	1.1726
Sofa Kings	1414.3	187	117	13	94	64	71	6	1241	359	1237	3.086	1.1284
Titty`s Warriors	1386.0	178	104	3	87	73	147	17	1191	355	1333	3.617	1.2179
User Abuser	1721.0	253	133	6	99	106	74	14	1409	550	1667	3.781	1.2882
Want-a-be Ghetto All Stars	1370.3	209	118	6	82	85	24	4	1189	507	1289	4.170	1.3106
Whiteness	1683.3	243	150	11	104	91	61	9	1380	454	1604	3.711	1.2226
