All Outfielders 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Davis, Rajai CF TOR"	Sofa Kings	431	58	113	80	24	4	5	41	23	81	43	12	0.2622	0.3037	0.3712	93
"Cuddyer, Michael RF COL"	Orange-a-Tangs	499	72	136	84	32	3	17	70	46	89	9	2	0.2725	0.3351	0.4509	97
"Gordon, Alex LF KC "	Orange-a-Tangs	498	76	142	89	35	3	15	60	58	114	9	6	0.2851	0.3630	0.4578	98
"Werth, Jayson RF WAS "	Evil Empire	472	72	128	78	31	2	17	58	66	121	13	3	0.2712	0.3643	0.4534	99
"Beltran, Carlos CF STL "	Floaters and Sinkers	429	61	120	72	25	3	20	69	55	84	7	3	0.2797	0.3612	0.4918	102
"Markakis, Nick RF BAL "	Floaters and Sinkers	563	70	165	115	35	2	13	62	59	73	7	2	0.2931	0.3613	0.4316	105
"Young, Delmon LF PHI "	Free Agent	539	62	150	101	31	1	17	83	24	93	2	2	0.2783	0.3113	0.4341	107
"Ellsbury, Jacoby CF BOS"	Free Agent	347	57	103	66	23	2	12	45	25	50	20	6	0.2968	0.3475	0.4784	113
"Jones, Garrett 1B PIT"	Free Agent	497	61	126	72	31	2	21	77	45	110	5	2	0.2535	0.3133	0.4507	121
"Morse, Michael LF SEA "	Whiteness	398	54	118	74	22	1	21	66	25	96	1	2	0.2965	0.3464	0.5151	122
"Rasmus, Colby CF TOR "	Titty`s Warriors	500	78	120	71	24	5	20	65	53	138	7	4	0.2400	0.3143	0.4280	123
"Murphy, David LF TEX "	Free Agent	427	55	124	86	23	2	13	57	44	69	12	4	0.2904	0.3558	0.4450	129
"Francoeur, Jeff RF KC"	Free Agent	539	62	139	90	30	3	16	67	34	108	11	7	0.2579	0.3078	0.4137	130
"Kubel, Jason LF ARI "	Old Dirty Bugg	463	60	119	70	25	3	21	80	48	118	1	1	0.2570	0.3269	0.4600	132
"Gardner, Brett CF NYY "	Orange-a-Tangs	339	64	91	68	14	5	4	29	48	67	33	8	0.2684	0.3639	0.3746	133
"Dunn, Adam 1B CHW "	Free Agent	504	69	107	52	24	1	30	80	86	199	1	1	0.2123	0.3311	0.4425	134
"Venable, Will RF SD"	Free Agent	393	57	99	65	17	7	10	47	39	105	26	5	0.2519	0.3227	0.4071	135
"Ibanez, Raul LF SEA"	Free Agent	493	63	126	76	29	3	18	76	45	94	3	1	0.2556	0.3174	0.4361	136
"Ross, Cody CF ARI"	Free Agent	469	65	122	75	29	1	17	66	43	115	5	2	0.2601	0.3250	0.4350	139
"Fowler, Dexter CF COL "	SA`s	458	76	126	81	24	13	8	45	64	121	12	7	0.2751	0.3669	0.4367	142
"Quentin, Carlos LF SD "	Evil Empire	386	57	97	48	26	1	22	70	40	69	1	1	0.2513	0.3489	0.4948	146
"Wells, Vernon CF LAA "	Free Agent	446	58	109	62	23	2	22	61	29	68	6	3	0.2444	0.2917	0.4529	149
"Maybin, Cameron CF SD "	Want-a-be Ghetto All Stars	438	65	109	79	17	5	8	38	37	109	25	6	0.2489	0.3119	0.3653	150
"Ludwick, Ryan RF CIN"	Free Agent	467	57	118	72	26	1	19	75	47	114	0	2	0.2527	0.3263	0.4347	155
"Abreu, Bobby RF LAD"	Free Agent	431	57	109	71	27	1	10	54	67	100	17	6	0.2529	0.3526	0.3898	157
"Boesch, Brennan RF DET "	Free Agent	454	59	118	78	24	2	14	58	34	95	6	2	0.2599	0.3165	0.4141	165
"Trumbo, Mark LF LAA "	Shits & Giggles	366	44	95	57	17	1	20	61	21	94	4	3	0.2596	0.3036	0.4754	170
"Gomez, Carlos CF MIL "	Sofa Kings	312	49	77	49	14	3	11	33	17	78	24	4	0.2468	0.2946	0.4167	173
"Gomes, Jonny LF BOS"	Free Agent	367	55	91	58	15	1	17	59	44	111	5	2	0.2480	0.3388	0.4332	174
"Smith, Seth LF OAK "	Free Agent	406	59	105	60	25	5	15	54	44	86	5	2	0.2586	0.3341	0.4557	175
"Damon, Johnny LF CLE"	Free Agent	443	62	115	77	24	5	9	48	46	70	11	2	0.2596	0.3320	0.3973	181
"Joyce, Matt RF TB "	Free Agent	359	51	92	52	22	3	15	58	48	88	6	2	0.2563	0.3470	0.4596	182
"Span, Denard CF WAS "	Free Agent	476	64	129	96	24	6	3	38	45	57	16	4	0.2710	0.3346	0.3655	189
"Torres, Andres CF SF"	Free Agent	410	60	100	59	28	5	8	39	50	104	19	6	0.2439	0.3297	0.3951	194
"Jay, Jon LF STL"	Free Agent	395	58	119	88	22	3	6	35	29	67	9	6	0.3013	0.3594	0.4177	198
"Huff, Aubrey 1B SF"	Free Agent	389	51	103	66	22	2	13	51	49	64	4	1	0.2648	0.3482	0.4319	216
"Brantley, Michael CF CLE"	User Abuser	433	55	117	85	23	4	5	43	36	57	12	5	0.2702	0.3249	0.3764	218
"Bonifacio, Emilio CF TOR "	Sofa Kings	330	46	92	73	12	5	2	19	34	74	27	5	0.2788	0.3451	0.3636	220
"DeJesus, David LF CHC"	Free Agent	433	61	117	80	24	5	8	44	47	74	5	5	0.2702	0.3503	0.4042	223
"Wigginton, Ty 1B STL"	Want-a-be Ghetto All Stars	432	52	105	68	20	1	16	55	42	94	3	1	0.2431	0.3140	0.4051	226
"Craig, Allen 1B STL "	Sofa Kings	261	40	78	47	19	0	12	50	20	52	2	1	0.2989	0.3474	0.5096	230
"Morgan, Nyjer CF MIL"	Free Agent	392	55	104	83	14	5	2	26	26	74	20	9	0.2653	0.3256	0.3418	238
"Colvin, Tyler LF COL "	Evil Empire	328	46	81	42	18	6	15	49	22	92	4	1	0.2470	0.2975	0.4756	245
"Parra, Gerardo LF ARI "	Free Agent	398	48	110	79	20	5	6	37	33	78	10	3	0.2764	0.3349	0.3970	252
