All Shortstops   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Leury Garcia LF | CHW,323,37,84,59,14,4,7,42,17,86,16,5,.260,.303,.393,435
W ,Erik Gonzalez 2B | PIT ,465,52,116,78,26,4,8,50,30,116,8,3,.249,.298,.374,438
W ,Ehire Adrianza SS | MIN,330,47,88,58,20,2,8,45,23,81,7,1,.267,.313,.412,440
W ,Jordy Mercer SS | DET,487,52,123,75,34,3,11,51,44,118,2,1,.253,.319,.403,445
W ,Wilmer Difo 2B | WAS,320,48,82,55,14,6,7,40,27,62,8,2,.256,.315,.403,461
W ,Brock Holt 2B | BOS ,316,43,85,59,17,2,7,40,33,68,7,4,.269,.345,.402,463
W ,Yairo Munoz SS | STL,317,38,85,57,18,1,9,41,29,72,6,4,.268,.335,.416,467
W ,Miguel Rojas SS | MIA ,399,42,103,77,16,1,9,45,25,63,4,2,.258,.309,.371,474
W ,Blake Trahan SS | CIN,325,39,87,60,16,2,9,37,25,67,6,2,.268,.324,.412,479
W ,Freddy Galvis SS | TOR ,320,38,84,53,19,3,9,40,24,68,6,3,.263,.317,.425,482
W ,Ronald Torreyes 2B | MIN,337,38,96,68,22,1,5,39,13,59,3,0,.285,.311,.401,505
W ,Greg Garcia 2B | SD,376,40,96,67,19,3,7,36,33,79,7,2,.255,.322,.378,507
W ,Ronny Rodriguez SS | DET ,322,35,80,53,16,2,9,37,23,70,5,2,.248,.298,.394,522
W ,Kevin Newman SS | PIT ,319,36,80,56,15,2,7,35,21,66,5,2,.251,.302,.376,535
W ,Addison Russell SS | CHC ,360,45,82,57,17,2,6,34,30,100,3,0,.228,.290,.336,570
W ,Tzu-Wei Lin SS | BOS,197,29,54,34,12,2,6,27,16,39,3,1,.274,.330,.447,575
W ,Max Moroff 2B | CLE,188,30,46,29,9,2,6,28,25,43,3,1,.245,.339,.410,597
W ,Eric Stamets SS | CLE,159,24,41,26,9,1,5,23,15,32,3,1,.258,.324,.421,643
W ,Dylan Moore SS | SEA,191,24,50,33,10,2,5,22,14,42,3,1,.262,.317,.414,644
W ,Pat Valaika 2B | COL,190,24,46,30,8,1,7,23,15,44,2,1,.242,.299,.405,651
W ,Tyler Saladino SS | MIL ,192,24,48,35,9,1,3,25,13,45,4,3,.250,.300,.354,660
W ,Abiatal Avelino SS | SF,193,22,51,36,9,1,5,20,13,42,3,1,.264,.312,.399,662
W ,Alex Blandino 2B | CIN ,192,25,51,37,9,1,4,19,17,43,3,1,.266,.330,.385,663
W ,Hanser Alberto SS | BAL ,192,22,49,33,10,1,5,20,14,44,3,1,.255,.308,.396,673
W ,Richard Urena SS | TOR,190,23,49,34,11,1,3,20,15,44,4,2,.258,.314,.374,682
W ,Javy Guerra SS | SD,191,21,48,32,9,2,5,21,14,44,3,1,.251,.304,.398,683
W ,Sean Rodriguez 2B | PIT ,124,17,30,19,6,1,4,16,14,37,2,0,.242,.321,.403,741
W ,Kaleb Cowart 3B | DET ,188,20,39,24,12,1,2,20,18,55,6,2,.207,.282,.314,746
W ,Kelby Tomlinson 2B | ARI,175,18,41,27,7,4,3,14,16,38,3,2,.234,.304,.371,764
W ,Juan Ciriaco SS | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Miguelangel Sierra SS | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Sean Kazmar SS | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Drew Maggi SS | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Pedro Florimon SS | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nicky Lopez SS | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Justin Twine SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cliff Pennington 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Carter Kieboom SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cole Tucker SS | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ivan Castillo SS | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Antonio Pinero SS | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Emmanuel Marrero SS | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gioskar Amaya SS | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ronny Mauricio SS | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
