All Second Basemen   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Joe Panik 2B  SF"	492	62	137	98	25	5	9	48	42	52	5	3	.279	.338	.405	389
"David Fletcher 2B  LAA"	429	60	120	84	25	3	8	46	34	65	7	1	.280	.336	.408	394
"Jason Kipnis 2B  CLE"	455	59	104	62	26	2	14	63	52	106	7	1	.229	.312	.387	397
"Yolmer Sanchez 3B  CHW "	483	57	124	81	27	7	9	53	40	109	10	6	.257	.320	.398	399
"Brandon Drury 3B  TOR "	488	46	122	68	35	2	17	67	35	111	2	1	.250	.308	.434	401
"Jose Pirela 2B  SD"	426	58	116	77	28	3	8	44	30	83	7	3	.272	.324	.408	413
"Daniel Descalso 2B  CHC "	379	57	93	55	22	4	12	59	62	109	2	1	.245	.352	.419	417
"Charlie Culberson LF  ATL "	316	46	85	52	19	2	12	45	31	87	5	1	.269	.338	.456	424
"Enrique Hernandez CF  LAD "	320	48	80	47	15	3	15	43	35	71	4	1	.250	.324	.456	431
"Leury Garcia LF  CHW"	323	37	84	59	14	4	7	42	17	86	16	5	.260	.303	.393	435
"Chad Pinder LF  OAK"	312	46	83	51	14	2	16	41	26	87	1	1	.266	.334	.478	436
"Franklin Barreto 2B  OAK "	320	46	84	52	19	2	11	44	26	77	6	2	.263	.324	.438	437
"Erik Gonzalez 2B  PIT "	465	52	116	78	26	4	8	50	30	116	8	3	.249	.298	.374	438
"Ehire Adrianza SS  MIN"	330	47	88	58	20	2	8	45	23	81	7	1	.267	.313	.412	440
"Chris Owings RF  KC "	320	42	80	49	21	1	9	41	22	85	11	2	.250	.302	.406	451
"Isiah Kiner-Falefa 3B  TEX "	383	52	101	75	21	1	4	45	29	76	7	5	.264	.324	.355	455
"Wilmer Difo 2B  WAS"	320	48	82	55	14	6	7	40	27	62	8	2	.256	.315	.403	461
