All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Brandon Woodruff RP  MIL "	135	29	29	8	0	8	6	0	0	118	50	128	4.40	1.32	541
"Craig Stammen RP  SD"	80	71	0	0	0	3	1	1	0	94	23	74	3.26	1.21	555
"David Hernandez RP  CIN"	70	74	0	0	0	3	1	1	0	78	18	60	3.09	1.11	556
"Blake Parker RP  MIN "	49	55	0	0	0	2	1	12	2	61	15	45	3.47	1.22	557
"Diego Castillo RP  TB"	58	51	0	0	0	4	4	1	0	74	21	41	3.57	1.07	558
"Corbin Burnes RP  MIL"	41	23	11	5	0	5	4	0	0	44	11	30	2.59	0.98	569
"Lou Trivino RP  OAK"	54	53	0	0	0	4	1	1	0	68	26	42	2.80	1.24	574
"Dylan Floro RP  LAD"	58	62	0	0	0	7	2	1	0	61	25	61	3.07	1.47	576
"John Brebbia RP  STL"	62	65	0	0	0	3	3	1	0	76	19	55	3.18	1.19	578
"Yonny Chirinos RP  TB"	85	24	17	6	0	5	5	0	0	77	27	80	3.68	1.25	579
"Yusmeiro Petit RP  OAK"	62	48	0	0	0	3	1	1	0	62	13	54	3.18	1.07	582
"Jesse Chavez RP  TEX"	117	72	0	0	0	3	2	1	0	115	30	120	4.00	1.28	585
"Jeurys Familia RP  NYM"	47	52	0	0	0	4	5	6	1	57	21	42	3.40	1.32	587
"Yoshihisa Hirano RP  ARI"	54	69	0	0	0	3	1	4	1	55	21	45	2.80	1.21	589
"Justin Miller RP  WAS"	44	50	0	0	0	6	1	2	0	57	16	40	4.09	1.27	590
"Pat Neshek RP  PHI"	49	64	0	0	0	3	1	2	0	52	9	49	2.57	1.18	604
"Chris Devenski RP  HOU "	59	62	0	0	0	4	2	1	0	74	20	51	4.12	1.20	607
"Joakim Soria RP  OAK"	47	54	0	0	0	3	1	6	1	64	16	46	3.80	1.31	609
"Hector Rondon RP  HOU"	54	67	0	0	0	4	3	5	1	69	20	58	3.79	1.43	612
"Jared Hughes RP  CIN"	61	67	0	0	0	3	2	1	0	54	23	53	2.63	1.23	614
"Ryan Tepera RP  TOR "	74	75	0	0	0	3	2	3	1	87	32	66	4.01	1.32	616
"Bryan Mitchell SP  SD"	140	29	29	10	0	7	10	0	0	110	55	143	4.31	1.41	617
"Pedro Baez RP  LAD "	54	71	0	0	0	4	2	1	0	68	27	49	3.13	1.39	618
"Richard Rodriguez RP  PIT"	49	52	0	0	0	3	3	1	0	69	16	47	3.26	1.27	620
"Ty Buttrey RP  LAA"	64	61	0	0	0	2	1	6	1	77	23	63	3.80	1.34	621
"Carl Edwards RP  CHC "	48	63	0	0	0	3	2	2	0	75	34	33	3.35	1.39	623
"Reyes Moronta RP  SF"	43	51	0	0	0	3	1	1	0	61	28	27	2.93	1.28	630
"David Paulino RP  TOR"	74	77	0	0	0	6	3	1	0	81	22	81	4.70	1.38	633
"Joe Kelly RP  LAD"	54	69	0	0	0	4	2	5	1	61	26	50	4.00	1.41	637
"Drew Pomeranz RP  SF "	121	26	26	11	0	7	9	0	0	109	50	131	4.29	1.49	638
