All Starting Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Ross Stripling SP  LAD "	147	30	30	12	0	12	7	0	0	167	31	153	3.30	1.25	238
"Jake Arrieta SP  PHI "	158	30	30	17	0	12	9	0	0	152	48	148	3.70	1.24	243
"Marco Gonzales SP  SEA"	156	30	30	13	1	12	9	0	0	141	39	161	3.62	1.28	244
"Josh James SP  HOU"	149	29	29	12	0	12	6	0	0	172	52	142	4.16	1.30	246
"Carlos Rodon SP  CHW "	162	30	30	19	0	10	10	0	0	152	66	138	3.94	1.26	252
"Kyle Gibson SP  MIN "	180	33	33	18	0	12	12	0	0	166	68	180	4.09	1.38	254
"Dylan Bundy SP  BAL "	170	33	33	20	1	11	14	0	0	173	52	185	4.70	1.39	261
"Vince Velasquez SP  PHI "	117	26	26	10	0	8	8	0	0	132	42	113	4.22	1.32	263
"Sonny Gray SP  CIN "	143	29	29	14	0	11	12	0	0	129	61	152	4.52	1.49	270
"Marcus Stroman SP  TOR "	176	33	33	17	1	9	13	0	0	155	62	192	4.44	1.44	271
"Reynaldo Lopez SP  CHW"	138	26	26	17	0	6	8	0	0	114	61	139	4.09	1.44	276
"Jhoulys Chacin SP  MIL "	176	33	33	14	0	14	9	0	0	148	66	154	3.48	1.25	334
"Chase Anderson SP  MIL"	168	33	33	15	0	13	7	0	0	153	61	148	3.64	1.24	348
"Anibal Sanchez SP  WAS "	147	29	29	15	0	10	7	0	0	151	39	133	3.35	1.16	351
"Brad Keller RP  KC "	179	32	32	18	2	14	7	0	0	139	57	184	3.16	1.34	355
"Joey Lucchesi SP  SD"	156	33	33	8	0	12	10	0	0	159	53	152	3.74	1.31	384
"Jesus Luzardo SP  OAK "	168	33	33	17	0	13	9	0	0	155	56	163	3.96	1.30	387
"Trevor Williams SP  PIT "	152	29	29	17	1	13	8	0	0	124	50	150	3.43	1.31	392
"Mike Minor SP  TEX "	153	30	30	15	0	14	8	0	0	131	43	151	4.06	1.27	393
"Michael Wacha SP  STL "	147	29	29	16	0	15	6	0	0	132	57	140	3.98	1.34	398
"Julio Teheran SP  ATL "	174	32	32	20	0	10	10	0	0	166	70	148	3.92	1.25	400
"Touki Toussaint SP  ATL"	150	29	29	12	0	10	9	0	0	145	56	131	3.77	1.24	407
"Ryan Yarbrough RP  TB"	157	32	26	10	0	11	9	0	0	146	49	150	3.90	1.27	408
"Jason Vargas SP  NYM "	124	26	26	9	0	13	9	0	0	118	37	124	3.76	1.29	410
"Dereck Rodriguez SP  SF"	169	33	33	27	0	9	7	0	0	136	48	168	3.45	1.27	421
"Jaime Barria SP  LAA"	132	29	29	6	0	13	9	0	0	115	49	129	3.81	1.35	427
"CC Sabathia SP  NYY "	130	26	26	11	0	11	5	0	0	121	44	127	3.67	1.32	432
"Tyler Anderson SP  COL "	147	29	29	15	0	9	7	0	0	142	49	142	3.67	1.30	433
"Tanner Roark SP  CIN "	159	29	29	19	0	11	11	0	0	148	52	160	4.17	1.33	441
"Steven Matz SP  NYM "	141	29	29	12	0	6	9	0	0	142	47	132	3.25	1.27	442
"Kevin Gausman SP  ATL "	168	31	31	17	0	13	9	0	0	158	58	181	4.28	1.42	444
"Daniel Mengden SP  OAK "	172	32	32	16	2	11	13	0	0	125	48	168	4.13	1.26	447
"Luke Weaver SP  ARI "	141	29	29	11	0	10	11	0	0	148	49	144	3.94	1.36	448
"Wade LeBlanc SP  SEA"	145	29	29	12	0	8	7	0	0	123	46	136	3.66	1.26	459
"Danny Duffy SP  KC"	138	26	26	12	0	12	8	0	0	130	49	148	4.04	1.43	464
"Jeremy Hellickson SP  WAS "	140	29	29	8	0	9	6	0	0	124	39	134	4.22	1.23	466
"Jose Urena SP  MIA "	167	33	33	15	1	11	11	0	0	134	61	166	4.09	1.36	468
"Frankie Montas SP  OAK"	137	26	26	13	0	11	9	0	0	105	46	140	3.73	1.35	472
"Zach Davies SP  MIL "	149	29	29	11	0	12	9	0	0	122	47	154	4.33	1.34	473
"Wade Miley SP  HOU "	132	29	29	9	0	8	6	0	0	116	50	127	3.39	1.33	478
"Mike Fiers SP  OAK"	156	30	30	15	0	9	10	0	0	132	50	156	3.98	1.32	480
"Andrew Suarez SP  SF"	149	29	29	12	0	8	11	0	0	132	46	153	3.75	1.34	486
"Zach Eflin SP  PHI"	130	26	26	11	0	12	8	0	0	131	40	139	4.75	1.37	491
"Nick Tropeano SP  LAA "	155	27	27	9	0	10	10	0	0	147	62	143	4.63	1.32	494
"Adam Wainwright SP  STL"	125	26	26	9	0	11	9	0	0	118	45	134	4.15	1.42	503
"Sergio Romo RP  TB "	54	62	0	0	0	3	1	24	5	70	20	57	4.67	1.43	504
"Michael Pineda SP  MIN "	154	29	29	17	0	13	7	0	0	147	43	184	4.71	1.47	506
"Jeff Samardzija SP  SF "	143	27	27	13	1	9	10	0	0	128	47	144	4.27	1.33	510
"Antonio Senzatela SP  COL "	152	29	29	10	0	10	9	0	0	123	51	159	4.08	1.38	512
"Wei-Yin Chen SP  MIA"	133	27	27	12	0	7	12	0	0	115	49	128	3.59	1.33	513
"Matthew Boyd SP  DET "	171	33	33	16	0	8	15	0	0	160	59	170	4.53	1.34	520
"Matt Harvey SP  LAA "	142	29	29	9	0	9	8	0	0	130	43	150	4.42	1.35	523
"Matt Strahm RP  SD"	111	26	26	7	0	6	7	0	0	112	38	106	3.73	1.30	525
"Ryan Borucki SP  TOR "	154	29	29	21	0	8	9	0	0	131	65	155	3.79	1.43	528
"Trevor Richards SP  MIA "	130	29	29	11	0	5	10	0	0	140	55	123	3.79	1.36	530
"Robbie Erlin RP  SD "	143	30	30	7	0	10	11	0	0	124	36	162	4.53	1.38	533
"Jake Junis SP  KC"	166	31	31	16	1	10	11	0	0	155	51	186	4.70	1.42	536
"Jordan Lyles RP  PIT "	139	26	26	10	0	7	11	0	0	125	42	147	4.01	1.36	538
"Merrill Kelly SP  ARI"	131	26	26	12	0	8	9	0	0	128	48	138	4.11	1.42	539
"Anthony DeSclafani SP  CIN "	141	29	29	8	0	8	12	0	0	148	43	147	4.84	1.34	540
"Ivan Nova SP  CHW"	175	33	33	19	1	10	12	0	0	133	50	188	4.61	1.35	542
"Michael Fulmer SP  DET "	143	26	26	15	0	8	10	0	0	127	48	146	4.34	1.36	544
"Adalberto Mejia SP  MIN"	172	29	29	3	0	9	7	0	0	138	77	179	3.82	1.49	545
