All Outfielders   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Mike Trout CF  LAA"	493	115	163	87	29	6	41	92	123	121	25	3	.331	.469	.663	1
"Mookie Betts RF  BOS "	592	123	184	103	45	5	31	85	79	117	26	7	.311	.397	.561	2
"J.D. Martinez DH  BOS"	538	99	171	96	32	2	41	125	65	143	5	1	.318	.390	.613	6
"Bryce Harper RF  WAS "	439	88	120	61	28	1	30	86	85	128	9	2	.273	.391	.547	11
"Christian Yelich LF  MIL"	572	109	173	105	33	5	30	97	71	136	19	3	.302	.382	.535	15
"Aaron Judge RF  NYY"	503	105	143	77	27	1	38	96	92	183	7	4	.284	.397	.569	17
"Ronald Acuna LF  ATL "	586	103	170	91	39	5	35	97	66	167	23	7	.290	.366	.553	19
"Charlie Blackmon CF  COL "	586	104	172	105	29	8	30	70	53	131	11	5	.293	.360	.524	20
"Giancarlo Stanton DH  NYY"	537	87	147	84	29	1	33	90	57	169	5	1	.274	.346	.516	25
"Khris Davis DH  OAK "	559	92	138	67	27	2	42	117	61	179	1	0	.247	.329	.528	26
"Whit Merrifield 2B  KC "	583	93	173	114	39	5	15	73	55	120	39	9	.297	.360	.458	30
"Starling Marte CF  PIT"	581	84	163	106	29	6	22	72	39	119	35	12	.281	.334	.465	31
"Andrew Benintendi LF  BOS"	588	101	169	108	39	5	17	86	68	115	20	3	.287	.360	.458	32
"Juan Soto LF  WAS"	504	94	146	85	30	2	29	88	84	125	7	3	.290	.391	.530	33
"George Springer CF  HOU"	579	108	162	102	30	0	30	80	64	122	6	5	.280	.358	.487	41
"Kris Bryant 3B  CHC "	566	95	162	93	41	4	24	75	80	148	5	5	.286	.388	.500	43
"Rhys Hoskins LF  PHI"	533	92	135	68	35	0	32	102	75	136	5	2	.253	.351	.499	51
"Cody Bellinger 1B  LAD "	540	83	140	77	27	7	29	86	58	154	13	3	.259	.333	.496	62
"Lorenzo Cain CF  MIL"	560	89	168	125	27	4	12	46	65	107	28	5	.300	.379	.427	64
"Eloy Jimenez LF  CHW "	512	71	133	83	26	4	20	68	44	140	8	3	.260	.324	.443	69
"Dee Gordon 2B  SEA"	575	77	159	127	19	9	4	36	17	97	38	13	.277	.306	.362	75
"Tommy Pham CF  TB "	509	104	149	98	21	7	23	71	65	150	19	7	.293	.380	.497	77
"A.J. Pollock CF  LAD "	491	85	135	74	29	7	25	77	40	105	19	4	.275	.341	.515	78
"Justin Upton LF  LAA"	539	84	146	93	22	2	29	89	68	159	8	3	.271	.358	.480	79
"Joey Gallo LF  TEX "	488	85	106	42	24	3	37	95	69	198	5	2	.217	.317	.506	80
"Wil Myers LF  SD "	543	77	144	77	40	4	23	77	56	154	21	4	.265	.334	.481	83
"Willson Contreras C  CHC "	497	56	128	82	26	3	17	71	54	127	5	2	.258	.341	.424	88
"Michael Brantley LF  HOU "	558	86	175	121	34	2	18	80	49	69	13	3	.314	.371	.478	91
"Mitch Haniger RF  SEA"	556	86	157	92	36	4	25	86	66	157	7	3	.282	.366	.496	92
"Nicholas Castellanos RF  DET "	551	76	160	89	40	7	24	87	47	144	3	2	.290	.351	.519	93
"Max Muncy 1B  LAD"	457	78	117	60	22	3	32	81	79	141	3	0	.256	.369	.527	95
"Eddie Rosario LF  MIN "	548	91	159	99	28	3	29	83	33	123	8	2	.290	.331	.511	100
"David Peralta LF  ARI "	563	74	159	98	27	5	29	83	47	130	5	1	.282	.341	.503	101
"Victor Robles CF  WAS "	375	60	102	63	22	3	14	58	39	89	13	4	.272	.345	.459	105
"Aaron Hicks CF  NYY "	425	79	110	65	21	3	21	72	72	98	10	4	.259	.366	.471	112
"Michael Conforto LF  NYM "	493	74	126	74	23	2	27	77	71	144	3	2	.256	.358	.475	114
"Marcell Ozuna LF  STL "	563	74	161	107	23	3	28	97	46	127	3	1	.286	.340	.487	123
"Mallex Smith CF  SEA "	507	70	142	98	28	7	9	53	46	116	40	13	.280	.345	.416	125
"Stephen Piscotty RF  OAK "	500	71	133	73	36	1	23	80	41	115	3	0	.266	.331	.480	127
"Andrew McCutchen RF  PHI"	517	81	131	81	27	3	20	67	78	136	11	7	.253	.358	.433	128
"Yasiel Puig RF  CIN "	489	65	142	92	25	2	23	70	42	97	16	6	.290	.347	.491	136
"David Dahl LF  COL"	499	66	134	77	25	5	27	79	38	135	8	5	.269	.321	.501	137
"Ian Desmond 1B  COL "	519	70	126	82	19	5	20	72	46	141	19	5	.243	.311	.414	145
"Billy Hamilton CF  KC"	463	73	111	79	17	10	5	33	34	128	45	12	.240	.290	.352	146
"Brandon Nimmo RF  NYM "	495	83	129	72	31	7	19	53	71	149	8	6	.261	.370	.467	147
"Jesse Winker RF  CIN"	472	62	134	91	27	1	15	64	64	95	3	1	.284	.374	.441	150
"Jose Martinez 1B  STL "	508	67	151	99	31	1	20	81	52	112	2	1	.297	.363	.480	159
"Shin-Soo Choo DH  TEX "	526	85	142	95	27	1	19	69	79	139	7	2	.270	.369	.433	160
"Kyle Tucker LF  HOU"	314	50	84	50	19	2	13	43	33	66	5	2	.268	.345	.465	168
"Chris Taylor SS  LAD "	540	83	146	85	32	10	19	65	52	161	12	4	.270	.342	.472	172
"Adam Eaton RF  WAS"	495	89	142	97	31	4	10	61	54	106	15	2	.287	.371	.426	179
"Nomar Mazara RF  TEX "	527	71	144	91	30	3	20	98	46	121	2	1	.273	.334	.455	185
"Odubel Herrera CF  PHI "	566	74	154	101	29	4	20	77	36	127	7	3	.272	.321	.444	187
"Ender Inciarte CF  ATL "	555	79	149	108	24	6	11	58	47	93	23	10	.269	.328	.393	188
"Franmil Reyes RF  SD "	425	56	113	72	20	2	19	51	38	115	3	1	.266	.327	.457	193
"Hunter Renfroe LF  SD"	553	69	137	76	31	3	27	82	42	143	4	1	.248	.304	.461	201
"Gregory Polanco RF  PIT "	438	66	114	58	29	5	22	70	54	112	10	2	.260	.343	.500	202
"Nick Markakis RF  ATL "	533	70	147	98	35	2	12	79	65	91	1	0	.276	.354	.416	205
"Yoenis Cespedes LF  NYM "	223	33	62	37	12	1	12	36	19	59	3	1	.278	.337	.502	210
"Kyle Schwarber LF  CHC "	506	75	117	64	19	4	30	70	78	174	4	2	.231	.337	.463	213
"Randal Grichuk RF  TOR "	516	72	124	59	36	1	28	69	39	149	5	2	.240	.305	.477	214
"Ryan Braun LF  MIL "	528	75	140	85	32	3	20	71	38	120	14	5	.265	.316	.451	225
"Brandon Belt 1B  SF"	458	68	121	67	26	3	25	64	62	123	5	1	.264	.359	.498	228
"Kevin Kiermaier CF  TB"	500	74	125	81	20	8	16	54	37	136	17	8	.250	.309	.418	230
"Joc Pederson LF  LAD "	437	69	108	54	27	3	24	61	42	104	3	2	.247	.322	.487	233
"Jake Bauers 1B  CLE"	424	69	94	46	29	2	17	78	71	117	10	8	.222	.333	.420	234
"Harrison Bader CF  STL"	438	64	117	76	25	3	13	51	42	140	16	4	.267	.340	.427	235
"Max Kepler RF  MIN "	470	72	112	60	25	4	23	61	47	101	4	3	.238	.318	.455	237
"Adam Jones CF  BAL"	507	54	144	96	32	1	15	61	29	100	7	1	.284	.327	.440	239
"Brandon Lowe 2B  TB"	192	26	50	32	9	2	7	28	18	48	4	1	.260	.327	.438	274
"Leonys Martin CF  CLE "	504	93	126	80	24	4	18	69	61	121	20	11	.250	.337	.421	278
"Joey Wendle 2B  TB"	534	72	157	108	34	5	10	72	39	114	16	4	.294	.343	.433	280
"Matt Adams 1B  WAS"	381	60	106	54	20	1	31	77	35	95	0	0	.278	.344	.580	282
"Byron Buxton CF  MIN "	505	72	123	80	20	6	17	56	32	162	28	3	.244	.295	.408	283
"Corey Dickerson LF  PIT "	549	73	162	101	37	6	18	60	28	108	7	2	.295	.332	.483	286
"Avisail Garcia RF  TB "	437	68	127	84	19	4	20	70	33	108	4	2	.291	.347	.490	289
"Jackie Bradley CF  BOS "	498	75	122	69	30	5	18	73	50	140	14	3	.245	.325	.434	290
"Domingo Santana RF  SEA "	490	65	136	87	27	3	19	68	53	153	10	4	.278	.354	.461	291
"Matt Kemp LF  CIN"	521	66	150	104	26	1	19	78	40	125	2	0	.288	.334	.451	292
"Daniel Palka RF  CHW"	489	70	124	72	22	4	26	73	38	158	3	2	.254	.311	.474	296
"Greg Allen CF  CLE"	490	73	119	81	23	9	6	54	42	116	35	8	.243	.318	.363	297
"Scott Schebler RF  CIN"	512	70	128	70	30	1	27	67	46	131	5	3	.250	.324	.471	298
"Howie Kendrick 2B  WAS"	396	59	131	85	31	3	12	53	25	77	12	4	.331	.376	.515	299
"DJ Stewart LF  BAL"	469	66	120	73	24	2	21	68	42	127	9	3	.256	.323	.450	300
"Keon Broxton CF  NYM "	466	66	104	60	20	4	20	59	47	152	22	8	.223	.305	.412	301
"Niko Goodrum 2B  DET "	457	61	117	65	31	2	19	63	48	130	14	6	.256	.333	.457	302
"Josh Reddick RF  HOU"	451	68	122	81	19	2	20	60	47	84	7	3	.271	.340	.455	303
"Eric Thames RF  MIL"	380	68	97	48	21	5	23	60	47	116	7	1	.255	.341	.518	305
"Adam Duvall LF  ATL "	561	71	123	58	39	2	24	91	43	171	4	2	.219	.279	.424	307
"Brett Gardner LF  NYY"	463	80	119	76	21	8	14	50	52	98	13	3	.257	.335	.428	309
"Kevin Pillar CF  TOR "	533	66	140	81	40	3	16	54	23	103	14	4	.263	.300	.439	310
"Billy McKinney LF  TOR "	488	64	126	75	27	2	22	61	47	127	6	2	.258	.327	.457	311
"Jorge Soler RF  KC"	443	67	114	65	30	2	17	70	50	153	6	3	.257	.337	.449	313
"Steve Pearce 1B  BOS"	356	58	103	59	22	2	20	65	43	75	1	0	.289	.371	.531	314
"Mark Trumbo DH  BAL "	561	72	139	93	23	0	23	71	47	160	0	0	.248	.309	.412	315
"Teoscar Hernandez LF  TOR "	442	64	115	58	26	9	22	58	38	141	5	4	.260	.321	.509	316
"Ian Happ CF  CHC "	481	68	111	61	22	5	23	64	75	197	8	6	.231	.337	.441	318
"Cedric Mullins CF  BAL"	499	69	127	77	29	2	19	58	48	126	7	5	.255	.326	.435	319
"Steven Souza RF  ARI "	494	60	115	64	28	4	19	68	63	150	13	3	.233	.327	.421	320
"Alex Gordon LF  KC"	526	70	126	84	26	1	15	66	59	157	12	2	.239	.329	.378	321
"Alex Verdugo RF  LAD "	422	64	112	66	25	3	18	56	47	103	6	2	.265	.342	.467	329
"Mikie Mahtook LF  DET"	477	61	116	70	17	8	21	59	42	131	9	2	.243	.313	.444	330
"Brian Anderson RF  MIA "	523	75	141	91	32	5	13	62	50	126	3	3	.270	.346	.424	332
"Cory Spangenberg 2B  MIL "	453	64	122	87	17	4	14	52	36	123	11	3	.269	.328	.417	333
"Kole Calhoun RF  LAA"	447	70	110	69	19	3	19	60	53	111	5	2	.246	.327	.429	335
"Austin Meadows RF  TB"	418	59	114	72	22	3	17	53	35	111	8	3	.273	.330	.462	336
"Adam Frazier 2B  PIT"	463	68	129	81	29	6	13	54	38	83	6	4	.279	.337	.451	338
"Ramon Laureano CF  OAK"	402	62	106	64	26	4	12	55	43	114	13	4	.264	.338	.438	340
"Ben Zobrist RF  CHC"	489	71	133	87	29	4	13	59	60	79	3	3	.272	.352	.427	343
"Jason Heyward RF  CHC"	513	73	134	91	26	5	12	69	50	81	2	2	.261	.329	.402	345
"Jacoby Ellsbury CF  NYY "	362	61	94	61	22	4	7	48	41	75	21	4	.260	.342	.401	347
"Manuel Margot CF  SD"	482	57	127	80	26	9	12	56	35	90	13	9	.264	.314	.429	349
"Brett Phillips CF  KC"	531	68	124	80	26	9	9	68	47	199	15	2	.234	.300	.367	352
"Hernan Perez 2B  MIL "	439	52	117	82	18	4	13	47	22	85	16	5	.267	.301	.415	353
"Alen Hanson 2B  SF"	418	56	112	68	24	6	14	53	20	89	10	4	.268	.304	.455	354
"Jake Cave CF  MIN"	373	72	92	50	22	4	16	55	23	144	3	1	.247	.300	.456	360
"Nick Martini LF  OAK"	494	72	142	100	29	8	5	55	55	123	5	1	.287	.368	.409	361
"Tyler Naquin RF  CLE"	414	64	108	75	20	1	12	63	34	94	4	1	.261	.322	.401	364
"Jorge Bonifacio RF  KC"	490	73	119	72	26	4	17	57	56	159	2	1	.243	.325	.416	365
"Adam Engel CF  CHW "	466	59	120	85	20	4	11	44	26	133	16	8	.258	.308	.388	366
"Delino DeShields CF  TEX "	448	74	105	81	19	1	4	31	50	112	28	6	.234	.315	.308	368
"Trey Mancini LF  BAL"	499	60	129	81	23	6	19	56	40	137	1	0	.259	.318	.443	370
"Dexter Fowler RF  STL"	462	70	100	62	20	1	17	60	56	120	8	4	.216	.304	.374	371
"Rajai Davis CF  NYM"	377	52	93	60	18	3	12	40	35	96	20	6	.247	.317	.406	377
"Mac Williamson LF  SF "	473	62	111	70	22	2	17	56	45	129	7	3	.235	.303	.398	379
