All Catchers   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Russell Martin C | LAD ,243,33,51,34,8,0,9,27,40,69,0,0,.210,.333,.354,647
W ,Caleb Joseph C | ARI ,329,35,73,44,19,3,7,29,19,90,1,1,.222,.272,.362,648
W ,Luke Maile C | TOR,190,21,47,28,11,1,7,26,17,56,1,0,.247,.313,.426,657
W ,Chad Wallach C | MIA,250,25,56,38,10,1,7,31,19,77,1,0,.224,.292,.356,664
W ,Andrew Knizner C | STL ,190,22,46,29,9,1,7,25,17,51,1,0,.242,.316,.410,667
W ,Victor Caratini C | CHC,194,23,48,33,10,0,5,29,17,48,0,0,.247,.315,.376,671
W ,Alex Avila C | ARI ,305,25,60,37,11,1,11,35,37,110,0,0,.197,.287,.347,679
W ,Eric Haase C | CLE,157,21,38,23,8,1,6,24,16,38,1,0,.242,.322,.420,688
W ,Cam Gallagher C | KC,187,22,44,28,9,1,6,25,15,52,1,0,.235,.298,.390,691
W ,Curt Casali C | CIN ,190,20,47,31,10,0,6,23,18,49,1,0,.247,.319,.395,697
W ,Jose Briceno C | LAA,155,19,39,26,7,0,6,20,14,38,1,0,.252,.324,.413,701
W ,Raffy Lopez C | ATL,162,21,36,24,6,0,6,25,17,48,1,0,.222,.300,.370,702
W ,Nick Ciuffo C | TB,159,19,40,26,8,1,5,22,14,45,1,0,.252,.318,.409,706
W ,Kyle Higashioka C | NYY,157,19,35,21,8,0,6,21,15,40,1,0,.223,.297,.389,724
W ,Chance Sisco C | BAL,187,20,42,28,9,0,5,24,16,61,1,0,.225,.301,.353,725
W ,Erik Kratz C | MIL ,162,17,40,28,7,0,5,20,10,37,1,0,.247,.303,.383,726
W ,Seby Zavala C | CHW,158,18,38,25,7,1,5,20,12,44,1,0,.240,.305,.392,728
W ,John Ryan Murphy C | ARI ,173,17,38,22,9,0,7,20,13,50,0,0,.220,.280,.393,743
W ,Tom Murphy C | COL,157,16,38,24,8,1,5,20,12,47,0,0,.242,.302,.401,744
W ,Rene Rivera C | ATL ,157,16,37,24,8,0,5,19,12,45,1,0,.236,.296,.382,745
W ,Tomas Nido C | NYM,160,17,36,23,8,0,5,20,13,44,1,0,.225,.283,.369,747
W ,Josh Phegley C | OAK ,154,18,34,19,10,0,5,21,12,36,0,0,.221,.281,.383,753
W ,Drew Butera C | PHI ,157,18,35,24,6,1,4,21,15,41,0,0,.223,.295,.350,760
W ,Jarrod Saltalamacchia C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gabriel Bracamonte C | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Michael Hernandez C | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ty Ross C | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Martin Cervenka C | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ryan January C | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Heineman C | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tim Federowicz C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Torrens C | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gabriel Lino C | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ryan Miller C | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ben Carhart C | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Taylor Hawkins C | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,J.T. Watkins C | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chuck Moorman C | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Steve Rodriguez C | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wes Wilson C | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jan Vazquez C | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
